Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-1762.852	-1762.449	-0.4029801	0.274496	0.611755	0.388245	1.22351	0.776489	0.9975181
1	1	-1762.27	-1761.866	-0.4044182	0.246321	0.628655	0.371345	1.25731	0.74269	0.9989536
2	0	-1762.689	-1762.286	-0.4029825	0.268687	0.620425	0.379575	1.24085	0.75915	0.9975205
3	1	-1759.165	-1758.76	-0.4051524	0.264687	0.609792	0.390208	1.21958	0.780417	0.9996874
4	0	-1760.752	-1760.347	-0.4046581	0.272986	0.62111	0.37889	1.24222	0.75778	0.9991933
5	1	-1759.942	-1759.537	-0.4051524	0.277099	0.628053	0.371947	1.25611	0.743894	0.9996874
6	0	-1760.121	-1759.716	-0.4045113	0.259859	0.619596	0.380404	1.23919	0.760808	0.9990466
7	1	-1759.984	-1759.58	-0.4049651	0.268006	0.626995	0.373005	1.25399	0.746011	0.9995002
8	0	-1759.319	-1758.914	-0.4048867	0.274434	0.617357	0.382643	1.23471	0.765287	0.9994218
9	1	-1759.612	-1759.208	-0.4049489	0.266217	0.608886	0.391114	1.21777	0.782228	0.999484
10	0	-1764.313	-1763.91	-0.4024553	0.285387	0.611398	0.388602	1.2228	0.777203	0.9969947
11	1	-1760.072	-1759.667	-0.4048226	0.260581	0.607662	0.392338	1.21532	0.784677	0.9993577
12	0	-1761.178	-1760.774	-0.4041195	0.285297	0.619542	0.380458	1.23908	0.760916	0.9986553
13	1	-1759.43	-1759.025	-0.4050583	0.252231	0.615911	0.384089	1.23182	0.768178	0.9995933
14	0	-1760.99	-1760.585	-0.4044504	0.274438	0.606094	0.393906	1.21219	0.787813	0.9989858
15	1	-1759.237	-1758.831	-0.405241	0.254239	0.610697	0.389303	1.22139	0.778605	0.9997759
16	0	-1759.362	-1758.958	-0.4048696	0.264673	0.619259	0.380741	1.23852	0.761483	0.9994047
17	1	-1758.343	-1757.937	-0.4054374	0.271789	0.614632	0.385368	1.22926	0.770735	0.9999723
18	0	-1759.619	-1759.214	-0.4048696	0.268754	0.623143	0.376857	1.24629	0.753714	0.9994047
19	1	-1758.756	-1758.35	-0.4054374	0.268082	0.624235	0.375765	1.24847	0.75153	0.9999723
20	0	-1759.867	-1759.462	-0.4053195	0.261292	0.628979	0.371021	1.25796	0.742041	0.9998544
21	1	-1760.972	-1760.567	-0.4046398	0.24895	0.624624	0.375376	1.24925	0.750751	0.999175
22	0	-1759.964	-1759.56	-0.4045452	0.272901	0.619959	0.380041	1.23992	0.760082	0.9990805
23	1	-1762.401	-1761.997	-0.4046398	0.241041	0.628691	0.371309	1.25738	0.742619	0.999175
24	0	-1767.13	-1766.725	-0.4051207	0.202133	0.621003	0.378997	1.24201	0.757995	0.9996556
25	1	-1761.145	-1760.74	-0.4049172	0.266265	0.600851	0.399149	1.2017	0.798298	0.9994522
26	0	-1759.556	-1759.151	-0.4050503	0.250462	0.616384	0.383616	1.23277	0.767232	0.9995853
27	1	-1760.289	-1759.885	-0.4047683	0.286384	0.622361	0.377639	1.24472	0.755278	0.9993034
28	0	-1763.201	-1762.796	-0.404553	0.262443	0.636535	0.363465	1.27307	0.726929	0.9990883
29	1	-1759.742	-1759.337	-0.4052918	0.257831	0.627395	0.372605	1.25479	0.74521	0.9998267
30	0	-1759.51	-1759.105	-0.4051662	0.262396	0.625645	0.374355	1.25129	0.74871	0.9997011
31	1	-1759.872	-1759.467	-0.405132	0.286779	0.62427	0.37573	1.24854	0.75146	0.9996669
32	0	-1759.856	-1759.452	-0.4045869	0.264715	0.613709	0.386291	1.22742	0.772582	0.9991222
33	1	-1758.848	-1758.443	-0.405132	0.264769	0.617362	0.382638	1.23472	0.765275	0.9996669
34	0	-1760.104	-1759.699	-0.4053707	0.280451	0.630202	0.369798	1.2604	0.739596	0.9999056
35	1	-1762.646	-1762.241	-0.4045948	0.272612	0.597715	0.402285	1.19543	0.804571	0.9991301
36	0	-1759.521	-1759.116	-0.4051479	0.277076	0.625387	0.374613	1.25077	0.749226	0.9996828
37	1	-1759.849	-1759.444	-0.4045948	0.263693	0.613903	0.386097	1.22781	0.772193	0.9991301
38	0	-1764.331	-1763.926	-0.4048637	0.215873	0.616106	0.383894	1.23221	0.767787	0.9993987
39	1	-1760.089	-1759.684	-0.4052838	0.254019	0.628123	0.371877	1.25625	0.743754	0.9998187
40	0	-1762.816	-1762.413	-0.4036388	0.245496	0.623156	0.376844	1.24631	0.753687	0.9981754
41	1	-1759.689	-1759.284	-0.4047089	0.261805	0.618964	0.381036	1.23793	0.762073	0.9992441
42	0	-1759.749	-1759.344	-0.4050773	0.275775	0.607258	0.392742	1.21452	0.785485	0.9996122
43	1	-1763.543	-1763.138	-0.4047089	0.296092	0.599713	0.400287	1.19943	0.800573	0.9992441
44	0	-1759.124	-1758.719	-0.4050773	0.27758	0.619361	0.380639	1.23872	0.761278	0.9996122
45	1	-1759.749	-1759.344	-0.4049266	0.285708	0.617216	0.382784	1.23443	0.765568	0.9994616
46	0	-1761.169	-1760.763	-0.4051851	0.2886	0.631483	0.368517	1.26297	0.737035	0.99972
47	1	-1760.354	-1759.949	-0.4048881	0.251664	0.624682	0.375318	1.24936	0.750637	0.9994232
48	0	-1760.614	-1760.21	-0.4044096	0.27139	0.624704	0.375296	1.24941	0.750591	0.9989451
49	1	-1759.271	-1758.866	-0.4050277	0.259595	0.620339	0.379661	1.24068	0.759323	0.9995627
50	0	-1758.568	-1758.162	-0.4053189	0.272615	0.619007	0.380993	1.23801	0.761986	0.9998538
51	1	-1760.824	-1760.42	-0.4041249	0.272976	0.62182	0.37818	1.24364	0.756359	0.9986607
