Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-1762.852	-1762.449	-0.4029801	0.274496	0.611755	0.388245	1.22351	0.776489	0.9975181
10	-1762.689	-1762.286	-0.4029825	0.268687	0.620425	0.379575	1.24085	0.75915	0.9975205
20	-1760.752	-1760.347	-0.4046581	0.272986	0.62111	0.37889	1.24222	0.75778	0.9991933
30	-1760.121	-1759.716	-0.4045113	0.259859	0.619596	0.380404	1.23919	0.760808	0.9990466
40	-1759.319	-1758.914	-0.4048867	0.274434	0.617357	0.382643	1.23471	0.765287	0.9994218
50	-1764.313	-1763.91	-0.4024553	0.285387	0.611398	0.388602	1.2228	0.777203	0.9969947
60	-1761.178	-1760.774	-0.4041195	0.285297	0.619542	0.380458	1.23908	0.760916	0.9986553
70	-1760.99	-1760.585	-0.4044504	0.274438	0.606094	0.393906	1.21219	0.787813	0.9989858
80	-1759.362	-1758.958	-0.4048696	0.264673	0.619259	0.380741	1.23852	0.761483	0.9994047
90	-1759.619	-1759.214	-0.4048696	0.268754	0.623143	0.376857	1.24629	0.753714	0.9994047
100	-1759.867	-1759.462	-0.4053195	0.261292	0.628979	0.371021	1.25796	0.742041	0.9998544
110	-1759.964	-1759.56	-0.4045452	0.272901	0.619959	0.380041	1.23992	0.760082	0.9990805
120	-1767.13	-1766.725	-0.4051207	0.202133	0.621003	0.378997	1.24201	0.757995	0.9996556
130	-1759.556	-1759.151	-0.4050503	0.250462	0.616384	0.383616	1.23277	0.767232	0.9995853
140	-1763.201	-1762.796	-0.404553	0.262443	0.636535	0.363465	1.27307	0.726929	0.9990883
150	-1759.51	-1759.105	-0.4051662	0.262396	0.625645	0.374355	1.25129	0.74871	0.9997011
160	-1759.856	-1759.452	-0.4045869	0.264715	0.613709	0.386291	1.22742	0.772582	0.9991222
170	-1760.104	-1759.699	-0.4053707	0.280451	0.630202	0.369798	1.2604	0.739596	0.9999056
180	-1759.521	-1759.116	-0.4051479	0.277076	0.625387	0.374613	1.25077	0.749226	0.9996828
190	-1764.331	-1763.926	-0.4048637	0.215873	0.616106	0.383894	1.23221	0.767787	0.9993987
