Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-8039.677	-8039.272	-0.4053763	0.117473	0.516687	0.483313	1.03337	0.966627	0.9999112
1	1	-8039.198	-8038.792	-0.4053952	0.113513	0.518824	0.481176	1.03765	0.962351	0.9999301
2	0	-8040.617	-8040.212	-0.4052464	0.105179	0.519753	0.480247	1.03951	0.960494	0.9997814
3	1	-8039.573	-8039.167	-0.4053952	0.102442	0.517657	0.482343	1.03531	0.964686	0.9999301
4	0	-8040.628	-8040.223	-0.4052464	0.115561	0.519753	0.480247	1.03951	0.960494	0.9997814
5	1	-8040.025	-8039.62	-0.4053952	0.101095	0.520537	0.479463	1.04107	0.958926	0.9999301
6	0	-8039.748	-8039.343	-0.4053421	0.11402	0.519753	0.480247	1.03951	0.960494	0.999877
7	1	-8039.279	-8038.874	-0.4053952	0.111968	0.515317	0.484683	1.03063	0.969365	0.9999301
8	0	-8041.091	-8040.686	-0.4053421	0.0963045	0.51719	0.48281	1.03438	0.965619	0.999877
9	1	-8039.443	-8039.037	-0.4053952	0.105969	0.520276	0.479724	1.04055	0.959449	0.9999301
10	0	-8040.957	-8040.552	-0.4053421	0.0998404	0.521869	0.478131	1.04374	0.956263	0.999877
11	1	-8040.425	-8040.019	-0.4053952	0.0984798	0.520276	0.479724	1.04055	0.959449	0.9999301
12	0	-8040.124	-8039.718	-0.4053421	0.116181	0.520952	0.479048	1.0419	0.958095	0.999877
13	1	-8042.458	-8042.053	-0.4052205	0.0946667	0.518094	0.481906	1.03619	0.963812	0.9997554
14	0	-8039.358	-8038.953	-0.4053947	0.106957	0.515259	0.484741	1.03052	0.969482	0.9999296
15	1	-8042.47	-8042.064	-0.4053495	0.117234	0.508701	0.491299	1.0174	0.982597	0.9998843
16	0	-8039.936	-8039.531	-0.4053947	0.101205	0.515259	0.484741	1.03052	0.969482	0.9999296
17	1	-8040.355	-8039.949	-0.4053601	0.111509	0.512181	0.487819	1.02436	0.975638	0.999895
18	0	-8040.012	-8039.606	-0.4053947	0.119622	0.515068	0.484932	1.03014	0.969864	0.9999296
19	1	-8040.058	-8039.652	-0.4053601	0.115874	0.521423	0.478577	1.04285	0.957153	0.999895
20	0	-8040.845	-8040.439	-0.4053947	0.0955427	0.51809	0.48191	1.03618	0.963819	0.9999296
21	1	-8039.805	-8039.399	-0.4053601	0.104702	0.520143	0.479857	1.04029	0.959714	0.999895
22	0	-8040.608	-8040.202	-0.4053947	0.110018	0.524548	0.475452	1.0491	0.950904	0.9999296
23	1	-8040.599	-8040.193	-0.4053601	0.0979119	0.517429	0.482571	1.03486	0.965142	0.999895
24	0	-8040.77	-8040.365	-0.4053552	0.102534	0.512449	0.487551	1.0249	0.975102	0.9998901
25	1	-8039.571	-8039.165	-0.4053601	0.109735	0.515125	0.484875	1.03025	0.96975	0.999895
26	0	-8041.958	-8041.553	-0.4053552	0.11595	0.526111	0.473889	1.05222	0.947778	0.9998901
27	1	-8040.259	-8039.854	-0.4052843	0.104503	0.516796	0.483204	1.03359	0.966409	0.9998193
28	0	-8042.313	-8041.908	-0.4050969	0.112975	0.522619	0.477381	1.04524	0.954762	0.9996318
29	1	-8039.536	-8039.13	-0.4054085	0.117117	0.515285	0.484715	1.03057	0.96943	0.9999434
30	0	-8039.556	-8039.15	-0.4054335	0.110091	0.522619	0.477381	1.04524	0.954762	0.9999684
31	1	-8040.043	-8039.637	-0.4054085	0.1003	0.520538	0.479462	1.04108	0.958925	0.9999434
32	0	-8039.097	-8038.692	-0.4054335	0.104011	0.51828	0.48172	1.03656	0.963439	0.9999684
33	1	-8039.012	-8038.606	-0.4054085	0.112641	0.517507	0.482493	1.03501	0.964987	0.9999434
34	0	-8038.99	-8038.585	-0.4054335	0.115511	0.51736	0.48264	1.03472	0.965279	0.9999684
35	1	-8039.04	-8038.634	-0.4054085	0.108373	0.518849	0.481151	1.0377	0.962301	0.9999434
36	0	-8038.914	-8038.508	-0.4054156	0.109783	0.518006	0.481994	1.03601	0.963988	0.9999505
37	1	-8039.175	-8038.77	-0.4054085	0.108083	0.519971	0.480029	1.03994	0.960058	0.9999434
38	0	-8039.63	-8039.224	-0.4054156	0.117829	0.52053	0.47947	1.04106	0.958939	0.9999505
39	1	-8039.308	-8038.903	-0.4053955	0.11324	0.519971	0.480029	1.03994	0.960058	0.9999304
