Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-8039.198	-8038.792	-0.4053952	0.113513	0.518824	0.481176	1.03765	0.962351	0.9999301
10	-8039.573	-8039.167	-0.4053952	0.102442	0.517657	0.482343	1.03531	0.964686	0.9999301
20	-8040.025	-8039.62	-0.4053952	0.101095	0.520537	0.479463	1.04107	0.958926	0.9999301
30	-8039.279	-8038.874	-0.4053952	0.111968	0.515317	0.484683	1.03063	0.969365	0.9999301
40	-8039.443	-8039.037	-0.4053952	0.105969	0.520276	0.479724	1.04055	0.959449	0.9999301
50	-8040.425	-8040.019	-0.4053952	0.0984798	0.520276	0.479724	1.04055	0.959449	0.9999301
60	-8042.458	-8042.053	-0.4052205	0.0946667	0.518094	0.481906	1.03619	0.963812	0.9997554
70	-8042.47	-8042.064	-0.4053495	0.117234	0.508701	0.491299	1.0174	0.982597	0.9998843
80	-8040.355	-8039.949	-0.4053601	0.111509	0.512181	0.487819	1.02436	0.975638	0.999895
90	-8040.058	-8039.652	-0.4053601	0.115874	0.521423	0.478577	1.04285	0.957153	0.999895
100	-8039.805	-8039.399	-0.4053601	0.104702	0.520143	0.479857	1.04029	0.959714	0.999895
110	-8040.599	-8040.193	-0.4053601	0.0979119	0.517429	0.482571	1.03486	0.965142	0.999895
120	-8039.571	-8039.165	-0.4053601	0.109735	0.515125	0.484875	1.03025	0.96975	0.999895
130	-8040.259	-8039.854	-0.4052843	0.104503	0.516796	0.483204	1.03359	0.966409	0.9998193
140	-8039.536	-8039.13	-0.4054085	0.117117	0.515285	0.484715	1.03057	0.96943	0.9999434
150	-8040.043	-8039.637	-0.4054085	0.1003	0.520538	0.479462	1.04108	0.958925	0.9999434
160	-8039.012	-8038.606	-0.4054085	0.112641	0.517507	0.482493	1.03501	0.964987	0.9999434
170	-8039.04	-8038.634	-0.4054085	0.108373	0.518849	0.481151	1.0377	0.962301	0.9999434
180	-8039.175	-8038.77	-0.4054085	0.108083	0.519971	0.480029	1.03994	0.960058	0.9999434
190	-8039.308	-8038.903	-0.4053955	0.11324	0.519971	0.480029	1.03994	0.960058	0.9999304
200	-8039.277	-8038.871	-0.4053955	0.108152	0.519971	0.480029	1.03994	0.960058	0.9999304
210	-8039.739	-8039.334	-0.4053955	0.117808	0.520247	0.479753	1.04049	0.959507	0.9999304
220	-8039.74	-8039.335	-0.4053393	0.105161	0.517257	0.482743	1.03451	0.965485	0.9998742
230	-8040.272	-8039.867	-0.4053904	0.121697	0.515942	0.484058	1.03188	0.968115	0.9999253
240	-8039.433	-8039.028	-0.4053904	0.105358	0.515724	0.484276	1.03145	0.968552	0.9999253
250	-8039.781	-8039.376	-0.4053904	0.102036	0.515775	0.484225	1.03155	0.968451	0.9999253
260	-8039.85	-8039.445	-0.4053183	0.111293	0.515527	0.484473	1.03105	0.968946	0.9998532
270	-8040.019	-8039.614	-0.4053183	0.116426	0.516841	0.483159	1.03368	0.966318	0.9998532
280	-8039.996	-8039.59	-0.4053183	0.106133	0.515425	0.484575	1.03085	0.96915	0.9998532
290	-8040.549	-8040.144	-0.4053015	0.105284	0.513678	0.486322	1.02736	0.972645	0.9998364
300	-8040.093	-8039.687	-0.40541	0.116853	0.512782	0.487218	1.02556	0.974436	0.9999449
310	-8040.129	-8039.724	-0.40541	0.120072	0.521203	0.478797	1.04241	0.957594	0.9999449
320	-8039.536	-8039.13	-0.4053852	0.105222	0.515367	0.484633	1.03073	0.969266	0.9999201
330	-8039.283	-8038.878	-0.4053852	0.11206	0.515898	0.484102	1.0318	0.968204	0.9999201
340	-8039.575	-8039.17	-0.4053852	0.115544	0.520174	0.479826	1.04035	0.959651	0.9999201
350	-8039.891	-8039.486	-0.4054235	0.101573	0.521307	0.478693	1.04261	0.957386	0.9999584
360	-8039.735	-8039.33	-0.4054235	0.102486	0.514191	0.485809	1.02838	0.971619	0.9999584
370	-8039.123	-8038.718	-0.4054235	0.115782	0.516696	0.483304	1.03339	0.966607	0.9999584
380	-8038.855	-8038.45	-0.4054235	0.109852	0.518206	0.481794	1.03641	0.963588	0.9999584
390	-8039.243	-8038.837	-0.4054272	0.105664	0.520473	0.479527	1.04095	0.959053	0.9999621
400	-8039.202	-8038.797	-0.4054272	0.115304	0.520072	0.479928	1.04014	0.959857	0.9999621
410	-8039.53	-8039.125	-0.4054272	0.118872	0.519594	0.480406	1.03919	0.960812	0.9999621
420	-8039.841	-8039.436	-0.4054272	0.121426	0.516999	0.483001	1.034	0.966003	0.9999621
430	-8049.58	-8049.175	-0.4047728	0.135888	0.519925	0.480075	1.03985	0.960151	0.9993079
440	-8042.689	-8042.284	-0.404965	0.111047	0.519925	0.480075	1.03985	0.960151	0.9995001
450	-8041.45	-8041.045	-0.4052087	0.114626	0.512969	0.487031	1.02594	0.974062	0.9997436
460	-8039.68	-8039.275	-0.4054534	0.116802	0.512969	0.487031	1.02594	0.974062	0.9999883
470	-8042.076	-8041.671	-0.4054534	0.121118	0.508921	0.491079	1.01784	0.982158	0.9999883
480	-8040.218	-8039.812	-0.4054534	0.123994	0.519312	0.480688	1.03862	0.961376	0.9999883
490	-8039.726	-8039.321	-0.4053738	0.112226	0.51397	0.48603	1.02794	0.972059	0.9999086
500	-8040.63	-8040.225	-0.4053738	0.104881	0.523621	0.476379	1.04724	0.952757	0.9999086
510	-8039.319	-8038.913	-0.4053738	0.109452	0.516241	0.483759	1.03248	0.967518	0.9999086
520	-8039.413	-8039.008	-0.4053738	0.105977	0.518419	0.481581	1.03684	0.963163	0.9999086
530	-8040.641	-8040.235	-0.4053738	0.097702	0.51582	0.48418	1.03164	0.96836	0.9999086
540	-8039.833	-8039.427	-0.4053738	0.117768	0.515679	0.484321	1.03136	0.968643	0.9999086
550	-8039.506	-8039.101	-0.4053738	0.106742	0.515473	0.484527	1.03095	0.969054	0.9999086
