Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-1814.975	-1814.57	-0.4054094	0.336091	0.0963536	0.903646	0.192707	1.80729	0.9999443
1	1	-1816.603	-1816.199	-0.4044985	0.316255	0.0992786	0.900721	0.198557	1.80144	0.9990338
2	0	-1815.219	-1814.813	-0.4053906	0.33856	0.0981928	0.901807	0.196386	1.80361	0.9999255
3	1	-1818.198	-1817.794	-0.4044985	0.312216	0.0919627	0.908037	0.183925	1.81607	0.9990338
4	0	-1817.951	-1817.545	-0.4053906	0.311299	0.109821	0.890179	0.219641	1.78036	0.9999255
5	1	-1816.156	-1815.751	-0.4049669	0.312679	0.0958474	0.904153	0.191695	1.80831	0.999502
6	0	-1815.489	-1815.084	-0.4052416	0.332304	0.100303	0.899697	0.200606	1.79939	0.9997765
7	1	-1815.634	-1815.229	-0.4051365	0.337302	0.09428	0.90572	0.18856	1.81144	0.9996714
8	0	-1817.783	-1817.378	-0.4051193	0.317543	0.108202	0.891798	0.216404	1.7836	0.9996543
9	1	-1815.342	-1814.937	-0.4051365	0.330821	0.0963368	0.903663	0.192674	1.80733	0.9996714
10	0	-1816.491	-1816.085	-0.4051717	0.299784	0.102648	0.897352	0.205296	1.7947	0.9997066
11	1	-1815.907	-1815.502	-0.4050966	0.336425	0.0929481	0.907052	0.185896	1.8141	0.9996316
12	0	-1817.814	-1817.409	-0.4045278	0.297153	0.102115	0.897885	0.20423	1.79577	0.9990631
13	1	-1817.216	-1816.81	-0.4054488	0.363549	0.0930032	0.906997	0.186006	1.81399	0.9999837
14	0	-1816.632	-1816.227	-0.4054138	0.321843	0.0901929	0.909807	0.180386	1.81961	0.9999487
15	1	-1814.736	-1814.33	-0.4054488	0.327445	0.0979466	0.902053	0.195893	1.80411	0.9999837
16	0	-1814.973	-1814.568	-0.4054305	0.32434	0.0949837	0.905016	0.189967	1.81003	0.9999654
17	1	-1814.94	-1814.535	-0.4054488	0.334586	0.0948969	0.905103	0.189794	1.81021	0.9999837
18	0	-1817.631	-1817.225	-0.4051392	0.333647	0.0882159	0.911784	0.176432	1.82357	0.9996741
19	1	-1816.231	-1815.826	-0.4048241	0.317452	0.0954056	0.904594	0.190811	1.80919	0.9993592
20	0	-1817.753	-1817.348	-0.4048018	0.309913	0.106887	0.893113	0.213774	1.78623	0.9993369
21	1	-1815.495	-1815.09	-0.4051173	0.332472	0.0949957	0.905004	0.189991	1.81001	0.9996522
22	0	-1815.706	-1815.301	-0.4052268	0.344085	0.0950665	0.904934	0.190133	1.80987	0.9997617
23	1	-1818.241	-1817.836	-0.4051965	0.34979	0.103753	0.896247	0.207505	1.79249	0.9997314
24	0	-1815.289	-1814.884	-0.4051438	0.326836	0.0981841	0.901816	0.196368	1.80363	0.9996787
25	1	-1819.173	-1818.769	-0.4045347	0.364532	0.0958453	0.904155	0.191691	1.80831	0.99907
26	0	-1815.007	-1814.601	-0.4054317	0.337841	0.0966747	0.903325	0.193349	1.80665	0.9999666
27	1	-1817.179	-1816.774	-0.4044521	0.338211	0.100018	0.899982	0.200037	1.79996	0.9989875
28	0	-1815.533	-1815.127	-0.4052901	0.316147	0.0950067	0.904993	0.190013	1.80999	0.999825
29	1	-1816.06	-1815.655	-0.4049887	0.318282	0.102346	0.897654	0.204692	1.79531	0.9995237
30	0	-1815.398	-1814.993	-0.4054505	0.345481	0.0960712	0.903929	0.192142	1.80786	0.9999854
31	1	-1818.434	-1818.031	-0.403438	0.332797	0.0969097	0.90309	0.193819	1.80618	0.9979749
32	0	-1816.585	-1816.18	-0.4051121	0.312362	0.0932523	0.906748	0.186505	1.8135	0.999647
33	1	-1820.136	-1819.733	-0.4031303	0.323196	0.104725	0.895275	0.20945	1.79055	0.9976679
34	0	-1816.728	-1816.322	-0.4051121	0.300042	0.0971042	0.902896	0.194208	1.80579	0.999647
35	1	-1821.672	-1821.269	-0.402257	0.299232	0.100237	0.899763	0.200475	1.79953	0.996797
