Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-1816.603	-1816.199	-0.4044985	0.316255	0.0992786	0.900721	0.198557	1.80144	0.9990338
10	-1818.198	-1817.794	-0.4044985	0.312216	0.0919627	0.908037	0.183925	1.81607	0.9990338
20	-1816.156	-1815.751	-0.4049669	0.312679	0.0958474	0.904153	0.191695	1.80831	0.999502
30	-1815.634	-1815.229	-0.4051365	0.337302	0.09428	0.90572	0.18856	1.81144	0.9996714
40	-1815.342	-1814.937	-0.4051365	0.330821	0.0963368	0.903663	0.192674	1.80733	0.9996714
50	-1815.907	-1815.502	-0.4050966	0.336425	0.0929481	0.907052	0.185896	1.8141	0.9996316
60	-1817.216	-1816.81	-0.4054488	0.363549	0.0930032	0.906997	0.186006	1.81399	0.9999837
70	-1814.736	-1814.33	-0.4054488	0.327445	0.0979466	0.902053	0.195893	1.80411	0.9999837
80	-1814.94	-1814.535	-0.4054488	0.334586	0.0948969	0.905103	0.189794	1.81021	0.9999837
90	-1816.231	-1815.826	-0.4048241	0.317452	0.0954056	0.904594	0.190811	1.80919	0.9993592
100	-1815.495	-1815.09	-0.4051173	0.332472	0.0949957	0.905004	0.189991	1.81001	0.9996522
110	-1818.241	-1817.836	-0.4051965	0.34979	0.103753	0.896247	0.207505	1.79249	0.9997314
120	-1819.173	-1818.769	-0.4045347	0.364532	0.0958453	0.904155	0.191691	1.80831	0.99907
130	-1817.179	-1816.774	-0.4044521	0.338211	0.100018	0.899982	0.200037	1.79996	0.9989875
140	-1816.06	-1815.655	-0.4049887	0.318282	0.102346	0.897654	0.204692	1.79531	0.9995237
150	-1818.434	-1818.031	-0.403438	0.332797	0.0969097	0.90309	0.193819	1.80618	0.9979749
160	-1820.136	-1819.733	-0.4031303	0.323196	0.104725	0.895275	0.20945	1.79055	0.9976679
170	-1821.672	-1821.269	-0.402257	0.299232	0.100237	0.899763	0.200475	1.79953	0.996797
180	-1817.615	-1817.211	-0.4040342	0.339878	0.0961682	0.903832	0.192336	1.80766	0.9985701
190	-1815.333	-1814.928	-0.4051434	0.320573	0.0988351	0.901165	0.19767	1.80233	0.9996783
200	-1821.675	-1821.273	-0.4024452	0.304272	0.09471	0.90529	0.18942	1.81058	0.9969847
210	-1819.819	-1819.415	-0.4034113	0.297177	0.0993371	0.900663	0.198674	1.80133	0.9979483
220	-1816.257	-1815.851	-0.405275	0.312053	0.105014	0.894986	0.210028	1.78997	0.9998099
230	-1815.928	-1815.523	-0.4054205	0.307408	0.10435	0.89565	0.208701	1.7913	0.9999554
240	-1816.321	-1815.916	-0.4050705	0.314779	0.0937653	0.906235	0.187531	1.81247	0.9996054
250	-1815.095	-1814.69	-0.4052736	0.327863	0.0960278	0.903972	0.192056	1.80794	0.9998085
260	-1816.517	-1816.112	-0.4050196	0.346819	0.0923677	0.907632	0.184735	1.81526	0.9995546
270	-1815.484	-1815.079	-0.4052175	0.335911	0.0989523	0.901048	0.197905	1.8021	0.9997524
280	-1817.095	-1816.69	-0.4046477	0.310549	0.0948467	0.905153	0.189693	1.81031	0.9991829
290	-1814.823	-1814.418	-0.4054332	0.324536	0.0961326	0.903867	0.192265	1.80773	0.9999681
300	-1816.905	-1816.5	-0.4048304	0.310269	0.0944025	0.905598	0.188805	1.8112	0.9993655
310	-1817.097	-1816.692	-0.4048304	0.351956	0.0931634	0.906837	0.186327	1.81367	0.9993655
320	-1819.258	-1818.853	-0.4041691	0.301614	0.107292	0.892708	0.214585	1.78542	0.9987048
330	-1816.469	-1816.064	-0.4045799	0.316725	0.0997638	0.900236	0.199528	1.80047	0.9991151
340	-1816.778	-1816.374	-0.4046332	0.330954	0.0927283	0.907272	0.185457	1.81454	0.9991684
