Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-2415.526	-2415.122	-0.4048475	0.627838	0.73742	0.26258	1.47484	0.525161	0.9993826
1	1	-2415.159	-2414.754	-0.4048282	0.658257	0.728388	0.271612	1.45678	0.543223	0.9993633
2	0	-2411.463	-2411.058	-0.4052065	0.628522	0.725028	0.274972	1.45006	0.549943	0.9997414
3	1	-2412.278	-2411.873	-0.4050323	0.642125	0.727035	0.272965	1.45407	0.545929	0.9995673
4	0	-2414.492	-2414.088	-0.4041104	0.641231	0.725674	0.274326	1.45135	0.548651	0.9986462
5	1	-2411.304	-2410.899	-0.4053519	0.624944	0.723282	0.276718	1.44656	0.553436	0.9998868
6	0	-2414.947	-2414.543	-0.4041104	0.627607	0.731641	0.268359	1.46328	0.536719	0.9986462
7	1	-2411.294	-2410.888	-0.4053263	0.627822	0.727852	0.272148	1.4557	0.544296	0.9998612
8	0	-2414.642	-2414.238	-0.40426	0.615934	0.726144	0.273856	1.45229	0.547713	0.9987956
9	1	-2412.273	-2411.868	-0.4053555	0.635918	0.733674	0.266326	1.46735	0.532651	0.9998904
10	0	-2413.121	-2412.716	-0.4049727	0.614132	0.725849	0.274151	1.4517	0.548303	0.9995077
11	1	-2411.258	-2410.853	-0.4053555	0.631453	0.728999	0.271001	1.458	0.542002	0.9998904
12	0	-2412.819	-2412.414	-0.4049727	0.625127	0.730819	0.269181	1.46164	0.538362	0.9995077
13	1	-2412.388	-2411.983	-0.4048389	0.635689	0.727259	0.272741	1.45452	0.545481	0.999374
14	0	-2412.694	-2412.289	-0.4050225	0.616376	0.725331	0.274669	1.45066	0.549337	0.9995575
15	1	-2415.427	-2415.023	-0.40408	0.646287	0.732391	0.267609	1.46478	0.535219	0.9986159
16	0	-2411.909	-2411.504	-0.4050225	0.628346	0.725058	0.274942	1.45012	0.549884	0.9995575
17	1	-2412.334	-2411.929	-0.4053212	0.641652	0.721434	0.278566	1.44287	0.557131	0.9998561
18	0	-2413.516	-2413.111	-0.4049742	0.631911	0.734321	0.265679	1.46864	0.531359	0.9995093
19	1	-2411.239	-2410.834	-0.4053212	0.63366	0.728148	0.271852	1.4563	0.543705	0.9998561
20	0	-2411.355	-2410.95	-0.4052427	0.633617	0.726221	0.273779	1.45244	0.547557	0.9997776
21	1	-2412.183	-2411.778	-0.4053212	0.623343	0.731038	0.268962	1.46208	0.537925	0.9998561
22	0	-2411.805	-2411.4	-0.4052427	0.62953	0.730325	0.269675	1.46065	0.539349	0.9997776
23	1	-2411.324	-2410.919	-0.40529	0.634469	0.728177	0.271823	1.45635	0.543646	0.9998249
