Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-2415.159	-2414.754	-0.4048282	0.658257	0.728388	0.271612	1.45678	0.543223	0.9993633
10	-2412.278	-2411.873	-0.4050323	0.642125	0.727035	0.272965	1.45407	0.545929	0.9995673
20	-2411.304	-2410.899	-0.4053519	0.624944	0.723282	0.276718	1.44656	0.553436	0.9998868
30	-2411.294	-2410.888	-0.4053263	0.627822	0.727852	0.272148	1.4557	0.544296	0.9998612
40	-2412.273	-2411.868	-0.4053555	0.635918	0.733674	0.266326	1.46735	0.532651	0.9998904
50	-2411.258	-2410.853	-0.4053555	0.631453	0.728999	0.271001	1.458	0.542002	0.9998904
60	-2412.388	-2411.983	-0.4048389	0.635689	0.727259	0.272741	1.45452	0.545481	0.999374
70	-2415.427	-2415.023	-0.40408	0.646287	0.732391	0.267609	1.46478	0.535219	0.9986159
80	-2412.334	-2411.929	-0.4053212	0.641652	0.721434	0.278566	1.44287	0.557131	0.9998561
90	-2411.239	-2410.834	-0.4053212	0.63366	0.728148	0.271852	1.4563	0.543705	0.9998561
100	-2412.183	-2411.778	-0.4053212	0.623343	0.731038	0.268962	1.46208	0.537925	0.9998561
110	-2411.324	-2410.919	-0.40529	0.634469	0.728177	0.271823	1.45635	0.543646	0.9998249
120	-2413.584	-2413.178	-0.4050933	0.62586	0.734223	0.265777	1.46845	0.531554	0.9996282
130	-2411.769	-2411.363	-0.4053912	0.620161	0.728563	0.271437	1.45713	0.542875	0.9999261
140	-2412.901	-2412.496	-0.4053912	0.619912	0.7163	0.2837	1.4326	0.567399	0.9999261
150	-2413.195	-2412.79	-0.4051577	0.63023	0.717184	0.282816	1.43437	0.565631	0.9996926
160	-2413.568	-2413.163	-0.4052056	0.652087	0.724053	0.275947	1.44811	0.551894	0.9997405
170	-2412.136	-2411.731	-0.4052056	0.621011	0.720825	0.279175	1.44165	0.55835	0.9997405
180	-2411.63	-2411.225	-0.4052056	0.634475	0.723698	0.276302	1.4474	0.552603	0.9997405
190	-2413.197	-2412.793	-0.4048572	0.621265	0.719616	0.280384	1.43923	0.560768	0.9993923
200	-2413.908	-2413.504	-0.4048572	0.648265	0.733168	0.266832	1.46634	0.533664	0.9993923
210	-2412.462	-2412.057	-0.4049772	0.642237	0.726055	0.273945	1.45211	0.547889	0.9995123
220	-2412.632	-2412.227	-0.4051516	0.61691	0.728119	0.271881	1.45624	0.543763	0.9996866
230	-2412.03	-2411.625	-0.4050034	0.633841	0.728417	0.271583	1.45683	0.543165	0.9995384
240	-2412.277	-2411.872	-0.4050034	0.641057	0.728115	0.271885	1.45623	0.54377	0.9995384
250	-2412.097	-2411.692	-0.404959	0.635903	0.726897	0.273103	1.45379	0.546205	0.999494
260	-2414.984	-2414.579	-0.4049274	0.651749	0.736128	0.263872	1.47226	0.527744	0.9994625
270	-2414.268	-2413.863	-0.4053276	0.626905	0.713492	0.286508	1.42698	0.573016	0.9998625
280	-2411.42	-2411.015	-0.4052447	0.635821	0.725805	0.274195	1.45161	0.54839	0.9997796
290	-2412.169	-2411.764	-0.4052979	0.62223	0.719306	0.280694	1.43861	0.561387	0.9998329
300	-2410.991	-2410.585	-0.4054188	0.635553	0.727394	0.272606	1.45479	0.545213	0.9999537
310	-2412.048	-2411.643	-0.4050441	0.631206	0.729253	0.270747	1.45851	0.541493	0.9995791
320	-2414.317	-2413.912	-0.4046157	0.650009	0.731036	0.268964	1.46207	0.537929	0.999151
330	-2413.191	-2412.786	-0.4053678	0.60998	0.718157	0.281843	1.43631	0.563686	0.9999027
340	-2412.612	-2412.206	-0.4053678	0.650983	0.726364	0.273636	1.45273	0.547272	0.9999027
350	-2413.589	-2413.183	-0.4051868	0.608802	0.719131	0.280869	1.43826	0.561739	0.9997217
360	-2411.213	-2410.808	-0.4053767	0.6387	0.726771	0.273229	1.45354	0.546459	0.9999116
370	-2416.454	-2416.05	-0.4042256	0.616494	0.714688	0.285312	1.42938	0.570624	0.9987612
380	-2417.02	-2416.615	-0.4048244	0.638444	0.712601	0.287399	1.4252	0.574798	0.9993595
390	-2412.353	-2411.948	-0.4048244	0.632662	0.726488	0.273512	1.45298	0.547024	0.9993595
400	-2413.238	-2412.833	-0.4048244	0.642021	0.731956	0.268044	1.46391	0.536089	0.9993595
410	-2412.933	-2412.528	-0.4050773	0.624165	0.718266	0.281734	1.43653	0.563469	0.9996123
420	-2412.769	-2412.364	-0.4047802	0.62855	0.729285	0.270715	1.45857	0.54143	0.9993153
430	-2412.21	-2411.805	-0.4051472	0.643647	0.72577	0.27423	1.45154	0.548461	0.9996821
440	-2411.851	-2411.446	-0.4053612	0.62508	0.730678	0.269322	1.46136	0.538644	0.9998961
450	-2411.171	-2410.765	-0.4054207	0.623662	0.726571	0.273429	1.45314	0.546858	0.9999556
460	-2413.597	-2413.192	-0.40465	0.618041	0.727371	0.272629	1.45474	0.545258	0.9991852
470	-2415.191	-2414.785	-0.4052768	0.613668	0.735102	0.264898	1.4702	0.529796	0.9998117
480	-2411.391	-2410.986	-0.4052768	0.626116	0.724073	0.275927	1.44815	0.551855	0.9998117
490	-2413.407	-2413.002	-0.4046688	0.638539	0.73164	0.26836	1.46328	0.53672	0.999204
500	-2412.954	-2412.549	-0.4050557	0.646207	0.72412	0.27588	1.44824	0.55176	0.9995907
510	-2413.575	-2413.17	-0.4046447	0.624695	0.71977	0.28023	1.43954	0.560461	0.99918
520	-2414.072	-2413.667	-0.4048912	0.652989	0.731	0.269	1.462	0.538	0.9994263
530	-2412.922	-2412.517	-0.4046537	0.637614	0.727842	0.272158	1.45568	0.544316	0.999189
540	-2411.846	-2411.441	-0.4052544	0.641512	0.729973	0.270027	1.45995	0.540054	0.9997893
550	-2411.753	-2411.348	-0.4052652	0.64151	0.729339	0.270661	1.45868	0.541322	0.9998001
560	-2413.09	-2412.685	-0.4049857	0.614069	0.721896	0.278104	1.44379	0.556209	0.9995207
570	-2415.194	-2414.79	-0.4038939	0.62708	0.720532	0.279468	1.44106	0.558936	0.99843
580	-2413.005	-2412.6	-0.4051663	0.639327	0.73444	0.26556	1.46888	0.53112	0.9997012
590	-2414.242	-2413.837	-0.4051663	0.612999	0.73207	0.26793	1.46414	0.535861	0.9997012
600	-2411.349	-2410.943	-0.4053317	0.636374	0.729143	0.270857	1.45829	0.541714	0.9998666
610	-2414.754	-2414.349	-0.4050613	0.648966	0.737082	0.262918	1.47416	0.525837	0.9995962
620	-2412.433	-2412.028	-0.4053349	0.633748	0.718661	0.281339	1.43732	0.562677	0.9998698
630	-2411.089	-2410.684	-0.4054517	0.624477	0.727135	0.272865	1.45427	0.54573	0.9999866
640	-2411.333	-2410.927	-0.4054517	0.62086	0.722488	0.277512	1.44498	0.555024	0.9999866
650	-2413.382	-2412.977	-0.4049279	0.637497	0.733914	0.266086	1.46783	0.532172	0.9994629
660	-2416.56	-2416.156	-0.4042827	0.633505	0.737521	0.262479	1.47504	0.524959	0.9988183
670	-2411.268	-2410.863	-0.4054649	0.62181	0.722278	0.277722	1.44456	0.555444	0.9999998
680	-2412.482	-2412.076	-0.4052165	0.626068	0.718631	0.281369	1.43726	0.562738	0.9997514
690	-2411.576	-2411.17	-0.4052887	0.621493	0.724514	0.275486	1.44903	0.550972	0.9998236
700	-2411.517	-2411.112	-0.4052887	0.629711	0.729387	0.270613	1.45877	0.541227	0.9998236
710	-2412.554	-2412.148	-0.4052887	0.612754	0.725939	0.274061	1.45188	0.548122	0.9998236
720	-2412.089	-2411.683	-0.4053725	0.646956	0.730637	0.269363	1.46127	0.538726	0.9999073
730	-2412.932	-2412.527	-0.4050874	0.615775	0.719931	0.280069	1.43986	0.560137	0.9996224
740	-2413.448	-2413.043	-0.4050093	0.62833	0.717285	0.282715	1.43457	0.565429	0.9995443
750	-2414.964	-2414.559	-0.4047219	0.615598	0.715608	0.284392	1.43122	0.568784	0.9992571
760	-2413.219	-2412.814	-0.4047219	0.629089	0.720484	0.279516	1.44097	0.559033	0.9992571
770	-2412.161	-2411.756	-0.4049643	0.637547	0.726102	0.273898	1.4522	0.547796	0.9994993
780	-2411.427	-2411.022	-0.4052968	0.63729	0.728838	0.271162	1.45768	0.542324	0.9998317
790	-2414.014	-2413.609	-0.4045786	0.62481	0.73163	0.26837	1.46326	0.536741	0.9991139
800	-2413.934	-2413.529	-0.4048779	0.624156	0.716668	0.283332	1.43334	0.566664	0.999413
810	-2414.808	-2414.404	-0.4042914	0.641615	0.721459	0.278541	1.44292	0.557083	0.998827
820	-2412.892	-2412.486	-0.4053334	0.618924	0.716862	0.283138	1.43372	0.566277	0.9998683
830	-2412.068	-2411.663	-0.4052316	0.641084	0.731244	0.268756	1.46249	0.537511	0.9997666
