Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-1508.676	-1508.271	-0.4049886	-0.104792	0.466065	0.533935	0.932129	1.06787	0.9995236
1	1	-1508.155	-1507.75	-0.4052114	-0.111502	0.470789	0.529211	0.941579	1.05842	0.9997463
2	0	-1508.75	-1508.345	-0.4049886	-0.107669	0.485908	0.514092	0.971816	1.02818	0.9995236
3	1	-1508.587	-1508.182	-0.4052114	-0.0885051	0.488276	0.511724	0.976553	1.02345	0.9997463
4	0	-1510.948	-1510.545	-0.40345	-0.0758935	0.480255	0.519745	0.960509	1.03949	0.9979869
5	1	-1507.95	-1507.545	-0.4050766	-0.099463	0.48049	0.51951	0.960979	1.03902	0.9996116
6	0	-1507.577	-1507.172	-0.4053788	-0.0930728	0.481957	0.518043	0.963913	1.03609	0.9999137
7	1	-1508.84	-1508.435	-0.4050488	-0.11186	0.485898	0.514102	0.971797	1.0282	0.9995838
8	0	-1509.331	-1508.926	-0.4047208	-0.0717537	0.471677	0.528323	0.943355	1.05665	0.999256
9	1	-1508.343	-1507.938	-0.405159	-0.0844208	0.484846	0.515154	0.969692	1.03031	0.9996939
10	0	-1507.675	-1507.27	-0.405271	-0.0912725	0.480657	0.519343	0.961313	1.03869	0.9998059
11	1	-1507.589	-1507.184	-0.4052961	-0.0872788	0.475751	0.524249	0.951501	1.0485	0.999831
12	0	-1509.319	-1508.914	-0.4045556	-0.0879581	0.465869	0.534131	0.931737	1.06826	0.9990909
13	1	-1510.527	-1510.123	-0.4036494	-0.105729	0.48439	0.51561	0.96878	1.03122	0.9981859
14	0	-1508.539	-1508.134	-0.4054598	-0.0898583	0.46176	0.53824	0.92352	1.07648	0.9999947
15	1	-1507.905	-1507.5	-0.4054092	-0.0799315	0.482094	0.517906	0.964187	1.03581	0.9999441
16	0	-1507.808	-1507.403	-0.4054598	-0.0984628	0.485681	0.514319	0.971362	1.02864	0.9999947
17	1	-1507.606	-1507.2	-0.4054534	-0.0835607	0.480856	0.519144	0.961712	1.03829	0.9999883
18	0	-1514.104	-1513.698	-0.4054598	-0.0429273	0.497228	0.502772	0.994455	1.00554	0.9999947
19	1	-1509.641	-1509.237	-0.4038702	-0.0967024	0.477889	0.522111	0.955779	1.04422	0.9984064
20	0	-1507.647	-1507.242	-0.4054598	-0.0841211	0.47025	0.52975	0.940501	1.0595	0.9999947
21	1	-1510.479	-1510.074	-0.4046739	-0.0902242	0.494334	0.505666	0.988667	1.01133	0.9992091
22	0	-1507.737	-1507.332	-0.4054598	-0.0792823	0.472188	0.527812	0.944376	1.05562	0.9999947
23	1	-1508.13	-1507.725	-0.4049638	-0.0897666	0.480088	0.519912	0.960176	1.03982	0.9994988
24	0	-1508.552	-1508.147	-0.4053321	-0.0689228	0.473512	0.526488	0.947025	1.05298	0.999867
25	1	-1511.302	-1510.898	-0.4043208	-0.110807	0.49423	0.50577	0.98846	1.01154	0.9988564
26	0	-1507.684	-1507.279	-0.4053321	-0.0983636	0.469703	0.530297	0.939407	1.06059	0.999867
