Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-1508.155	-1507.75	-0.4052114	-0.111502	0.470789	0.529211	0.941579	1.05842	0.9997463
10	-1508.587	-1508.182	-0.4052114	-0.0885051	0.488276	0.511724	0.976553	1.02345	0.9997463
20	-1507.95	-1507.545	-0.4050766	-0.099463	0.48049	0.51951	0.960979	1.03902	0.9996116
30	-1508.84	-1508.435	-0.4050488	-0.11186	0.485898	0.514102	0.971797	1.0282	0.9995838
40	-1508.343	-1507.938	-0.405159	-0.0844208	0.484846	0.515154	0.969692	1.03031	0.9996939
50	-1507.589	-1507.184	-0.4052961	-0.0872788	0.475751	0.524249	0.951501	1.0485	0.999831
60	-1510.527	-1510.123	-0.4036494	-0.105729	0.48439	0.51561	0.96878	1.03122	0.9981859
70	-1507.905	-1507.5	-0.4054092	-0.0799315	0.482094	0.517906	0.964187	1.03581	0.9999441
80	-1507.606	-1507.2	-0.4054534	-0.0835607	0.480856	0.519144	0.961712	1.03829	0.9999883
90	-1509.641	-1509.237	-0.4038702	-0.0967024	0.477889	0.522111	0.955779	1.04422	0.9984064
100	-1510.479	-1510.074	-0.4046739	-0.0902242	0.494334	0.505666	0.988667	1.01133	0.9992091
110	-1508.13	-1507.725	-0.4049638	-0.0897666	0.480088	0.519912	0.960176	1.03982	0.9994988
120	-1511.302	-1510.898	-0.4043208	-0.110807	0.49423	0.50577	0.98846	1.01154	0.9988564
130	-1508.871	-1508.467	-0.4043978	-0.0950677	0.478729	0.521271	0.957458	1.04254	0.9989333
140	-1509.715	-1509.311	-0.4044229	-0.112836	0.467186	0.532814	0.934372	1.06563	0.9989583
150	-1515.098	-1514.693	-0.4049339	-0.0416128	0.455285	0.544715	0.91057	1.08943	0.9994689
160	-1509.106	-1508.701	-0.4048339	-0.11952	0.472679	0.527321	0.945358	1.05464	0.9993689
170	-1508.588	-1508.183	-0.4046444	-0.104646	0.477254	0.522746	0.954509	1.04549	0.9991796
