Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-3197.825	-3197.42	-0.4051739	-0.114722	0.522861	0.477139	1.04572	0.954279	0.9997088
1	1	-3199.75	-3199.344	-0.4052257	-0.139777	0.509121	0.490879	1.01824	0.981759	0.9997606
2	0	-3196.328	-3195.922	-0.405192	-0.110525	0.505677	0.494323	1.01135	0.988645	0.999727
3	1	-3198.403	-3197.998	-0.4047717	-0.0877358	0.516835	0.483165	1.03367	0.96633	0.9993068
4	0	-3196.425	-3196.02	-0.405192	-0.113912	0.506151	0.493849	1.0123	0.987699	0.999727
5	1	-3200.902	-3200.497	-0.4049001	-0.0825231	0.49719	0.50281	0.994379	1.00562	0.9994352
6	0	-3196.415	-3196.01	-0.405192	-0.11375	0.506151	0.493849	1.0123	0.987699	0.999727
7	1	-3196.046	-3195.641	-0.4052661	-0.0939318	0.514694	0.485306	1.02939	0.970612	0.999801
8	0	-3196.408	-3196.003	-0.405192	-0.107253	0.504636	0.495364	1.00927	0.990728	0.999727
9	1	-3197.267	-3196.862	-0.4050409	-0.106606	0.520296	0.479704	1.04059	0.959408	0.9995759
10	0	-3196.287	-3195.882	-0.405192	-0.0971133	0.506467	0.493533	1.01293	0.987065	0.999727
11	1	-3196.506	-3196.101	-0.4050409	-0.113346	0.512096	0.487904	1.02419	0.975808	0.9995759
12	0	-3200.365	-3199.96	-0.4052221	-0.0780921	0.497748	0.502252	0.995495	1.0045	0.999757
13	1	-3197.037	-3196.632	-0.4049845	-0.111814	0.505706	0.494294	1.01141	0.988588	0.9995195
14	0	-3196.415	-3196.01	-0.4052221	-0.0925938	0.516013	0.483987	1.03203	0.967974	0.999757
15	1	-3197.044	-3196.639	-0.4051072	-0.119284	0.506652	0.493348	1.0133	0.986695	0.9996422
16	0	-3196.234	-3195.828	-0.4054497	-0.103709	0.501567	0.498433	1.00313	0.996866	0.9999846
17	1	-3197.519	-3197.115	-0.4047627	-0.115141	0.512851	0.487149	1.0257	0.974298	0.9992979
18	0	-3195.119	-3194.713	-0.4054497	-0.098702	0.509647	0.490353	1.01929	0.980706	0.9999846
19	1	-3197.358	-3196.953	-0.4052249	-0.126185	0.507726	0.492274	1.01545	0.984547	0.9997598
20	0	-3196.785	-3196.38	-0.4054497	-0.127068	0.515482	0.484518	1.03096	0.969036	0.9999846
21	1	-3197.351	-3196.947	-0.4048184	-0.0946869	0.509235	0.490765	1.01847	0.98153	0.9993535
22	0	-3196.113	-3195.708	-0.4051363	-0.100649	0.508641	0.491359	1.01728	0.982718	0.9996712
23	1	-3195.236	-3194.83	-0.4054505	-0.0969465	0.51408	0.48592	1.02816	0.971839	0.9999854
24	0	-3196.523	-3196.117	-0.405187	-0.111009	0.504695	0.495305	1.00939	0.99061	0.999722
25	1	-3195.288	-3194.883	-0.4054505	-0.0948621	0.512784	0.487216	1.02557	0.974433	0.9999854
26	0	-3196.162	-3195.757	-0.4053954	-0.0940938	0.50427	0.49573	1.00854	0.99146	0.9999303
27	1	-3197.405	-3197	-0.4050048	-0.0868429	0.510503	0.489497	1.02101	0.978994	0.9995398
28	0	-3195.719	-3195.314	-0.4053954	-0.117683	0.513281	0.486719	1.02656	0.973439	0.9999303
29	1	-3197.448	-3197.043	-0.4052869	-0.0937671	0.500376	0.499624	1.00075	0.999249	0.9998218
30	0	-3196.756	-3196.351	-0.4053954	-0.0841297	0.506884	0.493116	1.01377	0.986231	0.9999303
31	1	-3196.01	-3195.604	-0.4052074	-0.098015	0.514763	0.485237	1.02953	0.970475	0.9997423
32	0	-3195.35	-3194.944	-0.4053954	-0.101488	0.515281	0.484719	1.03056	0.969438	0.9999303
33	1	-3196.213	-3195.807	-0.4052074	-0.0924483	0.511992	0.488008	1.02398	0.976015	0.9997423
34	0	-3195.301	-3194.895	-0.4053954	-0.0998789	0.514203	0.485797	1.02841	0.971595	0.9999303
35	1	-3196.161	-3195.756	-0.4052074	-0.114697	0.508631	0.491369	1.01726	0.982738	0.9997423
36	0	-3195.671	-3195.265	-0.4053954	-0.102611	0.51788	0.48212	1.03576	0.964239	0.9999303
37	1	-3198.211	-3197.805	-0.4054626	-0.136452	0.512646	0.487354	1.02529	0.974708	0.9999975
38	0	-3195.292	-3194.886	-0.4053954	-0.0977576	0.510856	0.489144	1.02171	0.978288	0.9999303
39	1	-3197.111	-3196.706	-0.4054626	-0.11455	0.499445	0.500555	0.998891	1.00111	0.9999975
40	0	-3196.796	-3196.39	-0.4053954	-0.106566	0.50018	0.49982	1.00036	0.999641	0.9999303
41	1	-3195.744	-3195.338	-0.4054626	-0.116385	0.516958	0.483042	1.03392	0.966085	0.9999975
