Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-3197.825	-3197.42	-0.4051739	-0.114722	0.522861	0.477139	1.04572	0.954279	0.9997088
10	-3196.328	-3195.922	-0.405192	-0.110525	0.505677	0.494323	1.01135	0.988645	0.999727
20	-3196.425	-3196.02	-0.405192	-0.113912	0.506151	0.493849	1.0123	0.987699	0.999727
30	-3196.415	-3196.01	-0.405192	-0.11375	0.506151	0.493849	1.0123	0.987699	0.999727
40	-3196.408	-3196.003	-0.405192	-0.107253	0.504636	0.495364	1.00927	0.990728	0.999727
50	-3196.287	-3195.882	-0.405192	-0.0971133	0.506467	0.493533	1.01293	0.987065	0.999727
60	-3200.365	-3199.96	-0.4052221	-0.0780921	0.497748	0.502252	0.995495	1.0045	0.999757
70	-3196.415	-3196.01	-0.4052221	-0.0925938	0.516013	0.483987	1.03203	0.967974	0.999757
80	-3196.234	-3195.828	-0.4054497	-0.103709	0.501567	0.498433	1.00313	0.996866	0.9999846
90	-3195.119	-3194.713	-0.4054497	-0.098702	0.509647	0.490353	1.01929	0.980706	0.9999846
100	-3196.785	-3196.38	-0.4054497	-0.127068	0.515482	0.484518	1.03096	0.969036	0.9999846
110	-3196.113	-3195.708	-0.4051363	-0.100649	0.508641	0.491359	1.01728	0.982718	0.9996712
120	-3196.523	-3196.117	-0.405187	-0.111009	0.504695	0.495305	1.00939	0.99061	0.999722
130	-3196.162	-3195.757	-0.4053954	-0.0940938	0.50427	0.49573	1.00854	0.99146	0.9999303
140	-3195.719	-3195.314	-0.4053954	-0.117683	0.513281	0.486719	1.02656	0.973439	0.9999303
150	-3196.756	-3196.351	-0.4053954	-0.0841297	0.506884	0.493116	1.01377	0.986231	0.9999303
160	-3195.35	-3194.944	-0.4053954	-0.101488	0.515281	0.484719	1.03056	0.969438	0.9999303
170	-3195.301	-3194.895	-0.4053954	-0.0998789	0.514203	0.485797	1.02841	0.971595	0.9999303
180	-3195.671	-3195.265	-0.4053954	-0.102611	0.51788	0.48212	1.03576	0.964239	0.9999303
190	-3195.292	-3194.886	-0.4053954	-0.0977576	0.510856	0.489144	1.02171	0.978288	0.9999303
200	-3196.796	-3196.39	-0.4053954	-0.106566	0.50018	0.49982	1.00036	0.999641	0.9999303
210	-3194.982	-3194.576	-0.4054604	-0.106582	0.513341	0.486659	1.02668	0.973318	0.9999952
220	-3197.488	-3197.083	-0.404766	-0.114888	0.512731	0.487269	1.02546	0.974538	0.9993012
230	-3200.184	-3199.779	-0.404766	-0.0790835	0.502858	0.497142	1.00572	0.994284	0.9993012
240	-3198.798	-3198.393	-0.4049391	-0.122387	0.521163	0.478837	1.04233	0.957673	0.9994741
250	-3196.842	-3196.437	-0.405015	-0.101905	0.517577	0.482423	1.03515	0.964846	0.99955
260	-3196.062	-3195.657	-0.4053358	-0.100158	0.518732	0.481268	1.03746	0.962536	0.9998707
270	-3198.668	-3198.262	-0.4052684	-0.0739207	0.5086	0.4914	1.0172	0.982799	0.9998034
280	-3197.162	-3196.757	-0.4049504	-0.0920898	0.5086	0.4914	1.0172	0.982799	0.9994854
290	-3197.717	-3197.312	-0.404826	-0.0911909	0.507622	0.492378	1.01524	0.984756	0.9993611
300	-3197.66	-3197.255	-0.4049299	-0.0871877	0.509175	0.490825	1.01835	0.98165	0.999465
310	-3198.17	-3197.765	-0.4046975	-0.0991592	0.504005	0.495995	1.00801	0.99199	0.9992327
320	-3198.296	-3197.892	-0.4047516	-0.110516	0.520347	0.479653	1.04069	0.959305	0.9992867
330	-3196.968	-3196.563	-0.4048991	-0.0957558	0.512015	0.487985	1.02403	0.97597	0.9994341
340	-3200.982	-3200.578	-0.4040984	-0.127305	0.513824	0.486176	1.02765	0.972352	0.9986343
350	-3198.131	-3197.727	-0.4046275	-0.0921659	0.51359	0.48641	1.02718	0.97282	0.9991628
360	-3196.78	-3196.375	-0.404965	-0.109892	0.515365	0.484635	1.03073	0.969269	0.9995
370	-3196.268	-3195.863	-0.4054147	-0.0912189	0.504567	0.495433	1.00913	0.990866	0.9999496
380	-3196.52	-3196.115	-0.4051254	-0.10437	0.505088	0.494912	1.01018	0.989823	0.9996603
390	-3197.968	-3197.563	-0.4051254	-0.0977101	0.499594	0.500406	0.999188	1.00081	0.9996603
400	-3195.557	-3195.152	-0.4054628	-0.109767	0.504947	0.495053	1.00989	0.990106	0.9999977
410	-3196.075	-3195.669	-0.4054455	-0.117654	0.504947	0.495053	1.00989	0.990106	0.9999804
420	-3197.902	-3197.497	-0.4046278	-0.102148	0.516407	0.483593	1.03281	0.967185	0.9991631
430	-3198.623	-3198.217	-0.4053024	-0.0810014	0.521903	0.478097	1.04381	0.956194	0.9998373
440	-3196.575	-3196.169	-0.4054645	-0.0872126	0.504188	0.495812	1.00838	0.991625	0.9999994
450	-3195.713	-3195.307	-0.4054645	-0.0992062	0.518888	0.481112	1.03778	0.962224	0.9999994
460	-3197.887	-3197.481	-0.4054645	-0.107284	0.496366	0.503634	0.992733	1.00727	0.9999994
470	-3194.998	-3194.593	-0.4054645	-0.0997738	0.512278	0.487722	1.02456	0.975444	0.9999994
480	-3196.726	-3196.32	-0.4054645	-0.0808866	0.51164	0.48836	1.02328	0.976719	0.9999994
490	-3195.191	-3194.785	-0.4054645	-0.102109	0.515962	0.484038	1.03192	0.968075	0.9999994
500	-3198.013	-3197.608	-0.4052599	-0.0771752	0.512991	0.487009	1.02598	0.974018	0.9997948
510	-3200.871	-3200.466	-0.4050754	-0.10601	0.49237	0.50763	0.98474	1.01526	0.9996103
520	-3197.357	-3196.952	-0.4052082	-0.123249	0.505212	0.494788	1.01042	0.989576	0.9997432
530	-3196.066	-3195.661	-0.4052751	-0.109274	0.517631	0.482369	1.03526	0.964738	0.9998101
540	-3196.393	-3195.988	-0.4051909	-0.111394	0.517515	0.482485	1.03503	0.964971	0.9997258
550	-3198.778	-3198.373	-0.4044846	-0.117881	0.515327	0.484673	1.03065	0.969346	0.9990199
560	-3197.4	-3196.995	-0.4049749	-0.0907445	0.506588	0.493412	1.01318	0.986825	0.9995099
570	-3195.896	-3195.491	-0.4052841	-0.0975331	0.507121	0.492879	1.01424	0.985758	0.999819
580	-3196.127	-3195.721	-0.4052841	-0.11662	0.515249	0.484751	1.0305	0.969502	0.999819
590	-3195.929	-3195.524	-0.4051826	-0.107574	0.514199	0.485801	1.0284	0.971603	0.9997175
600	-3196.463	-3196.058	-0.4053795	-0.0983557	0.520949	0.479051	1.0419	0.958103	0.9999144
610	-3199.808	-3199.403	-0.4050768	-0.138234	0.5108	0.4892	1.0216	0.9784	0.9996118
620	-3200.294	-3199.889	-0.4050768	-0.0692121	0.51461	0.48539	1.02922	0.970781	0.9996118
630	-3196.02	-3195.615	-0.4051283	-0.108025	0.511082	0.488918	1.02216	0.977836	0.9996632
640	-3196.251	-3195.846	-0.4050758	-0.107582	0.51394	0.48606	1.02788	0.97212	0.9996108
650	-3198.136	-3197.732	-0.4045817	-0.0932713	0.511812	0.488188	1.02362	0.976376	0.999117
660	-3197.777	-3197.373	-0.4045817	-0.106116	0.513527	0.486473	1.02705	0.972946	0.999117
670	-3197.239	-3196.834	-0.4047411	-0.101738	0.511424	0.488576	1.02285	0.977153	0.9992763
680	-3197.879	-3197.474	-0.4046988	-0.114445	0.507341	0.492659	1.01468	0.985318	0.9992339
690	-3196.446	-3196.041	-0.4053235	-0.0862854	0.511216	0.488784	1.02243	0.977569	0.9998584
700	-3197.801	-3197.397	-0.4046503	-0.0950455	0.510954	0.489046	1.02191	0.978093	0.9991855
710	-3196.836	-3196.431	-0.4049782	-0.111823	0.507446	0.492554	1.01489	0.985109	0.9995132
720	-3196.027	-3195.622	-0.4052247	-0.109813	0.506954	0.493046	1.01391	0.986092	0.9997597
730	-3196.368	-3195.963	-0.4052247	-0.111761	0.505089	0.494911	1.01018	0.989821	0.9997597
740	-3196.067	-3195.661	-0.4052247	-0.0940931	0.509901	0.490099	1.0198	0.980199	0.9997597
750	-3195.821	-3195.416	-0.4053834	-0.111372	0.517772	0.482228	1.03554	0.964456	0.9999183
760	-3195.611	-3195.206	-0.405431	-0.0957719	0.51661	0.48339	1.03322	0.96678	0.9999659
770	-3195.906	-3195.5	-0.405431	-0.11585	0.517633	0.482367	1.03527	0.964734	0.9999659
780	-3195.429	-3195.023	-0.405431	-0.0963358	0.507692	0.492308	1.01538	0.984616	0.9999659
790	-3198.881	-3198.476	-0.405431	-0.105332	0.494188	0.505812	0.988376	1.01162	0.9999659
800	-3195.096	-3194.691	-0.405431	-0.105293	0.513917	0.486083	1.02783	0.972166	0.9999659
810	-3195.342	-3194.936	-0.405431	-0.114654	0.511338	0.488662	1.02268	0.977324	0.9999659
820	-3197.286	-3196.88	-0.405431	-0.128382	0.51741	0.48259	1.03482	0.96518	0.9999659
830	-3195.18	-3194.774	-0.405431	-0.0978864	0.510529	0.489471	1.02106	0.978942	0.9999659
840	-3197.217	-3196.812	-0.405431	-0.110148	0.524267	0.475733	1.04853	0.951466	0.9999659
850	-3196.12	-3195.715	-0.4054278	-0.0957872	0.519555	0.480445	1.03911	0.960891	0.9999627
860	-3199.999	-3199.595	-0.4042662	-0.100873	0.501718	0.498282	1.00344	0.996563	0.9988018
870	-3195.687	-3195.281	-0.4054624	-0.09456	0.517326	0.482674	1.03465	0.965348	0.9999973
880	-3196.129	-3195.723	-0.4054624	-0.103018	0.521148	0.478852	1.0423	0.957704	0.9999973
890	-3194.948	-3194.542	-0.4054624	-0.106573	0.510396	0.489604	1.02079	0.979208	0.9999973
900	-3195.293	-3194.888	-0.4054624	-0.0960717	0.508243	0.491757	1.01649	0.983513	0.9999973
910	-3195.156	-3194.751	-0.405392	-0.102742	0.511348	0.488652	1.0227	0.977304	0.9999269
920	-3195.259	-3194.854	-0.405392	-0.0993211	0.512848	0.487152	1.0257	0.974304	0.9999269
930	-3199.272	-3198.868	-0.4045449	-0.0909828	0.519543	0.480457	1.03909	0.960915	0.9990802
940	-3197.265	-3196.86	-0.4049934	-0.0970125	0.504294	0.495706	1.00859	0.991412	0.9995284
950	-3197.734	-3197.329	-0.4051653	-0.115603	0.522237	0.477763	1.04447	0.955526	0.9997002
960	-3197.494	-3197.089	-0.4050135	-0.097926	0.502672	0.497328	1.00534	0.994657	0.9995485
970	-3195.548	-3195.142	-0.4053959	-0.109179	0.516729	0.483271	1.03346	0.966543	0.9999308
980	-3195.296	-3194.891	-0.4053959	-0.105734	0.515046	0.484954	1.03009	0.969907	0.9999308
990	-3195.761	-3195.356	-0.4053959	-0.113529	0.506105	0.493895	1.01221	0.987789	0.9999308
1000	-3200.747	-3200.343	-0.4042409	-0.0942802	0.522624	0.477376	1.04525	0.954753	0.9987765
1010	-3197.662	-3197.256	-0.4054273	-0.111393	0.497623	0.502377	0.995245	1.00475	0.9999622
1020	-3197.832	-3197.427	-0.4047905	-0.105082	0.503736	0.496264	1.00747	0.992528	0.9993257
1030	-3197.309	-3196.904	-0.4049479	-0.0903841	0.508698	0.491302	1.0174	0.982603	0.9994829
1040	-3196.586	-3196.181	-0.4050952	-0.11515	0.514876	0.485124	1.02975	0.970247	0.9996302
1050	-3197.759	-3197.354	-0.4046686	-0.0996296	0.515773	0.484227	1.03155	0.968454	0.9992038
1060	-3196.81	-3196.405	-0.4053088	-0.105123	0.50107	0.49893	1.00214	0.99786	0.9998437
1070	-3196.414	-3196.009	-0.4053088	-0.0930589	0.518166	0.481834	1.03633	0.963669	0.9998437
1080	-3195.67	-3195.265	-0.4053088	-0.107619	0.507244	0.492756	1.01449	0.985513	0.9998437
1090	-3197.365	-3196.96	-0.4049706	-0.0885863	0.513506	0.486494	1.02701	0.972988	0.9995056
1100	-3195.73	-3195.325	-0.4052079	-0.105458	0.511586	0.488414	1.02317	0.976828	0.9997428
1110	-3196.058	-3195.653	-0.4052079	-0.10067	0.506851	0.493149	1.0137	0.986298	0.9997428
1120	-3198.242	-3197.838	-0.4044512	-0.107307	0.514108	0.485892	1.02822	0.971783	0.9989866
1130	-3199.449	-3199.045	-0.4044512	-0.0857736	0.515125	0.484875	1.03025	0.96975	0.9989866
1140	-3196.714	-3196.309	-0.4049719	-0.105099	0.507226	0.492774	1.01445	0.985547	0.9995069
1150	-3197.926	-3197.521	-0.4052054	-0.130078	0.514312	0.485688	1.02862	0.971375	0.9997403
1160	-3195.287	-3194.881	-0.4054642	-0.101395	0.506376	0.493624	1.01275	0.987248	0.9999991
1170	-3195.091	-3194.685	-0.4054642	-0.111309	0.50988	0.49012	1.01976	0.98024	0.9999991
1180	-3195.614	-3195.209	-0.4053225	-0.10153	0.507385	0.492615	1.01477	0.985229	0.9998574
1190	-3195.537	-3195.132	-0.4053225	-0.0995369	0.514111	0.485889	1.02822	0.971778	0.9998574
1200	-3195.63	-3195.224	-0.4053225	-0.100609	0.51556	0.48444	1.03112	0.96888	0.9998574
1210	-3196.026	-3195.62	-0.4054604	-0.0918131	0.504836	0.495164	1.00967	0.990328	0.9999953
1220	-3195.548	-3195.143	-0.4054604	-0.102302	0.518347	0.481653	1.03669	0.963307	0.9999953
1230	-3196.968	-3196.563	-0.4054604	-0.106433	0.524054	0.475946	1.04811	0.951891	0.9999953
1240	-3195.905	-3195.5	-0.40522	-0.107153	0.507609	0.492391	1.01522	0.984782	0.9997549
1250	-3196.274	-3195.869	-0.4054404	-0.0848537	0.510072	0.489928	1.02014	0.979857	0.9999753
1260	-3195.465	-3195.06	-0.4054404	-0.0930261	0.509728	0.490272	1.01946	0.980545	0.9999753
1270	-3195.806	-3195.401	-0.4053252	-0.115054	0.514337	0.485663	1.02867	0.971327	0.9998601
1280	-3195.779	-3195.374	-0.4052074	-0.10145	0.512624	0.487376	1.02525	0.974753	0.9997423
1290	-3198.383	-3197.978	-0.4045874	-0.0978342	0.517925	0.482075	1.03585	0.96415	0.9991227
1300	-3196.24	-3195.834	-0.4052774	-0.118224	0.508238	0.491762	1.01648	0.983523	0.9998123
1310	-3195.933	-3195.528	-0.4052774	-0.100454	0.516844	0.483156	1.03369	0.966312	0.9998123
1320	-3196.954	-3196.549	-0.4053275	-0.0947781	0.521503	0.478497	1.04301	0.956993	0.9998624
1330	-3196.434	-3196.029	-0.4050924	-0.10268	0.516535	0.483465	1.03307	0.966929	0.9996274
1340	-3197.043	-3196.638	-0.4050044	-0.0934695	0.516026	0.483974	1.03205	0.967948	0.9995394
1350	-3196.537	-3196.132	-0.4050044	-0.100726	0.508546	0.491454	1.01709	0.982907	0.9995394
1360	-3196.401	-3195.996	-0.4051337	-0.093292	0.510211	0.489789	1.02042	0.979577	0.9996686
1370	-3196.788	-3196.383	-0.4049536	-0.10001	0.507741	0.492259	1.01548	0.984518	0.9994886
1380	-3196.454	-3196.049	-0.4052986	-0.103215	0.520339	0.479661	1.04068	0.959322	0.9998335
1390	-3195.625	-3195.22	-0.4053265	-0.110854	0.514923	0.485077	1.02985	0.970153	0.9998614
1400	-3195.952	-3195.547	-0.4053265	-0.0951718	0.506574	0.493426	1.01315	0.986852	0.9998614
1410	-3196.283	-3195.877	-0.4053265	-0.112775	0.50404	0.49596	1.00808	0.991919	0.9998614
1420	-3197.505	-3197.099	-0.4053265	-0.0791502	0.513761	0.486239	1.02752	0.972478	0.9998614
1430	-3195.667	-3195.261	-0.4053265	-0.0986952	0.515443	0.484557	1.03089	0.969114	0.9998614
1440	-3197.756	-3197.351	-0.4045869	-0.108756	0.511337	0.488663	1.02267	0.977327	0.9991222
1450	-3195.78	-3195.374	-0.4054095	-0.0905426	0.513487	0.486513	1.02697	0.973026	0.9999444
1460	-3196.332	-3195.927	-0.4052652	-0.120227	0.512077	0.487923	1.02415	0.975847	0.9998001
1470	-3195.742	-3195.337	-0.4052652	-0.0990972	0.508768	0.491232	1.01754	0.982464	0.9998001
1480	-3198.143	-3197.738	-0.4049358	-0.108379	0.522311	0.477689	1.04462	0.955379	0.9994708
1490	-3199.321	-3198.916	-0.4049358	-0.0930877	0.524838	0.475162	1.04968	0.950323	0.9994708
1500	-3196.702	-3196.297	-0.4050796	-0.113844	0.516294	0.483706	1.03259	0.967413	0.9996146
1510	-3196.413	-3196.007	-0.4051923	-0.102657	0.518446	0.481554	1.03689	0.963107	0.9997272
