Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-11.95173	-11.61931	-0.3324291	-0.0511841	0.856917	0.143083	1.71383	0.286166	0.9295674
1	1	-9.589269	-9.225593	-0.3636755	0.23889	0.93544	0.0645598	1.87088	0.12912	0.9590715
2	0	-12.51017	-12.42399	-0.08617418	-0.0870461	0.859848	0.140152	1.7197	0.280303	0.7266641
3	1	-10.06332	-9.869637	-0.1936842	-0.0574574	0.95351	0.0464895	1.90702	0.092979	0.809142
4	0	-9.264758	-8.897811	-0.3669469	0.0211401	0.958291	0.0417087	1.91658	0.0834173	0.9622141
5	1	-11.46303	-11.16471	-0.2983245	0.554854	0.964728	0.0352715	1.92946	0.0705431	0.8983994
6	0	-13.68081	-13.4931	-0.1877101	0.55701	0.911807	0.0881935	1.82361	0.176387	0.8043225
7	1	-9.755199	-9.375361	-0.3798378	-0.132802	0.958208	0.0417923	1.91642	0.0835847	0.9746982
8	0	-11.14696	-10.93331	-0.2136581	0.26399	0.890464	0.109536	1.78093	0.219072	0.8254662
9	1	-9.73765	-9.343171	-0.3944783	0.345167	0.935493	0.0645075	1.87099	0.129015	0.9890733
10	0	-10.50536	-10.17143	-0.3339283	0.206057	0.903889	0.0961114	1.80778	0.192223	0.930962
11	1	-11.44288	-11.11312	-0.3297574	-0.338698	0.937637	0.0623628	1.87527	0.124726	0.9270871
12	0	-9.246107	-8.901766	-0.3443407	0.125126	0.950705	0.0492945	1.90141	0.0985891	0.9407062
13	1	-10.52294	-10.17777	-0.3451767	-0.195814	0.93183	0.0681699	1.86366	0.13634	0.941493
14	0	-10.51024	-10.34617	-0.164071	-0.00354989	0.920504	0.0794957	1.84101	0.158991	0.785532
15	1	-12.18358	-12.10023	-0.08334842	-0.282013	0.931907	0.0680933	1.86381	0.136187	0.7246136
16	0	-9.295818	-8.968584	-0.3272343	0.272332	0.954574	0.0454264	1.90915	0.0908528	0.9247509
17	1	-11.33973	-11.27887	-0.06085718	0.431543	0.941442	0.0585576	1.88288	0.117115	0.7084981
18	0	-9.413576	-9.036275	-0.3773005	0.174427	0.940279	0.0597212	1.88056	0.119442	0.9722284
19	1	-12.34184	-12.09443	-0.2474187	-0.0439766	0.84454	0.15546	1.68908	0.310921	0.8538102
20	0	-9.391651	-9.11003	-0.2816212	0.193209	0.949646	0.0503543	1.89929	0.100709	0.8835177
21	1	-9.795704	-9.408681	-0.3870224	-0.0818787	0.940649	0.0593513	1.8813	0.118703	0.9817263
22	0	-11.31367	-11.07776	-0.2359083	0.409176	0.901203	0.0987968	1.80241	0.197594	0.8440388
23	1	-9.445196	-9.068443	-0.3767526	0.18755	0.973707	0.0262935	1.94741	0.0525869	0.9716958
24	0	-9.536393	-9.227057	-0.3093353	-0.0146998	0.96198	0.0380199	1.92396	0.0760398	0.9083461
25	1	-10.0124	-9.678111	-0.3342906	-0.152953	0.950683	0.0493174	1.90137	0.0986349	0.9312994
26	0	-11.34551	-11.03425	-0.3112577	0.468303	0.905291	0.0947091	1.81058	0.189418	0.910094
27	1	-9.7459	-9.39822	-0.3476804	-0.0616935	0.968686	0.0313137	1.93737	0.0626273	0.9438531
28	0	-10.00003	-9.804386	-0.1956474	0.341146	0.948014	0.0519865	1.89603	0.103973	0.810732
29	1	-10.32325	-9.988031	-0.3352231	0.0156327	0.913854	0.0861464	1.82771	0.172293	0.9321682
30	0	-10.7032	-10.31362	-0.3895839	-0.280436	0.962136	0.0378645	1.92427	0.0757289	0.9842442
31	1	-10.09226	-9.814129	-0.2781278	-0.129887	0.948039	0.051961	1.89608	0.103922	0.8804366
32	0	-9.996295	-9.591388	-0.4049074	0.297221	0.92283	0.07717	1.84566	0.15434	0.9994424
33	1	-10.57803	-10.23302	-0.3450063	0.175548	0.900567	0.0994329	1.80113	0.198866	0.9413325
34	0	-9.529742	-9.134363	-0.3953793	0.257014	0.936999	0.0630012	1.874	0.126002	0.9899649
35	1	-10.13709	-9.755746	-0.3813447	0.415733	0.930981	0.0690189	1.86196	0.138038	0.9761682
36	0	-11.06401	-10.72488	-0.3391379	0.224251	0.981893	0.0181073	1.96379	0.0362146	0.9358246
37	1	-11.13816	-11.04457	-0.09358115	-0.132263	0.960508	0.0394918	1.92102	0.0789835	0.7320665
38	0	-10.79857	-10.52858	-0.269992	-0.144283	0.916709	0.0832907	1.83342	0.166581	0.8733026
39	1	-11.25004	-11.18998	-0.06006368	0.356964	0.918929	0.0810712	1.83786	0.162142	0.7079361
40	0	-10.99869	-10.8339	-0.1647908	-0.178895	0.930473	0.0695269	1.86095	0.139054	0.7860976
41	1	-10.95482	-10.77587	-0.1789535	-0.0574654	0.972365	0.0276354	1.94473	0.0552708	0.7973101
42	0	-10.62232	-10.60646	-0.01586554	0.166492	0.934664	0.065336	1.86933	0.130672	0.677328
43	1	-12.16367	-12.26606	0.1023972	-0.0966642	0.919259	0.0807409	1.83852	0.161482	0.6017806
44	0	-10.66219	-10.2944	-0.3677899	0.0770131	0.898278	0.101722	1.79656	0.203443	0.9630256
45	1	-12.17832	-12.36925	0.1909296	0.101072	0.951662	0.048338	1.90332	0.096676	0.5507938
46	0	-11.76566	-11.82799	0.06233479	0.306773	0.916157	0.0838429	1.83231	0.167686	0.6263788
47	1	-11.18307	-11.20771	0.0246356	0.294847	0.930878	0.0691219	1.86176	0.138244	0.6504436
48	0	-10.40926	-10.2165	-0.1927588	0.102305	0.915228	0.0847715	1.83046	0.169543	0.8083935
49	1	-11.09173	-10.9595	-0.1322327	-0.0918076	0.911675	0.0883255	1.82335	0.176651	0.7609159
50	0	-9.747294	-9.461534	-0.2857598	0.318172	0.940511	0.0594888	1.88102	0.118978	0.8871818
51	1	-12.26083	-12.31165	0.05081959	0.137442	0.878348	0.121652	1.7567	0.243304	0.6336334
52	0	-10.98526	-10.634	-0.3512635	-0.0893063	0.897617	0.102383	1.79523	0.204766	0.9472411
53	1	-10.77449	-10.74534	-0.02915133	0.103779	0.923422	0.076578	1.84684	0.153156	0.6863869
54	0	-9.392073	-9.087432	-0.3046418	0.137494	0.946562	0.053438	1.89312	0.106876	0.9040928
55	1	-11.01278	-10.62793	-0.3848443	0.0650258	0.885802	0.114198	1.7716	0.228395	0.9795903
56	0	-10.00794	-9.683152	-0.3247829	-0.135979	0.946453	0.0535466	1.89291	0.107093	0.9224868
57	1	-9.551752	-9.246241	-0.3055114	0.029022	0.945038	0.0549621	1.89008	0.109924	0.9048793
58	0	-10.29317	-9.996935	-0.2962379	-0.177902	0.946771	0.0532293	1.89354	0.106459	0.8965267
59	1	-10.3898	-10.04425	-0.3455493	-0.0614249	0.917122	0.082878	1.83424	0.165756	0.9418438
60	0	-10.21049	-9.882484	-0.3280063	0.473565	0.950011	0.0499892	1.90002	0.0999783	0.9254651
61	1	-11.0414	-10.80912	-0.2322831	-0.231648	0.932216	0.0677844	1.86443	0.135569	0.8409846
62	0	-10.3804	-10.07879	-0.3016111	0.135512	0.908847	0.0911527	1.81769	0.182305	0.9013569
63	1	-10.43817	-10.26797	-0.1701958	-0.0315125	0.925998	0.0740023	1.852	0.148005	0.7903579
64	0	-9.674891	-9.380476	-0.2944151	0.204836	0.971608	0.0283923	1.94322	0.0567846	0.894894
65	1	-10.87719	-10.63559	-0.2416006	0.052452	0.895912	0.104088	1.79182	0.208176	0.848857
66	0	-11.63131	-11.23223	-0.3990852	0.162796	0.861119	0.138881	1.72224	0.277763	0.9936404
67	1	-11.31423	-11.08051	-0.2337252	-0.252634	0.924816	0.0751838	1.84963	0.150368	0.8421982
