Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-10.94701	-10.57093	-0.3760777	0.0171058	0.890351	0.109649	1.7807	0.219299	0.9710402
10	-10.60087	-10.50576	-0.09511724	-0.0760428	0.948342	0.0516577	1.89668	0.103315	0.7331919
20	-9.739268	-9.527752	-0.2115165	0.0562135	0.961962	0.0380384	1.92392	0.0760768	0.8237002
30	-10.12522	-9.7516	-0.3736239	0.411973	0.973309	0.0266912	1.94662	0.0533824	0.9686604
40	-9.593309	-9.20275	-0.3905595	0.373445	0.944574	0.0554259	1.88915	0.110852	0.9852049
50	-10.59065	-10.19931	-0.391337	0.417828	0.915395	0.0846049	1.83079	0.16921	0.9859712
60	-9.152162	-8.800382	-0.3517802	0.123027	0.957089	0.0429109	1.91418	0.0858217	0.9477307
70	-9.926462	-9.653345	-0.2731172	0.338379	0.936834	0.063166	1.87367	0.126332	0.8760362
80	-11.29613	-11.04283	-0.2532972	-0.096243	0.891462	0.108538	1.78292	0.217076	0.8588441
90	-9.084503	-8.693177	-0.391326	0.11538	0.956532	0.0434677	1.91306	0.0869354	0.9859604
100	-9.594936	-9.254028	-0.3409076	-0.0263861	0.945898	0.0541017	1.8918	0.108203	0.9374822
110	-10.02753	-9.735842	-0.2916922	-0.0526515	0.933451	0.0665486	1.8669	0.133097	0.8924606
120	-10.45878	-10.10781	-0.3509799	0.471805	0.93334	0.0666601	1.86668	0.13332	0.9469726
130	-9.205297	-8.803449	-0.4018483	0.313448	0.954619	0.045381	1.90924	0.0907621	0.9963897
140	-10.48864	-10.37978	-0.1088562	0.33302	0.938239	0.0617608	1.87648	0.123522	0.7433347
150	-13.05016	-13.31758	0.2674234	0.259768	0.924669	0.0753313	1.84934	0.150663	0.5102326
160	-10.64918	-10.44589	-0.2032904	0.291137	0.973909	0.0260912	1.94782	0.0521824	0.8169522
170	-10.6332	-10.36671	-0.2664914	0.384395	0.917601	0.0823992	1.8352	0.164798	0.8702509
180	-11.88992	-11.56192	-0.3279994	0.351788	0.864811	0.135189	1.72962	0.270377	0.9254588
190	-9.026761	-8.626121	-0.4006396	0.144287	0.958617	0.0413828	1.91723	0.0827656	0.9951861
200	-10.4806	-10.2104	-0.2701926	0.415744	0.928447	0.0715526	1.85689	0.143105	0.8734778
210	-9.624165	-9.331406	-0.2927586	0.169059	0.936847	0.0631528	1.87369	0.126306	0.8934128
220	-9.906255	-9.676526	-0.229729	0.335579	0.943793	0.0562073	1.88759	0.112415	0.8388393
230	-10.43991	-10.27011	-0.169799	-0.109508	0.956558	0.0434415	1.91312	0.0868831	0.7900444
240	-10.32846	-10.0634	-0.2650574	-0.121515	0.933532	0.0664682	1.86706	0.132936	0.8690039
250	-11.63087	-11.66682	0.03594361	0.0242871	0.965285	0.0347152	1.93057	0.0694303	0.6431298
260	-15.58405	-15.38052	-0.2035262	-0.0325402	0.704574	0.295426	1.40915	0.590852	0.8171448
270	-9.52703	-9.222795	-0.3042354	0.338934	0.955451	0.0445494	1.9109	0.0890988	0.9037254
280	-10.30153	-9.9804	-0.3211333	-0.0873581	0.973232	0.0267679	1.94646	0.0535357	0.9191262
290	-10.75276	-10.6971	-0.05566018	0.244846	0.923475	0.0765249	1.84695	0.15305	0.7048256
