Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	0.3057036	0.1075515	0.1981521	0.533492	0.937424	0.0625757	1.87485	0.125151	0.5468301
1	1	-2.918593	-3.459522	0.5409283	-0.257105	0.888107	0.111893	1.77621	0.223786	0.3881383
2	0	-1.954054	-2.906587	0.9525331	0.132376	0.943979	0.0560215	1.88796	0.112043	0.2571751
3	1	-4.135971	-4.602651	0.4666798	0.62752	0.812609	0.187391	1.62522	0.374781	0.4180539
4	0	0.1621941	-0.2944202	0.4566143	0.215837	0.96025	0.0397499	1.9205	0.0794997	0.4222831
5	1	-0.1537596	-0.2783329	0.1245733	0.499312	0.969606	0.0303938	1.93921	0.0607875	0.5885824
6	0	0.006929462	0.1207009	-0.1137714	0.520959	0.965302	0.0346984	1.9306	0.0693968	0.7469973
7	1	-6.359446	-6.421834	0.06238801	-0.497226	0.845249	0.154751	1.6905	0.309502	0.6263455
8	0	-0.6548488	-1.132292	0.4774437	0.40549	0.88485	0.11515	1.7697	0.2303	0.4135782
9	1	0.4050848	0.1893361	0.2157487	0.214572	0.961532	0.0384679	1.92306	0.0769358	0.5372919
10	0	0.2344184	-0.1148586	0.349277	0.496176	0.959109	0.0408906	1.91822	0.0817812	0.4701318
11	1	-0.7515234	-0.7770766	0.02555321	0.599398	0.940673	0.0593273	1.88135	0.118655	0.649847
12	0	-0.5279291	-0.789897	0.2619679	0.453276	0.902814	0.0971858	1.80563	0.194372	0.5130238
13	1	-0.5315267	-0.5978992	0.06637246	0.515033	0.921275	0.0787255	1.84255	0.157451	0.6238548
14	0	-0.2512644	-1.056704	0.80544	0.206724	0.927327	0.0726733	1.85465	0.145347	0.2979275
15	1	0.3052883	-0.2056095	0.5108977	0.493791	0.929812	0.0701878	1.85962	0.140376	0.3999712
16	0	0.4724569	0.3603254	0.1121316	0.289248	0.960009	0.0399907	1.92002	0.0799814	0.5959511
17	1	-0.7187169	-0.8824822	0.1637654	0.662367	0.931897	0.0681026	1.86379	0.136205	0.5659608
18	0	-2.340503	-2.384899	0.04439666	0.153761	0.891919	0.108081	1.78384	0.216161	0.6377163
19	1	-0.2795417	-1.053656	0.7741138	0.178643	0.914886	0.0851139	1.82977	0.170228	0.3074082
20	0	-4.41857	-4.262723	-0.1558472	-0.283757	0.899183	0.100817	1.79837	0.201635	0.7790984
21	1	-5.90183	-5.968478	0.06664863	-0.267814	0.803918	0.196082	1.60784	0.392164	0.6236826
22	0	-1.851184	-1.461998	-0.3891859	0.244483	0.957029	0.0429709	1.91406	0.0859419	0.9838526
23	1	0.06736432	-0.5431512	0.6105155	0.471643	0.944376	0.0556242	1.88875	0.111248	0.3620472
24	0	0.5840782	0.4126875	0.1713907	0.309666	0.952502	0.0474981	1.905	0.0949961	0.5616616
25	1	-0.6676808	-1.241097	0.5734159	0.196457	0.885851	0.114149	1.7717	0.228298	0.3757313
26	0	-0.328404	-0.1520251	-0.1763789	0.609684	0.960172	0.0398284	1.92034	0.0796568	0.79526
27	1	-2.163362	-3.131074	0.9677119	0.413328	0.872361	0.127639	1.74472	0.255279	0.2533009
28	0	-0.2496767	-0.08256848	-0.1671082	0.321509	0.971686	0.0283139	1.94337	0.0566277	0.7879215
29	1	0.06589001	-0.470452	0.536342	0.508253	0.921517	0.0784831	1.84303	0.156966	0.3899226
30	0	0.0685317	-0.582947	0.6514787	0.219397	0.914294	0.0857065	1.82859	0.171413	0.3475163
31	1	0.3748386	0.1645636	0.210275	0.174936	0.954365	0.0456348	1.90873	0.0912696	0.5402409
32	0	-1.586667	-2.022285	0.4356178	0.667376	0.906299	0.0937009	1.8126	0.187402	0.4312433
33	1	-2.352246	-2.69361	0.3413637	-0.122917	0.879492	0.120508	1.75898	0.241017	0.4738669
34	0	-1.701111	-2.693784	0.9926731	0.266703	0.881174	0.118826	1.76235	0.237653	0.2470565
35	1	-3.586065	-3.371566	-0.2144995	-0.180149	0.921665	0.0783351	1.84333	0.15667	0.826161
36	0	-0.08022881	-0.6662628	0.586034	0.232493	0.904893	0.095107	1.80979	0.190214	0.3710201
