Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0.506658	-0.09703794	0.6036959	0.344057	0.940129	0.0598707	1.88026	0.119741	0.3645247
10	0.6890344	0.3908265	0.2982079	0.386586	0.957091	0.0429086	1.91418	0.0858173	0.4947647
20	-1.119189	-1.274738	0.1555493	0.257463	0.90357	0.0964295	1.80714	0.192859	0.5706299
30	-2.22018	-2.226183	0.006002759	-0.0548898	0.915801	0.0841988	1.8316	0.168398	0.6626768
40	-1.092156	-1.759928	0.667772	-0.0287309	0.904616	0.095384	1.80923	0.190768	0.3419
50	-2.854031	-3.523406	0.6693752	0.303303	0.805686	0.194314	1.61137	0.388628	0.3413523
60	-1.124848	-1.577783	0.4529353	0.619526	0.901516	0.0984835	1.80303	0.196967	0.4238395
70	-2.205962	-3.023507	0.8175452	0.243193	0.835249	0.164751	1.6705	0.329503	0.2943428
80	0.1385769	-0.2097445	0.3483214	0.218364	0.924	0.0759998	1.848	0.152	0.4705813
90	-2.467976	-2.957777	0.4898004	0.704092	0.909707	0.0902927	1.81941	0.180585	0.4084991
100	0.1704646	-0.3029042	0.4733688	0.468303	0.916653	0.0833471	1.83331	0.166694	0.4152669
110	0.5789124	0.1234076	0.4555048	0.251129	0.951947	0.0480534	1.90389	0.0961068	0.4227518
120	-1.11821	-1.253338	0.1351276	0.467768	0.898462	0.101538	1.79692	0.203076	0.5824029
130	-0.3655113	-1.207329	0.8418178	0.292191	0.915705	0.0842952	1.83141	0.16859	0.2872843
140	-1.991443	-2.897409	0.9059653	-0.0369361	0.916998	0.0830024	1.834	0.166005	0.2694344
150	-4.285468	-4.788482	0.5030138	-0.400258	0.907834	0.0921664	1.81567	0.184333	0.403137
160	0.290219	0.2575517	0.03266728	0.333907	0.966858	0.0331416	1.93372	0.0662831	0.6452404
170	-0.6053998	-0.9110064	0.3056067	0.313186	0.898961	0.101039	1.79792	0.202078	0.4911176
180	-2.128322	-2.134363	0.006041447	0.683179	0.895471	0.104529	1.79094	0.209057	0.6626512
190	-0.200292	-0.5904437	0.3901517	0.00806217	0.939384	0.0606164	1.87877	0.121233	0.4513028
200	-1.333883	-1.13648	-0.1974037	0.737386	0.950948	0.0490524	1.9019	0.0981047	0.8121572
210	-2.761896	-2.564493	-0.1974037	0.656174	0.896448	0.103552	1.7929	0.207104	0.8121572
220	-1.234048	-0.892733	-0.3413148	0.292073	0.961008	0.0389915	1.92202	0.0779831	0.937864
230	0.007811226	0.1111668	-0.1033555	0.327584	0.964444	0.0355561	1.92889	0.0711122	0.7392571
240	-0.1601546	-0.7497733	0.5896187	0.38227	0.957747	0.042253	1.91549	0.084506	0.3696925
250	-0.509037	-0.7537981	0.2447612	0.0703731	0.96859	0.0314098	1.93718	0.0628196	0.5219277
260	-1.245497	-1.202294	-0.04320372	0.0126621	0.975915	0.0240852	1.95183	0.0481704	0.6961004
270	0.5720853	0.4638123	0.108273	0.421529	0.956292	0.0437084	1.91258	0.0874168	0.598255
280	-2.387235	-2.066032	-0.3212033	0.0138526	0.950133	0.0498666	1.90027	0.0997331	0.9191906
290	-1.510013	-1.988987	0.4789732	0.155355	0.864118	0.135882	1.72824	0.271763	0.412946
300	0.7196758	0.3070348	0.412641	0.331227	0.938804	0.0611959	1.87761	0.122392	0.4412666
310	-0.4221557	-1.273008	0.8508521	0.33775	0.928815	0.071185	1.85763	0.14237	0.2847006
320	0.1918382	0.04985752	0.1419807	0.186738	0.948699	0.0513007	1.8974	0.102601	0.5784253
330	-2.950121	-3.275384	0.3252628	-0.152833	0.864252	0.135748	1.7285	0.271497	0.4815583
340	-0.7592952	-1.420739	0.6614442	0.328603	0.960402	0.0395981	1.9208	0.0791963	0.3440703
350	0.08446495	-0.1921398	0.2766047	0.56805	0.929884	0.0701165	1.85977	0.140233	0.5055695
360	-1.327981	-1.629389	0.3014086	0.633646	0.895682	0.104318	1.79136	0.208635	0.4931836
370	-0.6321283	-0.3190773	-0.313051	0.52991	0.971956	0.0280442	1.94391	0.0560884	0.9117275
380	-1.171977	-1.408813	0.2368362	0.659395	0.908215	0.091785	1.81643	0.18357	0.5260803
390	-1.247927	-0.9074817	-0.3404457	0.3752	0.956694	0.0433062	1.91339	0.0866123	0.9370492
400	0.1450453	0.01477001	0.1302753	0.138502	0.958393	0.0416074	1.91679	0.0832148	0.5852358
410	0.5027656	0.09481668	0.407949	0.370552	0.958287	0.0417132	1.91657	0.0834263	0.4433419
420	-0.8867565	-1.470936	0.5841797	0.0275788	0.897543	0.102457	1.79509	0.204914	0.3717087
430	-1.026771	-1.085248	0.0584767	0.281059	0.964027	0.0359729	1.92805	0.0719459	0.6288001
440	-0.3012419	-0.6496356	0.3483937	0.0108872	0.957467	0.042533	1.91493	0.085066	0.4705473
450	-1.116593	-1.336908	0.2203145	0.393299	0.890302	0.109698	1.7806	0.219396	0.5348443
460	-0.2073259	-0.3259997	0.1186738	0.0480086	0.955548	0.0444518	1.9111	0.0889037	0.592065
470	-1.837686	-1.925568	0.08788179	0.0892521	0.90373	0.0962695	1.80746	0.192539	0.6105794
480	0.1827271	-0.479243	0.6619701	0.360491	0.945862	0.0541377	1.89172	0.108275	0.3438894
490	-2.8738	-2.623466	-0.2503346	0.587439	0.982773	0.017227	1.96555	0.034454	0.8563034
500	0.2964747	-0.3622555	0.6587302	0.254647	0.92605	0.0739503	1.8521	0.147901	0.3450054
510	-0.9156603	-1.703373	0.7877129	0.117554	0.891817	0.108183	1.78363	0.216366	0.303256
520	0.2913343	-0.1107875	0.4021218	0.125502	0.95211	0.0478898	1.90422	0.0957796	0.4459329
530	-1.44741	-1.15292	-0.2944905	0.632725	0.938622	0.0613781	1.87724	0.122756	0.8949615
540	-0.5627046	-1.223893	0.6611885	0.285361	0.88534	0.11466	1.77068	0.22932	0.3441583
550	-1.331918	-1.514796	0.1828775	0.706942	0.922679	0.0773209	1.84536	0.154642	0.5552468
560	-0.2978925	-0.4299576	0.1320651	0.277203	0.927512	0.0724883	1.85502	0.144977	0.5841893
570	-0.859148	-1.111068	0.25192	0.653759	0.916905	0.0830954	1.83381	0.166191	0.5182046
580	-0.1854748	-0.6778034	0.4923286	0.0287077	0.947372	0.0526282	1.89474	0.105256	0.4074677
590	0.3709703	0.2282079	0.1427623	0.218904	0.960944	0.0390555	1.92189	0.0781111	0.5779734
600	0.4701345	0.2359109	0.2342235	0.290855	0.96344	0.0365604	1.92688	0.0731207	0.5274566
610	-0.356263	-0.2818965	-0.07436652	0.421689	0.974953	0.0250472	1.94991	0.0500945	0.7181344
620	-1.279232	-1.212686	-0.06654623	0.654388	0.920165	0.0798348	1.84033	0.15967	0.7125403
