Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	250.6491	246.612	4.037123	0.0186379	2.04149e-16	1	4.08298e-16	2	0.01176545
10	249.5156	245.0032	4.512437	-0.424411	2.04149e-16	1	4.08298e-16	2	0.007314462
20	251.4563	247.1723	4.283954	0.0803184	2.04149e-16	1	4.08298e-16	2	0.009192022
30	251.3104	247.0794	4.23096	-0.0883312	2.04149e-16	1	4.08298e-16	2	0.009692285
40	251.7046	247.2809	4.423701	-0.0485952	2.04149e-16	1	4.08298e-16	2	0.007993182
50	247.9691	244.3176	3.651538	-0.256969	2.04149e-16	1	4.08298e-16	2	0.01730079
60	250.8002	246.2455	4.554714	-0.26582	2.04149e-16	1	4.08298e-16	2	0.007011671
70	251.1439	246.9509	4.192954	0.117373	2.04149e-16	1	4.08298e-16	2	0.01006774
80	251.5282	246.9172	4.610958	0.0868577	2.04149e-16	1	4.08298e-16	2	0.006628191
90	251.6397	247.2002	4.439576	-0.0937357	2.04149e-16	1	4.08298e-16	2	0.007867292
100	251.2001	246.6176	4.582539	0.189724	2.04149e-16	1	4.08298e-16	2	0.006819259
110	251.7317	247.2001	4.531559	-0.00317863	2.04149e-16	1	4.08298e-16	2	0.00717592
120	251.7305	247.3055	4.424998	-0.0123901	2.04149e-16	1	4.08298e-16	2	0.007982826
130	251.6906	247.2612	4.42941	-0.0625244	2.04149e-16	1	4.08298e-16	2	0.007947677
140	251.5197	247.1874	4.332206	-0.0975712	2.04149e-16	1	4.08298e-16	2	0.008759019
150	250.5974	246.1165	4.480828	-0.310234	2.04149e-16	1	4.08298e-16	2	0.007549358
160	250.6554	246.3814	4.273999	0.293798	2.04149e-16	1	4.08298e-16	2	0.009283984
170	250.308	246.2145	4.093525	-0.26976	2.04149e-16	1	4.08298e-16	2	0.01112022
180	251.5628	247.1382	4.424625	0.122208	2.04149e-16	1	4.08298e-16	2	0.007985802
190	250.202	245.7071	4.494914	-0.115718	2.04149e-16	1	4.08298e-16	2	0.007443761
200	255.4744	250.7481	4.726252	-0.00566762	2.04149e-16	1	4.08298e-16	2	0.005906407
210	255.4744	250.7481	4.726252	-0.00566762	2.04149e-16	1	4.08298e-16	2	0.005906407
220	255.4744	250.7481	4.726252	-0.00566762	2.04149e-16	1	4.08298e-16	2	0.005906407
230	255.4744	250.7481	4.726252	-0.00566762	2.04149e-16	1	4.08298e-16	2	0.005906407
240	250.4545	245.9532	4.501285	-0.325125	2.04149e-16	1	4.08298e-16	2	0.007396489
250	247.8974	244.0831	3.814321	-0.498359	2.04149e-16	1	4.08298e-16	2	0.01470178
260	251.4627	247.0889	4.373829	0.142625	2.04149e-16	1	4.08298e-16	2	0.008401927
270	250.7033	246.5666	4.136681	0.208005	2.04149e-16	1	4.08298e-16	2	0.01065053
280	249.2635	245.3471	3.916391	-0.336117	2.04149e-16	1	4.08298e-16	2	0.01327522
290	249.9906	245.8158	4.174742	0.371372	2.04149e-16	1	4.08298e-16	2	0.01025277
300	249.4461	245.0887	4.357405	0.457124	2.04149e-16	1	4.08298e-16	2	0.008541064
310	250.6103	246.2245	4.38577	0.315734	2.04149e-16	1	4.08298e-16	2	0.008302196
320	255.5608	250.9603	4.6005	-0.107094	2.04149e-16	1	4.08298e-16	2	0.006697874
330	251.5508	247.0108	4.539915	-0.117222	2.04149e-16	1	4.08298e-16	2	0.007116206
340	250.1541	246.2157	3.938357	-0.00362514	2.04149e-16	1	4.08298e-16	2	0.01298679
350	250.9411	246.8375	4.103604	-0.00448122	2.04149e-16	1	4.08298e-16	2	0.01100871
360	249.6331	245.1566	4.4765	-0.421303	2.04149e-16	1	4.08298e-16	2	0.007582103
370	251.353	246.8891	4.463897	0.183369	2.04149e-16	1	4.08298e-16	2	0.007678259
380	251.7482	247.2838	4.464331	0.0092032	2.04149e-16	1	4.08298e-16	2	0.007674927
390	254.1461	250.136	4.010174	0.221334	2.04149e-16	1	4.08298e-16	2	0.01208682
400	254.1461	250.136	4.010174	0.221334	2.04149e-16	1	4.08298e-16	2	0.01208682
