Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-6.86571	-6.47474	-0.3909699	-0.270169	0.984438	0.0155624	1.96888	0.0311248	0.9856093
1	1	-8.615599	-8.210712	-0.4048866	-0.3935	0.949503	0.050497	1.89901	0.100994	0.9994217
2	0	-9.001393	-8.666918	-0.3344748	-0.209615	0.944188	0.0558118	1.88838	0.111624	0.9314709
3	1	-9.763051	-9.374667	-0.3883842	-0.111723	0.895184	0.104816	1.79037	0.209631	0.9830642
4	0	-8.278167	-7.889337	-0.3888303	-0.273089	0.952888	0.0471121	1.90578	0.0942242	0.9835028
5	1	-6.733853	-6.329546	-0.4043068	-0.394018	0.982621	0.0173792	1.96524	0.0347583	0.9988423
6	0	-5.127269	-4.781627	-0.3456419	-0.71003	0.995762	0.00423789	1.99152	0.00847579	0.9419311
7	1	-8.805494	-8.422918	-0.3825762	-0.161117	0.936535	0.0634645	1.87307	0.126929	0.9773711
8	0	-8.558483	-8.189623	-0.3688595	-0.00340769	0.987416	0.0125838	1.97483	0.0251676	0.9640562
9	1	-4.409984	-4.011433	-0.3985511	-0.786248	0.996196	0.00380443	1.99239	0.00760886	0.9931098
10	0	-9.503333	-9.220664	-0.2826694	-0.0474574	0.955191	0.0448089	1.91038	0.0896178	0.8844444
11	1	-4.597481	-4.19893	-0.3985511	-0.751975	0.995866	0.00413356	1.99173	0.00826712	0.9931098
12	0	-7.552442	-7.191959	-0.3604826	-0.35235	0.975676	0.0243241	1.95135	0.0486481	0.9560142
13	1	-6.365945	-5.98044	-0.3855051	-0.341672	0.991455	0.00854483	1.98291	0.0170897	0.9802379
14	0	-9.189895	-8.920246	-0.2696491	-0.41055	0.965175	0.0348251	1.93035	0.0696503	0.8730032
15	1	-7.214533	-6.869152	-0.3453818	-0.335371	0.982852	0.0171483	1.9657	0.0342965	0.9416861
16	0	-10.61792	-10.43076	-0.187161	-0.475493	0.963563	0.036437	1.92713	0.072874	0.8038809
17	1	-7.975974	-7.789768	-0.1862063	-0.483978	0.996126	0.00387353	1.99225	0.00774705	0.8031139
18	0	-7.430201	-7.141909	-0.288292	-0.641315	0.990016	0.00998392	1.98003	0.0199678	0.8894313
19	1	-7.11843	-6.841902	-0.2765278	-0.431946	0.990112	0.00988776	1.98022	0.0197755	0.8790291
20	0	-8.8733	-8.571478	-0.3018223	-0.0603033	0.970812	0.0291883	1.94162	0.0583767	0.9015473
21	1	-8.154072	-7.755419	-0.3986534	-0.337334	0.956941	0.0430587	1.91388	0.0861174	0.9932115
22	0	-9.503269	-9.165556	-0.337713	-0.0183008	0.937511	0.0624888	1.87502	0.124978	0.9344921
23	1	-10.0885	-9.696916	-0.3915827	-0.354178	0.902343	0.0976568	1.80469	0.195314	0.9862135
24	0	-10.3034	-9.905922	-0.3974796	0.216427	0.949947	0.0500534	1.89989	0.100107	0.9920463
25	1	-9.581036	-9.207286	-0.3737503	-0.0033586	0.920988	0.0790118	1.84198	0.158024	0.9687828
26	0	-7.46844	-7.151272	-0.3171671	-0.49457	0.984395	0.0156048	1.96879	0.0312095	0.915488
27	1	-9.132932	-8.783298	-0.3496335	-0.461506	0.957714	0.042286	1.91543	0.084572	0.9456983
28	0	-7.646816	-7.248073	-0.3987432	-0.565893	0.980289	0.0197112	1.96058	0.0394223	0.9933006
29	1	-6.911226	-6.660608	-0.2506175	-0.635308	0.99284	0.0071598	1.98568	0.0143196	0.8565457
30	0	-8.243904	-7.99283	-0.2510738	-0.506346	0.983627	0.0163733	1.96725	0.0327467	0.8569366
31	1	-7.00861	-6.663936	-0.3446739	-0.284576	0.992078	0.00792168	1.98416	0.0158434	0.9410197
32	0	-7.86834	-7.572912	-0.2954278	-0.291336	0.994866	0.00513437	1.98973	0.0102687	0.8958007
33	1	-7.398188	-7.006861	-0.3913273	-0.323973	0.973576	0.0264235	1.94715	0.0528471	0.9859616
34	0	-5.908284	-5.546468	-0.3618163	-0.515253	0.992956	0.00704411	1.98591	0.0140882	0.9572901
35	1	-9.069562	-8.818304	-0.2512589	-0.230591	0.964744	0.0352559	1.92949	0.0705118	0.8570953
36	0	-7.24511	-6.87688	-0.3682296	-0.517447	0.983252	0.0167483	1.9665	0.0334965	0.9634492
37	1	-5.632752	-5.239712	-0.3930395	-0.576211	0.996908	0.00309235	1.99382	0.00618471	0.9876513
38	0	-6.512474	-6.150781	-0.3616935	-0.400251	0.989183	0.0108174	1.97837	0.0216348	0.9571725
39	1	-6.334422	-5.943939	-0.3904832	-0.371846	0.989245	0.0107549	1.97849	0.0215098	0.9851297
40	0	-8.101627	-7.726245	-0.3753815	-0.0797799	0.971104	0.0288964	1.94221	0.0577927	0.9703644
41	1	-9.39101	-9.059311	-0.3316987	-0.089305	0.93551	0.0644899	1.87102	0.12898	0.9288886
42	0	-13.80061	-13.471	-0.3296056	0.38688	0.925662	0.0743384	1.85132	0.148677	0.9269465
43	1	-7.872721	-7.521929	-0.3507924	-0.386002	0.972787	0.0272132	1.94557	0.0544264	0.946795
44	0	-8.961596	-8.64943	-0.3121658	-0.23797	0.951967	0.0480329	1.90393	0.0960657	0.9109208
45	1	-8.365609	-8.052345	-0.3132637	-0.258077	0.967248	0.0327522	1.9345	0.0655044	0.9119215
46	0	-12.74109	-12.34675	-0.3943347	0.347809	0.895534	0.104466	1.79107	0.208932	0.9889313
47	1	-7.436	-7.049319	-0.3866809	-0.368083	0.974335	0.025665	1.94867	0.0513301	0.9813911
48	0	-8.895318	-8.562917	-0.3324006	-0.231251	0.94833	0.0516705	1.89666	0.103341	0.9295408
49	1	-6.077355	-5.748862	-0.3284931	-0.650411	0.993311	0.00668886	1.98662	0.0133777	0.9259157
50	0	-7.238021	-6.899947	-0.3380743	-0.310691	0.984013	0.0159874	1.96803	0.0319748	0.9348298
51	1	-3.689882	-3.354563	-0.3353194	-0.916905	0.997757	0.00224341	1.99551	0.00448682	0.932258
52	0	-8.212769	-7.871554	-0.3412147	-0.437587	0.971554	0.0284459	1.94311	0.0568919	0.9377701
53	1	-8.739827	-8.396938	-0.3428886	-0.0128607	0.97073	0.0292703	1.94146	0.0585406	0.9393412
54	0	-10.95545	-10.70327	-0.2521722	-0.346947	0.919971	0.0800292	1.83994	0.160058	0.8578784
55	1	-9.2014	-8.881777	-0.3196228	-0.0873671	0.947651	0.0523491	1.8953	0.104698	0.917739
56	0	-8.555869	-8.299473	-0.2563965	-0.249976	0.975014	0.0249855	1.95003	0.0499711	0.86151
57	1	-7.467558	-7.084255	-0.3833039	-0.495338	0.979182	0.0208176	1.95836	0.0416352	0.9780825
58	0	-8.524857	-8.127417	-0.3974397	-0.296039	0.944836	0.0551639	1.88967	0.110328	0.9920067
59	1	-9.244159	-8.851895	-0.3922642	-0.407527	0.938457	0.0615429	1.87691	0.123086	0.9868859
60	0	-8.786614	-8.422174	-0.3644402	0.000933642	0.962428	0.0375715	1.92486	0.0751431	0.9598053
61	1	-9.916101	-9.574457	-0.3416433	0.132648	0.963614	0.0363863	1.92723	0.0727726	0.9381722
62	0	-8.147825	-7.806841	-0.3409848	-0.327599	0.967463	0.0325372	1.93493	0.0650743	0.9375546
63	1	-7.535573	-7.179723	-0.3558496	-0.330905	0.976388	0.0236117	1.95278	0.0472234	0.9515952
64	0	-4.713527	-4.397586	-0.3159413	-0.819999	0.996805	0.00319539	1.99361	0.00639079	0.9143665
65	1	-9.109134	-8.763493	-0.3456407	-0.137171	0.938266	0.0617345	1.87653	0.123469	0.9419299
66	0	-4.869846	-4.536904	-0.3329421	-0.942424	0.997011	0.00298902	1.99402	0.00597804	0.9300444
67	1	-6.405147	-6.004651	-0.4004968	-0.342243	0.988064	0.011936	1.97613	0.023872	0.995044
68	0	-6.387593	-6.030448	-0.3571451	-0.396574	0.991591	0.0084093	1.98318	0.0168186	0.9528288
69	1	-5.275448	-4.88238	-0.3930678	-0.594514	0.994453	0.00554728	1.98891	0.0110946	0.9876792
70	0	-8.625979	-8.356329	-0.2696493	-0.290946	0.970412	0.029588	1.94082	0.0591761	0.8730035
71	1	-3.295022	-2.901954	-0.3930678	-0.940559	0.997356	0.0026437	1.99471	0.0052874	0.9876792
72	0	-8.292153	-8.020016	-0.2721366	-0.59834	0.985622	0.0143778	1.97124	0.0287557	0.8751776
73	1	-4.648895	-4.345196	-0.3036996	-0.837179	0.997049	0.0029506	1.9941	0.0059012	0.9032413
74	0	-6.545246	-6.151569	-0.3936763	-0.395832	0.985871	0.0141285	1.97174	0.0282571	0.9882804
75	1	-6.530621	-6.167778	-0.362843	-0.566436	0.989373	0.0106273	1.97875	0.0212545	0.9582735
76	0	-6.089244	-5.7166	-0.3726442	-0.450299	0.991783	0.00821707	1.98357	0.0164341	0.9677119
77	1	-5.245311	-4.857066	-0.3882447	-0.62166	0.996747	0.00325271	1.99349	0.00650542	0.9829271
78	0	-2.430893	-2.051829	-0.3790638	-0.989453	0.997934	0.00206635	1.99587	0.0041327	0.9739442
79	1	-4.647779	-4.319694	-0.3280856	-0.949659	0.997148	0.00285173	1.9943	0.00570345	0.9255385
80	0	-4.865839	-4.475715	-0.3901236	-0.666663	0.996464	0.00353565	1.99293	0.00707129	0.9847756
81	1	-5.484657	-5.09933	-0.385327	-0.591912	0.993672	0.00632786	1.98734	0.0126557	0.9800633
82	0	-3.664973	-3.322557	-0.342416	-0.920725	0.997837	0.00216268	1.99567	0.00432535	0.9388973
83	1	-5.086587	-4.748817	-0.3377701	-0.724847	0.996012	0.00398782	1.99202	0.00797564	0.9345454
84	0	-6.55137	-6.273728	-0.2776423	-0.564761	0.993055	0.00694487	1.98611	0.0138897	0.8800093
85	1	-5.818043	-5.591817	-0.2262267	-0.763005	0.996943	0.00305653	1.99389	0.00611305	0.8359066
86	0	-3.863688	-3.526713	-0.3369752	-0.945347	0.997336	0.0026637	1.99467	0.0053274	0.9338029
87	1	-6.332996	-6.228287	-0.1047086	-0.966882	0.998083	0.00191683	1.99617	0.00383365	0.740258
88	0	-5.498175	-5.094251	-0.4039241	-0.512199	0.993709	0.00629136	1.98742	0.0125827	0.9984602
89	1	-7.150163	-6.760725	-0.3894377	-0.499734	0.98188	0.0181202	1.96376	0.0362404	0.9841004
90	0	-7.289863	-6.904084	-0.3857795	-0.161748	0.9894	0.0105998	1.9788	0.0211996	0.9805069
91	1	-6.047524	-5.64726	-0.4002636	-0.527921	0.989937	0.0100632	1.97987	0.0201265	0.994812
92	0	-4.644143	-4.245577	-0.3985662	-0.76993	0.995772	0.00422832	1.99154	0.00845663	0.9931248
93	1	-6.25359	-5.867271	-0.3863183	-0.365822	0.991729	0.00827116	1.98346	0.0165423	0.9810353
94	0	-6.246588	-5.858045	-0.3885424	-0.674686	0.991573	0.008427	1.98315	0.016854	0.9832196
95	1	-5.959952	-5.702396	-0.2575559	-0.876009	0.996309	0.003691	1.99262	0.007382	0.8625094
96	0	-7.846721	-7.460838	-0.385883	-0.0970173	0.974568	0.0254319	1.94914	0.0508639	0.9806083
97	1	-5.102863	-4.784787	-0.3180754	-0.751804	0.99628	0.00372037	1.99256	0.00744073	0.91632
98	0	-7.208487	-6.847778	-0.360709	-0.581763	0.986214	0.0137862	1.97243	0.0275725	0.9562307
99	1	-5.070444	-4.680691	-0.3897534	-0.643113	0.995124	0.00487632	1.99025	0.00975265	0.9844111
100	0	-8.252858	-8.037503	-0.2153552	-0.33271	0.994398	0.00560151	1.9888	0.011203	0.8268683
101	1	-7.115514	-6.831705	-0.2838082	-0.392995	0.990412	0.00958761	1.98082	0.0191752	0.8854521
102	0	-6.166218	-5.910971	-0.255247	-0.872218	0.996166	0.00383401	1.99233	0.00766802	0.8605203
103	1	-7.480185	-7.150445	-0.3297405	-0.413999	0.981362	0.018638	1.96272	0.0372759	0.9270715
104	0	-8.229738	-7.955662	-0.2740764	-0.392641	0.977951	0.0220489	1.9559	0.0440977	0.8768769
105	1	-6.364013	-5.978329	-0.3856837	-0.509438	0.988483	0.0115167	1.97697	0.0230334	0.9804129
106	0	-6.047854	-5.655351	-0.3925034	-0.397232	0.992881	0.00711887	1.98576	0.0142377	0.9871219
107	1	-8.029041	-7.627487	-0.4015544	-0.0584167	0.968759	0.0312408	1.93752	0.0624816	0.996097
108	0	-6.183609	-5.880645	-0.3029634	-0.559876	0.996056	0.0039443	1.99211	0.0078886	0.9025766
109	1	-5.523524	-5.161891	-0.361633	-0.844586	0.9956	0.00440049	1.9912	0.00880098	0.9571146
110	0	-5.488391	-5.209014	-0.2793763	-0.731543	0.996427	0.00357276	1.99285	0.00714551	0.8815366
111	1	-3.086632	-2.76649	-0.3201418	-0.976583	0.997734	0.00226636	1.99547	0.00453272	0.9182154
112	0	-3.41842	-3.034665	-0.3837544	-0.902388	0.997433	0.00256746	1.99487	0.00513493	0.9785232
113	1	-5.817914	-5.64951	-0.1684049	-0.85304	0.997316	0.00268364	1.99463	0.00536728	0.7889438
114	0	-3.881169	-3.48468	-0.396489	-0.83928	0.997522	0.00247837	1.99504	0.00495675	0.991064
115	1	-8.091345	-7.947609	-0.143736	-0.668878	0.993041	0.00695938	1.98608	0.0139188	0.7697195
116	0	-3.594873	-3.282178	-0.3126948	-0.944981	0.997572	0.00242782	1.99514	0.00485565	0.9114028
117	1	-6.004275	-5.684723	-0.3195519	-0.691072	0.994011	0.00598936	1.98802	0.0119787	0.9176739
118	0	-2.872361	-2.488105	-0.384256	-0.94787	0.997842	0.00215772	1.99568	0.00431544	0.9790142
119	1	-6.453082	-6.147484	-0.3055981	-0.648201	0.992764	0.00723584	1.98553	0.0144717	0.9049578
120	0	-3.257975	-2.865361	-0.3926147	-0.917032	0.997419	0.00258131	1.99484	0.00516262	0.9872318
121	1	-8.256551	-7.944999	-0.3115523	-0.653616	0.986497	0.0135027	1.97299	0.0270053	0.9103622
122	0	-5.689945	-5.379566	-0.310379	-0.829243	0.996951	0.00304853	1.9939	0.00609707	0.9092946
123	1	-6.488061	-6.120324	-0.3677369	-0.346139	0.992417	0.00758297	1.98483	0.0151659	0.9629747
124	0	-5.909922	-5.626533	-0.2833889	-0.695055	0.9951	0.00489973	1.9902	0.00979946	0.8850809
125	1	-6.440003	-6.091951	-0.3480513	-0.396159	0.993719	0.00628132	1.98744	0.0125626	0.9442033
126	0	-3.044336	-2.702697	-0.3416387	-0.986476	0.997752	0.00224767	1.9955	0.00449534	0.9381679
127	1	-8.044717	-7.829429	-0.2152882	-0.598485	0.989474	0.0105256	1.97895	0.0210513	0.8268128
128	0	-4.995422	-4.663721	-0.3317017	-0.804394	0.996154	0.00384629	1.99231	0.00769257	0.9288914
129	1	-8.099814	-7.781189	-0.3186249	-0.125917	0.984157	0.0158429	1.96831	0.0316857	0.9168236
130	0	-6.409706	-6.051477	-0.3582287	-0.834724	0.994734	0.00526557	1.98947	0.0105311	0.9538619
