Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-6.86571	-6.47474	-0.3909699	-0.270169	0.984438	0.0155624	1.96888	0.0311248	0.9856093
10	-9.001393	-8.666918	-0.3344748	-0.209615	0.944188	0.0558118	1.88838	0.111624	0.9314709
20	-8.278167	-7.889337	-0.3888303	-0.273089	0.952888	0.0471121	1.90578	0.0942242	0.9835028
30	-5.127269	-4.781627	-0.3456419	-0.71003	0.995762	0.00423789	1.99152	0.00847579	0.9419311
40	-8.558483	-8.189623	-0.3688595	-0.00340769	0.987416	0.0125838	1.97483	0.0251676	0.9640562
50	-9.503333	-9.220664	-0.2826694	-0.0474574	0.955191	0.0448089	1.91038	0.0896178	0.8844444
60	-7.552442	-7.191959	-0.3604826	-0.35235	0.975676	0.0243241	1.95135	0.0486481	0.9560142
70	-9.189895	-8.920246	-0.2696491	-0.41055	0.965175	0.0348251	1.93035	0.0696503	0.8730032
80	-10.61792	-10.43076	-0.187161	-0.475493	0.963563	0.036437	1.92713	0.072874	0.8038809
90	-7.430201	-7.141909	-0.288292	-0.641315	0.990016	0.00998392	1.98003	0.0199678	0.8894313
100	-8.8733	-8.571478	-0.3018223	-0.0603033	0.970812	0.0291883	1.94162	0.0583767	0.9015473
110	-9.503269	-9.165556	-0.337713	-0.0183008	0.937511	0.0624888	1.87502	0.124978	0.9344921
120	-10.3034	-9.905922	-0.3974796	0.216427	0.949947	0.0500534	1.89989	0.100107	0.9920463
130	-7.46844	-7.151272	-0.3171671	-0.49457	0.984395	0.0156048	1.96879	0.0312095	0.915488
140	-7.646816	-7.248073	-0.3987432	-0.565893	0.980289	0.0197112	1.96058	0.0394223	0.9933006
150	-8.243904	-7.99283	-0.2510738	-0.506346	0.983627	0.0163733	1.96725	0.0327467	0.8569366
160	-7.86834	-7.572912	-0.2954278	-0.291336	0.994866	0.00513437	1.98973	0.0102687	0.8958007
170	-5.908284	-5.546468	-0.3618163	-0.515253	0.992956	0.00704411	1.98591	0.0140882	0.9572901
180	-7.24511	-6.87688	-0.3682296	-0.517447	0.983252	0.0167483	1.9665	0.0334965	0.9634492
190	-6.512474	-6.150781	-0.3616935	-0.400251	0.989183	0.0108174	1.97837	0.0216348	0.9571725
200	-8.101627	-7.726245	-0.3753815	-0.0797799	0.971104	0.0288964	1.94221	0.0577927	0.9703644
210	-13.80061	-13.471	-0.3296056	0.38688	0.925662	0.0743384	1.85132	0.148677	0.9269465
220	-8.961596	-8.64943	-0.3121658	-0.23797	0.951967	0.0480329	1.90393	0.0960657	0.9109208
230	-12.74109	-12.34675	-0.3943347	0.347809	0.895534	0.104466	1.79107	0.208932	0.9889313
240	-8.895318	-8.562917	-0.3324006	-0.231251	0.94833	0.0516705	1.89666	0.103341	0.9295408
250	-7.238021	-6.899947	-0.3380743	-0.310691	0.984013	0.0159874	1.96803	0.0319748	0.9348298
260	-8.212769	-7.871554	-0.3412147	-0.437587	0.971554	0.0284459	1.94311	0.0568919	0.9377701
270	-10.95545	-10.70327	-0.2521722	-0.346947	0.919971	0.0800292	1.83994	0.160058	0.8578784
280	-8.555869	-8.299473	-0.2563965	-0.249976	0.975014	0.0249855	1.95003	0.0499711	0.86151
290	-8.524857	-8.127417	-0.3974397	-0.296039	0.944836	0.0551639	1.88967	0.110328	0.9920067
300	-8.786614	-8.422174	-0.3644402	0.000933642	0.962428	0.0375715	1.92486	0.0751431	0.9598053
310	-8.147825	-7.806841	-0.3409848	-0.327599	0.967463	0.0325372	1.93493	0.0650743	0.9375546
320	-4.713527	-4.397586	-0.3159413	-0.819999	0.996805	0.00319539	1.99361	0.00639079	0.9143665
330	-4.869846	-4.536904	-0.3329421	-0.942424	0.997011	0.00298902	1.99402	0.00597804	0.9300444
340	-6.387593	-6.030448	-0.3571451	-0.396574	0.991591	0.0084093	1.98318	0.0168186	0.9528288
350	-8.625979	-8.356329	-0.2696493	-0.290946	0.970412	0.029588	1.94082	0.0591761	0.8730035
360	-8.292153	-8.020016	-0.2721366	-0.59834	0.985622	0.0143778	1.97124	0.0287557	0.8751776
370	-6.545246	-6.151569	-0.3936763	-0.395832	0.985871	0.0141285	1.97174	0.0282571	0.9882804
380	-6.089244	-5.7166	-0.3726442	-0.450299	0.991783	0.00821707	1.98357	0.0164341	0.9677119
390	-2.430893	-2.051829	-0.3790638	-0.989453	0.997934	0.00206635	1.99587	0.0041327	0.9739442
400	-4.865839	-4.475715	-0.3901236	-0.666663	0.996464	0.00353565	1.99293	0.00707129	0.9847756
410	-3.664973	-3.322557	-0.342416	-0.920725	0.997837	0.00216268	1.99567	0.00432535	0.9388973
420	-6.55137	-6.273728	-0.2776423	-0.564761	0.993055	0.00694487	1.98611	0.0138897	0.8800093
430	-3.863688	-3.526713	-0.3369752	-0.945347	0.997336	0.0026637	1.99467	0.0053274	0.9338029
440	-5.498175	-5.094251	-0.4039241	-0.512199	0.993709	0.00629136	1.98742	0.0125827	0.9984602
450	-7.289863	-6.904084	-0.3857795	-0.161748	0.9894	0.0105998	1.9788	0.0211996	0.9805069
460	-4.644143	-4.245577	-0.3985662	-0.76993	0.995772	0.00422832	1.99154	0.00845663	0.9931248
470	-6.246588	-5.858045	-0.3885424	-0.674686	0.991573	0.008427	1.98315	0.016854	0.9832196
480	-7.846721	-7.460838	-0.385883	-0.0970173	0.974568	0.0254319	1.94914	0.0508639	0.9806083
490	-7.208487	-6.847778	-0.360709	-0.581763	0.986214	0.0137862	1.97243	0.0275725	0.9562307
500	-8.252858	-8.037503	-0.2153552	-0.33271	0.994398	0.00560151	1.9888	0.011203	0.8268683
510	-6.166218	-5.910971	-0.255247	-0.872218	0.996166	0.00383401	1.99233	0.00766802	0.8605203
520	-8.229738	-7.955662	-0.2740764	-0.392641	0.977951	0.0220489	1.9559	0.0440977	0.8768769
530	-6.047854	-5.655351	-0.3925034	-0.397232	0.992881	0.00711887	1.98576	0.0142377	0.9871219
540	-6.183609	-5.880645	-0.3029634	-0.559876	0.996056	0.0039443	1.99211	0.0078886	0.9025766
550	-5.488391	-5.209014	-0.2793763	-0.731543	0.996427	0.00357276	1.99285	0.00714551	0.8815366
560	-3.41842	-3.034665	-0.3837544	-0.902388	0.997433	0.00256746	1.99487	0.00513493	0.9785232
570	-3.881169	-3.48468	-0.396489	-0.83928	0.997522	0.00247837	1.99504	0.00495675	0.991064
580	-3.594873	-3.282178	-0.3126948	-0.944981	0.997572	0.00242782	1.99514	0.00485565	0.9114028
590	-2.872361	-2.488105	-0.384256	-0.94787	0.997842	0.00215772	1.99568	0.00431544	0.9790142
600	-3.257975	-2.865361	-0.3926147	-0.917032	0.997419	0.00258131	1.99484	0.00516262	0.9872318
610	-5.689945	-5.379566	-0.310379	-0.829243	0.996951	0.00304853	1.9939	0.00609707	0.9092946
