Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-18.08034	-17.69103	-0.3893085	-0.163035	0.978888	0.0211124	1.95778	0.0422247	0.9839732
1	1	-20.54404	-20.17153	-0.3725091	-0.221791	0.912893	0.0871075	1.82579	0.174215	0.9675811
2	0	-18.34959	-17.9901	-0.3594886	-0.219691	0.968924	0.0310761	1.93785	0.0621522	0.9550644
3	1	-18.51472	-18.15634	-0.3583775	-0.251896	0.963926	0.0360741	1.92785	0.0721482	0.9540038
4	0	-17.99192	-17.58936	-0.4025602	-0.192178	0.962033	0.0379675	1.92407	0.075935	0.9970993
5	1	-24.14453	-23.82109	-0.3234448	-0.37266	0.873673	0.126327	1.74735	0.252653	0.9212532
6	0	-18.36625	-17.99209	-0.3741612	-0.326548	0.96501	0.0349902	1.93002	0.0699804	0.969181
7	1	-21.12425	-20.76979	-0.3544587	0.122688	0.958465	0.0415351	1.91693	0.0830701	0.9502726
8	0	-18.7886	-18.45546	-0.3331351	-0.380153	0.980733	0.019267	1.96147	0.0385341	0.9302238
9	1	-20.09308	-19.73862	-0.3544587	0.017908	0.976899	0.0231011	1.9538	0.0462022	0.9502726
10	0	-18.64996	-18.27423	-0.375725	-0.141839	0.957829	0.0421711	1.91566	0.0843421	0.9706977
11	1	-18.51749	-18.13762	-0.3798748	-0.151106	0.959082	0.0409184	1.91816	0.0818368	0.9747343
12	0	-17.6891	-17.28738	-0.4017149	-0.384724	0.981284	0.0187157	1.96257	0.0374313	0.9962568
13	1	-22.23501	-21.88537	-0.349648	-0.367504	0.903132	0.0968682	1.80626	0.193736	0.9457121
14	0	-18.887	-18.55136	-0.335641	-0.196392	0.980743	0.0192573	1.96149	0.0385146	0.9325578
15	1	-19.24211	-18.87558	-0.3665239	-0.132247	0.946371	0.0536291	1.89274	0.107258	0.9618072
16	0	-18.56228	-18.16451	-0.3977673	-0.0520612	0.973916	0.0260839	1.94783	0.0521677	0.9923318
17	1	-19.62287	-19.27698	-0.3458886	-0.0416553	0.957008	0.0429923	1.91402	0.0859845	0.9421634
18	0	-18.34375	-17.94604	-0.3977065	-0.380512	0.963636	0.0363638	1.92727	0.0727277	0.9922714
19	1	-18.42183	-18.02194	-0.3998859	-0.440041	0.969516	0.0304836	1.93903	0.0609672	0.9944363
20	0	-19.38177	-19.02439	-0.3573812	-0.0353926	0.974966	0.0250337	1.94993	0.0500674	0.9530538
21	1	-19.10083	-18.72035	-0.3804782	-0.507454	0.985318	0.0146816	1.97064	0.0293631	0.9753227
22	0	-17.68387	-17.28324	-0.4006319	-0.383558	0.979485	0.0205146	1.95897	0.0410291	0.9951784
23	1	-18.63759	-18.23828	-0.3993078	-0.299439	0.950496	0.049504	1.90099	0.0990081	0.9938616
24	0	-21.04581	-20.68332	-0.3624967	-0.327993	0.916204	0.0837958	1.83241	0.167592	0.9579417
25	1	-19.03442	-18.64905	-0.3853659	-0.0342702	0.958504	0.0414964	1.91701	0.0829929	0.9801014
26	0	-20.59473	-20.27242	-0.3223098	-0.32528	0.963428	0.0365723	1.92686	0.0731447	0.9202082
27	1	-22.50269	-22.15532	-0.3473739	-0.197103	0.872912	0.127088	1.74582	0.254176	0.9435639
28	0	-19.68013	-19.38815	-0.2919792	-0.383121	0.983419	0.016581	1.96684	0.033162	0.8927167
29	1	-22.44301	-22.09014	-0.3528643	0.135891	0.912906	0.0870936	1.82581	0.174187	0.9487587
