Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-18.08034	-17.69103	-0.3893085	-0.163035	0.978888	0.0211124	1.95778	0.0422247	0.9839732
10	-18.34959	-17.9901	-0.3594886	-0.219691	0.968924	0.0310761	1.93785	0.0621522	0.9550644
20	-17.99192	-17.58936	-0.4025602	-0.192178	0.962033	0.0379675	1.92407	0.075935	0.9970993
30	-18.36625	-17.99209	-0.3741612	-0.326548	0.96501	0.0349902	1.93002	0.0699804	0.969181
40	-18.7886	-18.45546	-0.3331351	-0.380153	0.980733	0.019267	1.96147	0.0385341	0.9302238
50	-18.64996	-18.27423	-0.375725	-0.141839	0.957829	0.0421711	1.91566	0.0843421	0.9706977
60	-17.6891	-17.28738	-0.4017149	-0.384724	0.981284	0.0187157	1.96257	0.0374313	0.9962568
70	-18.887	-18.55136	-0.335641	-0.196392	0.980743	0.0192573	1.96149	0.0385146	0.9325578
80	-18.56228	-18.16451	-0.3977673	-0.0520612	0.973916	0.0260839	1.94783	0.0521677	0.9923318
90	-18.34375	-17.94604	-0.3977065	-0.380512	0.963636	0.0363638	1.92727	0.0727277	0.9922714
100	-19.38177	-19.02439	-0.3573812	-0.0353926	0.974966	0.0250337	1.94993	0.0500674	0.9530538
110	-17.68387	-17.28324	-0.4006319	-0.383558	0.979485	0.0205146	1.95897	0.0410291	0.9951784
120	-21.04581	-20.68332	-0.3624967	-0.327993	0.916204	0.0837958	1.83241	0.167592	0.9579417
130	-20.59473	-20.27242	-0.3223098	-0.32528	0.963428	0.0365723	1.92686	0.0731447	0.9202082
140	-19.68013	-19.38815	-0.2919792	-0.383121	0.983419	0.016581	1.96684	0.033162	0.8927167
150	-20.26146	-20.02041	-0.2410499	-0.228763	0.970172	0.029828	1.94034	0.0596561	0.8483897
160	-20.59797	-20.35473	-0.2432401	-0.149161	0.962671	0.0373295	1.92534	0.0746589	0.8502499
170	-21.61958	-21.40567	-0.2139081	-0.398268	0.985734	0.0142657	1.97147	0.0285314	0.8256725
180	-20.22835	-19.97342	-0.2549272	-0.272685	0.963301	0.0366987	1.9266	0.0733973	0.8602451
190	-20.36726	-20.0582	-0.3090581	-0.459454	0.9657	0.0342997	1.9314	0.0685994	0.9080943
200	-20.57641	-20.31202	-0.2643969	-0.0913612	0.959796	0.0402037	1.91959	0.0804074	0.8684301
210	-20.09525	-19.81457	-0.280683	-0.211744	0.955146	0.0448539	1.91029	0.0897078	0.8826892
220	-21.22404	-20.94783	-0.2762134	-0.429171	0.95596	0.0440403	1.91192	0.0880806	0.8787528
230	-18.08401	-17.71586	-0.3681464	-0.243846	0.978022	0.0219782	1.95604	0.0439564	0.9633691
240	-19.62478	-19.31535	-0.3094334	-0.184257	0.982961	0.0170393	1.96592	0.0340787	0.9084352
250	-21.92339	-21.55112	-0.3722712	-0.30792	0.890501	0.109499	1.781	0.218997	0.9673509
260	-19.42575	-19.03015	-0.3956033	-0.0416389	0.939915	0.0600846	1.87983	0.120169	0.9901867
270	-20.99522	-20.59604	-0.399181	-0.243646	0.894368	0.105632	1.78874	0.211264	0.9937356
280	-18.30019	-17.94069	-0.3595055	-0.373119	0.978727	0.021273	1.95745	0.042546	0.9550806
290	-19.17354	-18.83407	-0.3394735	-0.0978357	0.965776	0.0342244	1.93155	0.0684489	0.9361387
300	-24.36189	-24.01582	-0.3460699	-0.474246	0.893987	0.106013	1.78797	0.212027	0.9423343
