Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	5.848676	4.762212	1.086464	-0.26389	0.869835	0.130165	1.73967	0.260331	0.2249383
1	1	6.041052	4.8159	1.225153	-0.355933	0.839696	0.160304	1.67939	0.320607	0.1958086
2	0	3.024656	2.368367	0.6562891	-0.66979	0.734479	0.265521	1.46896	0.531041	0.3458486
3	1	5.436754	4.255296	1.181458	-0.395418	0.764471	0.235529	1.52894	0.471058	0.204554
4	0	5.899799	4.654165	1.245634	-0.221629	0.837373	0.162627	1.67475	0.325254	0.1918389
5	1	4.704699	3.478152	1.226547	-0.562625	0.742239	0.257761	1.48448	0.515522	0.1955357
6	0	3.575642	3.044447	0.5311959	-0.330787	0.846881	0.153119	1.69376	0.306237	0.3919343
7	1	4.683658	3.873154	0.8105033	-0.218378	0.830709	0.169291	1.66142	0.338582	0.2964228
8	0	1.071962	0.7781823	0.29378	-0.58673	0.748739	0.251261	1.49748	0.502523	0.4969603
9	1	5.409797	4.373706	1.036091	-0.111902	0.869124	0.130876	1.73825	0.261752	0.2365593
10	0	3.373681	2.868085	0.5055965	-0.0579062	0.889547	0.110453	1.77909	0.220907	0.4020971
11	1	3.306232	2.550623	0.7556092	-0.732867	0.769035	0.230965	1.53807	0.461931	0.3131496
12	0	3.076	2.740611	0.3353885	-0.713437	0.912532	0.0874677	1.82506	0.174935	0.4767068
13	1	4.13819	2.522077	1.616113	-0.104558	0.861707	0.138293	1.72341	0.276585	0.1324463
14	0	5.212975	4.33019	0.8827849	-0.408858	0.910555	0.0894452	1.82111	0.17889	0.2757529
15	1	1.082663	0.8239763	0.2586865	0.320918	0.91232	0.0876801	1.82464	0.17536	0.51471
16	0	2.113423	1.908538	0.2048843	-0.136019	0.953503	0.0464974	1.90701	0.0929948	0.543161
17	1	6.00498	4.725898	1.279082	-0.384171	0.835072	0.164928	1.67014	0.329856	0.1855285
18	0	3.60349	2.820294	0.7831965	-0.583296	0.928577	0.0714228	1.85715	0.142846	0.3046287
19	1	4.901488	4.16068	0.7408079	-0.368772	0.852282	0.147718	1.70456	0.295436	0.3178191
20	0	5.128563	4.259998	0.8685645	-0.380156	0.819836	0.180164	1.63967	0.360328	0.2797023
21	1	3.304236	2.127303	1.176933	0.182907	0.892026	0.107974	1.78405	0.215948	0.2054818
22	0	5.111523	4.249721	0.8618016	-0.201768	0.854242	0.145758	1.70848	0.291517	0.2816003
23	1	5.47132	4.550464	0.9208556	-0.240502	0.888967	0.111033	1.77793	0.222065	0.2654521
24	0	3.913799	3.196257	0.7175422	0.0512798	0.912255	0.087745	1.82451	0.17549	0.3253
25	1	4.275443	3.536937	0.7385065	-0.520846	0.787968	0.212032	1.57594	0.424065	0.3185514
26	0	5.816001	4.751733	1.064269	-0.253547	0.865394	0.134606	1.73079	0.269211	0.2299867
27	1	4.604883	3.390695	1.214188	-0.481227	0.707997	0.292003	1.41599	0.584007	0.1979674
