Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	1.91249	1.316681	0.5958084	0.347513	0.847348	0.152652	1.6947	0.305305	0.3674112
10	5.438899	4.46162	0.9772788	-0.15914	0.873622	0.126378	1.74724	0.252757	0.2508892
20	3.727182	2.347102	1.38008	-0.534048	0.680699	0.319301	1.3614	0.638602	0.1677056
30	5.384	3.995	1.389	-0.179902	0.869096	0.130904	1.73819	0.261807	0.1662164
40	4.640845	3.864108	0.7767369	-0.309439	0.926974	0.0730256	1.85395	0.146051	0.3066029
50	2.252141	1.475404	0.7767369	-0.765858	0.730965	0.269035	1.46193	0.53807	0.3066029
60	2.795474	2.015475	0.7799987	-0.309328	0.683173	0.316827	1.36635	0.633655	0.3056044
70	5.444183	4.475197	0.9689863	-0.167801	0.874553	0.125447	1.74911	0.250895	0.2529784
80	5.966148	4.67773	1.288418	-0.263536	0.835668	0.164332	1.67134	0.328665	0.1838044
90	4.794045	3.517242	1.276803	0.0494299	0.810535	0.189465	1.62107	0.378929	0.1859518
100	5.622833	4.19644	1.426393	-0.24967	0.854477	0.145523	1.70895	0.291045	0.1601158
110	1.908623	0.9022628	1.006361	-0.222213	0.549792	0.450208	1.09958	0.900416	0.2436979
120	4.724165	3.562311	1.161854	-0.568043	0.744704	0.255296	1.48941	0.510592	0.2086037
130	5.375107	4.350966	1.024141	-0.106842	0.867174	0.132826	1.73435	0.265653	0.2394032
140	4.583683	3.882772	0.7009114	-0.42197	0.834696	0.165304	1.66939	0.330608	0.3307553
150	5.375028	4.31587	1.059159	-0.092856	0.870272	0.129728	1.74054	0.259456	0.231165
160	4.272834	3.521883	0.7509504	-0.614163	0.78814	0.21186	1.57628	0.423721	0.3146119
170	3.835279	3.251803	0.583476	-0.197848	0.937936	0.0620637	1.87587	0.124127	0.3719703
180	4.19226	3.482797	0.7094631	-0.610863	0.793864	0.206136	1.58773	0.412271	0.3279388
190	4.294693	3.3148	0.9798932	0.0702517	0.812923	0.187077	1.62585	0.374153	0.2502341
200	5.951925	4.637562	1.314363	-0.361018	0.814855	0.185145	1.62971	0.37029	0.1790969
210	4.95425	3.966011	0.9882392	-0.427912	0.763916	0.236084	1.52783	0.472168	0.2481544
