Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	7.320531	5.156267	2.164263	0.192723	0.492391	0.507609	0.984783	1.01522	0.07655633
1	1	7.886543	5.35671	2.529833	0.35776	0.435987	0.564013	0.871973	1.12803	0.05311486
2	0	9.823324	7.659061	2.164263	0.576383	0.42518	0.57482	0.85036	1.14964	0.07655633
3	1	8.031143	5.546256	2.484888	0.624981	0.511613	0.488387	1.02323	0.976773	0.0555566
4	0	7.403573	6.199046	1.204527	0.675332	0.377663	0.622337	0.755326	1.24467	0.1998892
5	1	9.06557	7.437779	1.627791	0.626257	0.230954	0.769046	0.461909	1.53809	0.1309086
6	0	8.295035	6.74424	1.550794	0.609961	0.185061	0.814939	0.370123	1.62988	0.1413863
7	1	9.630505	7.638984	1.991521	0.53567	0.405707	0.594293	0.811413	1.18859	0.09099175
8	0	10.27857	8.111732	2.166838	0.701812	0.388112	0.611888	0.776223	1.22378	0.07635949
9	1	9.274088	7.719833	1.554255	0.804061	0.23618	0.76382	0.472361	1.52764	0.1408978
10	0	7.625825	5.101254	2.52457	0.36198	0.286402	0.713598	0.572804	1.4272	0.05339514
11	1	9.302308	7.482032	1.820276	0.660877	0.484361	0.515639	0.968722	1.03128	0.1079874
12	0	9.344672	7.553077	1.791595	0.536541	0.346879	0.653121	0.693758	1.30624	0.1111294
13	1	7.667113	5.437604	2.229509	0.624108	0.58115	0.41885	1.1623	0.837701	0.07172081
14	0	9.768262	7.604184	2.164077	0.588573	0.275735	0.724265	0.55147	1.44853	0.07657058
15	1	8.356807	6.756417	1.60039	0.48993	0.364233	0.635767	0.728467	1.27153	0.1345452
16	0	9.325276	7.876739	1.448537	0.856826	0.399405	0.600595	0.79881	1.20119	0.1566091
17	1	5.288708	3.524632	1.764076	-0.129486	0.432196	0.567804	0.864392	1.13561	0.1142301
18	0	9.174761	6.890686	2.284075	0.428918	0.402313	0.597687	0.804626	1.19537	0.0679122
19	1	8.123103	6.462995	1.660108	0.427433	0.409748	0.590252	0.819497	1.1805	0.1267456
20	0	2.521435	1.930672	0.5907629	0.326346	0.149403	0.850597	0.298805	1.70119	0.3692697
21	1	9.382009	7.635435	1.746574	0.673822	0.458916	0.541084	0.917832	1.08217	0.1162469
22	0	7.583983	6.185652	1.398331	0.769707	0.532536	0.467464	1.06507	0.934927	0.1646725
23	1	9.63042	7.821832	1.808588	0.650647	0.432182	0.567818	0.864365	1.13564	0.109257
24	0	6.669725	5.794754	0.8749705	0.887955	0.479298	0.520702	0.958596	1.0414	0.2779162
25	1	7.910396	6.178857	1.731539	0.292796	0.314361	0.685639	0.628722	1.37128	0.1180078
26	0	6.519166	5.685722	0.8334441	0.892693	0.476916	0.523084	0.953831	1.04617	0.2897001
27	1	8.427549	6.276265	2.151284	0.306985	0.286149	0.713851	0.572298	1.4277	0.07755648
28	0	9.999663	8.112752	1.886911	0.730098	0.43284	0.56716	0.86568	1.13432	0.1010261
29	1	7.052486	5.861367	1.191119	0.614766	0.170431	0.829569	0.340863	1.65914	0.2025873
30	0	8.52953	6.627032	1.902497	0.32921	0.321921	0.678079	0.643842	1.35616	0.09946372
31	1	8.559295	6.963587	1.595708	0.653973	0.189607	0.810393	0.379214	1.62079	0.1351766
32	0	9.094215	6.5811	2.513115	0.564296	0.413169	0.586831	0.826338	1.17366	0.05401032
