Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	7.320531	5.156267	2.164263	0.192723	0.492391	0.507609	0.984783	1.01522	0.07655633
10	9.823324	7.659061	2.164263	0.576383	0.42518	0.57482	0.85036	1.14964	0.07655633
20	7.403573	6.199046	1.204527	0.675332	0.377663	0.622337	0.755326	1.24467	0.1998892
30	8.295035	6.74424	1.550794	0.609961	0.185061	0.814939	0.370123	1.62988	0.1413863
40	10.27857	8.111732	2.166838	0.701812	0.388112	0.611888	0.776223	1.22378	0.07635949
50	7.625825	5.101254	2.52457	0.36198	0.286402	0.713598	0.572804	1.4272	0.05339514
60	9.344672	7.553077	1.791595	0.536541	0.346879	0.653121	0.693758	1.30624	0.1111294
70	9.768262	7.604184	2.164077	0.588573	0.275735	0.724265	0.55147	1.44853	0.07657058
80	9.325276	7.876739	1.448537	0.856826	0.399405	0.600595	0.79881	1.20119	0.1566091
90	9.174761	6.890686	2.284075	0.428918	0.402313	0.597687	0.804626	1.19537	0.0679122
100	2.521435	1.930672	0.5907629	0.326346	0.149403	0.850597	0.298805	1.70119	0.3692697
110	7.583983	6.185652	1.398331	0.769707	0.532536	0.467464	1.06507	0.934927	0.1646725
120	6.669725	5.794754	0.8749705	0.887955	0.479298	0.520702	0.958596	1.0414	0.2779162
130	6.519166	5.685722	0.8334441	0.892693	0.476916	0.523084	0.953831	1.04617	0.2897001
140	9.999663	8.112752	1.886911	0.730098	0.43284	0.56716	0.86568	1.13432	0.1010261
150	8.52953	6.627032	1.902497	0.32921	0.321921	0.678079	0.643842	1.35616	0.09946372
160	9.094215	6.5811	2.513115	0.564296	0.413169	0.586831	0.826338	1.17366	0.05401032
170	9.007726	7.08635	1.921376	0.781451	0.506633	0.493367	1.01327	0.986734	0.09760358
180	8.608206	6.849432	1.758774	0.419526	0.268482	0.731518	0.536963	1.46304	0.1148372
190	9.896396	7.930638	1.965757	0.585794	0.386766	0.613234	0.773532	1.22647	0.09336652
200	8.787093	6.545783	2.241309	0.345769	0.335643	0.664357	0.671286	1.32871	0.07087947
210	9.756998	7.510717	2.246281	0.533987	0.395251	0.604749	0.790502	1.2095	0.07052792
220	9.087592	7.012853	2.074739	0.487569	0.243435	0.756565	0.48687	1.51313	0.08372615
230	9.821117	7.513144	2.307973	0.643375	0.423784	0.576216	0.847569	1.15243	0.06630843
240	10.11684	8.366102	1.750736	0.72425	0.350285	0.649715	0.70057	1.29943	0.115764
250	9.611649	7.839761	1.771887	0.851552	0.406483	0.593517	0.812965	1.18703	0.1133412
260	7.982726	6.387516	1.59521	0.397382	0.293317	0.706683	0.586635	1.41337	0.1352439
270	9.345395	7.685943	1.659452	0.75307	0.465369	0.534631	0.930737	1.06926	0.1268288
280	6.327393	5.173695	1.153698	0.514715	0.151935	0.848065	0.303869	1.69613	0.2103121
290	9.007279	7.328501	1.678778	0.864789	0.263434	0.736566	0.526869	1.47313	0.1244012
300	7.34185	6.124866	1.216984	0.937653	0.343035	0.656965	0.686069	1.31393	0.1974146
310	7.94608	6.950123	0.9959575	0.858878	0.319745	0.680255	0.639491	1.36051	0.2462464
320	7.99595	6.962389	1.033561	0.837562	0.281066	0.718934	0.562131	1.43787	0.2371585
330	8.627667	7.065812	1.561855	0.549712	0.25993	0.74007	0.519861	1.48014	0.139831
340	5.974882	4.090714	1.884168	0.76678	0.640423	0.359577	1.28085	0.719154	0.1013036
350	9.46389	7.586465	1.877425	0.831558	0.272338	0.727662	0.544677	1.45532	0.101989
360	9.591237	7.477641	2.113596	0.597497	0.253726	0.746274	0.507451	1.49255	0.08053519
370	9.960001	8.29833	1.661671	0.751678	0.295898	0.704102	0.591795	1.4082	0.1265476
380	8.734576	6.977117	1.757459	0.688736	0.192518	0.807482	0.385035	1.61496	0.1149884
390	10.29463	8.25205	2.04258	0.644734	0.338858	0.661142	0.677717	1.32228	0.08646244
400	9.505933	7.071048	2.434885	0.567522	0.338345	0.661655	0.676689	1.32331	0.05840522
410	9.083331	6.727815	2.355515	0.50358	0.456383	0.543617	0.912765	1.08723	0.06322974
420	9.472707	7.588783	1.883924	0.5142	0.307709	0.692291	0.615419	1.38458	0.1013283
430	7.690135	5.523086	2.167049	0.369855	0.555829	0.444171	1.11166	0.888342	0.07634334
440	9.114107	7.788038	1.326069	0.831067	0.366004	0.633996	0.732007	1.26799	0.1770126
450	9.939874	7.732718	2.207156	0.778374	0.346668	0.653332	0.693335	1.30666	0.07334203
460	8.566248	7.075246	1.491001	0.745345	0.19401	0.80599	0.38802	1.61198	0.1500981
470	9.650241	7.737595	1.912646	0.557261	0.39018	0.60982	0.780361	1.21964	0.0984594
480	8.391311	6.838462	1.552848	0.535296	0.365653	0.634347	0.731307	1.26869	0.1410962
490	8.812943	6.751613	2.06133	0.420068	0.46628	0.53372	0.932559	1.06744	0.08485634
500	9.969418	7.836409	2.133009	0.763994	0.297834	0.702166	0.595667	1.40433	0.07898684
510	9.590336	7.959646	1.630689	0.729582	0.25176	0.74824	0.50352	1.49648	0.1305297
520	8.816541	7.121638	1.694902	0.604971	0.474857	0.525143	0.949714	1.05029	0.1224115
530	6.932628	5.786201	1.146427	0.69676	0.443093	0.556907	0.886185	1.11381	0.2118467
540	7.048667	5.90224	1.146427	0.656097	0.342351	0.657649	0.684702	1.3153	0.2118467
550	6.457172	5.430414	1.026757	0.684647	0.357998	0.642002	0.715996	1.284	0.2387777
560	7.227036	5.568774	1.658261	0.443894	0.575635	0.424365	1.15127	0.84873	0.1269799
570	8.458458	6.852751	1.605708	0.711892	0.183338	0.816662	0.366676	1.63332	0.1338316
580	5.326041	4.14451	1.181531	0.239645	0.151133	0.848867	0.302265	1.69773	0.204539
590	4.327572	3.353662	0.9739096	0.63936	0.667649	0.332351	1.3353	0.664702	0.2517359
600	9.498671	7.731167	1.767504	0.864019	0.391988	0.608012	0.783977	1.21602	0.1138391
610	9.45975	7.794484	1.665266	0.630642	0.327876	0.672124	0.655752	1.34425	0.1260935
620	7.37867	5.681536	1.697133	0.254436	0.414749	0.585251	0.829498	1.1705	0.1221386
630	9.56496	7.443712	2.121248	0.580649	0.462639	0.537361	0.925278	1.07472	0.07992125
640	10.04581	7.842	2.20381	0.699939	0.297408	0.702592	0.594816	1.40518	0.0735879
650	8.974968	7.113599	1.861369	0.8786	0.379959	0.620041	0.759918	1.24008	0.1036398
660	6.615842	5.256569	1.359273	0.72179	0.625406	0.374594	1.25081	0.749188	0.1712317
670	8.339377	7.057189	1.282188	0.901466	0.425745	0.574255	0.85149	1.14851	0.1849531
680	9.676112	8.190513	1.485599	0.811864	0.324746	0.675254	0.649492	1.35051	0.1509112
690	9.950864	7.711392	2.239473	0.733535	0.308873	0.691127	0.617746	1.38225	0.07100976
700	9.699254	7.853289	1.845965	0.59764	0.274745	0.725255	0.549489	1.45051	0.1052486
710	9.654074	7.940743	1.713332	0.810543	0.258254	0.741746	0.516508	1.48349	0.1201761
720	7.076285	5.40433	1.671956	0.305119	0.173441	0.826559	0.346883	1.65312	0.1252529
730	7.087187	5.333624	1.753562	0.187221	0.218165	0.781835	0.436329	1.56367	0.1154373
740	9.971638	8.342267	1.629371	0.812692	0.365615	0.634385	0.73123	1.26877	0.1307019
750	9.524498	7.081431	2.443067	0.633674	0.32457	0.67543	0.649141	1.35086	0.0579293
760	5.887203	2.991618	2.895585	0.660574	0.411275	0.588725	0.822551	1.17745	0.03684445
770	9.769637	7.387907	2.381731	0.602247	0.387059	0.612941	0.774117	1.22588	0.06159369
780	9.952251	8.305556	1.646695	0.838814	0.345445	0.654555	0.69089	1.30911	0.1284571
790	9.780009	8.094194	1.685815	0.76553	0.420973	0.579027	0.841946	1.15805	0.1235289
800	8.910775	7.213841	1.696934	0.571726	0.43244	0.56756	0.864879	1.13512	0.122163
810	5.329702	3.000442	2.32926	-0.00614197	0.478209	0.521791	0.956419	1.04358	0.06491187
820	4.747471	2.806784	1.940687	0.76429	0.146956	0.853044	0.293911	1.70609	0.09573686
830	8.310149	6.948669	1.36148	0.705656	0.414349	0.585651	0.828698	1.1713	0.1708542
840	8.379859	6.717058	1.6628	0.49922	0.205768	0.794232	0.411537	1.58846	0.1264049
850	8.760835	6.876653	1.884182	0.391004	0.279241	0.720759	0.558483	1.44152	0.1013022
860	8.594917	7.34175	1.253166	0.791532	0.362448	0.637552	0.724897	1.2751	0.1903994
870	8.455665	7.352477	1.103187	0.886813	0.300159	0.699841	0.600318	1.39968	0.2212079
880	3.084437	2.225677	0.8587593	0.42664	0.528372	0.471628	1.05674	0.943256	0.2824583
890	6.945207	5.626053	1.319155	0.543213	0.442372	0.557628	0.884743	1.11526	0.1782408
900	7.151407	5.691802	1.459605	0.599581	0.57552	0.42448	1.15104	0.848959	0.1548854
910	9.698666	7.45246	2.246206	0.543146	0.416536	0.583464	0.833072	1.16693	0.07053328
920	10.26461	8.152096	2.112513	0.720862	0.399724	0.600276	0.799447	1.20055	0.08062242
930	9.156759	7.30487	1.851889	0.710333	0.511154	0.488846	1.02231	0.977692	0.1046269
