Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	17.03851	14.52834	2.510169	0.522317	0.22403	0.77597	0.44806	1.55194	0.05416969
1	1	17.64572	15.75811	1.887612	0.540062	0.462266	0.537734	0.924533	1.07547	0.1009554
2	0	19.31592	16.98867	2.327252	0.577304	0.417143	0.582857	0.834286	1.16571	0.06504235
3	1	17.44512	15.06078	2.384342	0.0430831	0.469017	0.530983	0.938034	1.06197	0.06143307
4	0	15.99399	13.87738	2.11661	0.0410463	0.613116	0.386884	1.22623	0.773768	0.08029279
5	1	18.96478	16.28506	2.67972	0.442235	0.360396	0.639604	0.720792	1.27921	0.04572159
6	0	18.6828	15.94907	2.733728	0.328438	0.385652	0.614348	0.771303	1.2287	0.04331774
7	1	19.29105	17.00732	2.283725	0.534257	0.395925	0.604075	0.791849	1.20815	0.06793594
8	0	18.53805	15.78553	2.752514	0.348507	0.356255	0.643745	0.712509	1.28749	0.04251155
9	1	19.02585	16.70145	2.324403	0.45712	0.473142	0.526858	0.946284	1.05372	0.06522791
10	0	18.37014	16.2112	2.158945	0.350751	0.439747	0.560253	0.879494	1.12051	0.07696456
11	1	16.58975	14.69149	1.89826	0.206967	0.227911	0.772089	0.455822	1.54418	0.09988604
12	0	18.60204	16.56677	2.035267	0.685918	0.416457	0.583543	0.832914	1.16709	0.08709703
13	1	16.85028	14.84837	2.001915	0.449315	0.181349	0.818651	0.362698	1.6373	0.09005093
14	0	17.44879	15.03653	2.412257	0.316289	0.222097	0.777903	0.444194	1.55581	0.05974186
15	1	18.01717	16.01678	2.000389	0.432575	0.280697	0.719303	0.561393	1.43861	0.09018843
16	0	18.85261	16.5462	2.306409	0.329831	0.386001	0.613999	0.772002	1.228	0.06641219
17	1	18.15631	16.17586	1.980455	0.567915	0.469238	0.530762	0.938475	1.06152	0.09200433
18	0	18.77589	16.35253	2.423358	0.461372	0.52518	0.47482	1.05036	0.949639	0.05908233
19	1	17.78159	15.68554	2.096045	0.308727	0.487947	0.512053	0.975894	1.02411	0.08196109
20	0	18.85228	16.29356	2.558723	0.544052	0.319163	0.680837	0.638326	1.36167	0.05160237
21	1	18.38653	15.59867	2.787857	0.293267	0.407805	0.592195	0.81561	1.18439	0.04103533
22	0	18.79803	16.66049	2.137546	0.645746	0.32092	0.67908	0.641839	1.35816	0.07862927
23	1	17.83506	15.81963	2.015433	0.410491	0.471753	0.528247	0.943506	1.05649	0.08884176
24	0	17.78558	15.46396	2.321622	0.2398	0.558791	0.441209	1.11758	0.882418	0.06540955
25	1	14.08071	12.68569	1.395029	0.463574	0.371798	0.628202	0.743596	1.2564	0.1652172
26	0	19.36034	16.85584	2.504503	0.476104	0.370565	0.629435	0.74113	1.25887	0.05447747
27	1	17.22647	15.24343	1.983039	0.566157	0.153108	0.846892	0.306215	1.69378	0.09176682
28	0	18.59301	16.0889	2.504111	0.27087	0.486159	0.513841	0.972317	1.02768	0.05449885
29	1	18.70377	16.01758	2.686194	0.323725	0.460621	0.539379	0.921242	1.07876	0.04542651
30	0	18.11906	15.85896	2.260097	0.287325	0.262376	0.737624	0.524753	1.47525	0.06956026
31	1	18.72752	16.41128	2.316241	0.290374	0.376141	0.623859	0.752283	1.24772	0.06576243
32	0	17.62139	15.63462	1.986771	0.328632	0.38944	0.61056	0.77888	1.22112	0.09142499
33	1	17.76989	15.47628	2.293615	0.32252	0.22869	0.77131	0.45738	1.54262	0.0672674
34	0	17.83094	15.73377	2.097163	0.255593	0.408815	0.591185	0.81763	1.18237	0.08186953
35	1	17.77291	15.3248	2.448106	0.201067	0.264626	0.735374	0.529252	1.47075	0.0576381
36	0	18.1919	15.50362	2.688279	0.316618	0.30473	0.69527	0.609459	1.39054	0.04533189
37	1	18.07335	15.82557	2.247773	0.483434	0.232523	0.767477	0.465046	1.53495	0.07042279
38	0	17.46974	15.30977	2.159967	0.246849	0.55064	0.44936	1.10128	0.89872	0.07688598
39	1	17.7066	15.06294	2.643659	0.683326	0.449885	0.550115	0.89977	1.10023	0.04740043
40	0	19.1516	16.93908	2.212514	0.600194	0.407591	0.592409	0.815182	1.18482	0.07295014
41	1	17.34587	15.02466	2.321212	0.76669	0.341287	0.658713	0.682574	1.31743	0.06543639
42	0	18.85407	16.27372	2.580345	0.290337	0.435845	0.564155	0.87169	1.12831	0.05049859
43	1	15.69568	13.94669	1.748984	0.83886	0.272063	0.727937	0.544126	1.45587	0.115967
44	0	18.84661	16.65937	2.187247	0.428867	0.372628	0.627372	0.745255	1.25474	0.07481686
45	1	18.78185	16.38887	2.392983	0.320734	0.469848	0.530152	0.939695	1.0603	0.06090452
