Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	17.64572	15.75811	1.887612	0.540062	0.462266	0.537734	0.924533	1.07547	0.1009554
10	17.44512	15.06078	2.384342	0.0430831	0.469017	0.530983	0.938034	1.06197	0.06143307
20	18.96478	16.28506	2.67972	0.442235	0.360396	0.639604	0.720792	1.27921	0.04572159
30	19.29105	17.00732	2.283725	0.534257	0.395925	0.604075	0.791849	1.20815	0.06793594
40	19.02585	16.70145	2.324403	0.45712	0.473142	0.526858	0.946284	1.05372	0.06522791
50	16.58975	14.69149	1.89826	0.206967	0.227911	0.772089	0.455822	1.54418	0.09988604
60	16.85028	14.84837	2.001915	0.449315	0.181349	0.818651	0.362698	1.6373	0.09005093
70	18.01717	16.01678	2.000389	0.432575	0.280697	0.719303	0.561393	1.43861	0.09018843
80	18.15631	16.17586	1.980455	0.567915	0.469238	0.530762	0.938475	1.06152	0.09200433
90	17.78159	15.68554	2.096045	0.308727	0.487947	0.512053	0.975894	1.02411	0.08196109
100	18.38653	15.59867	2.787857	0.293267	0.407805	0.592195	0.81561	1.18439	0.04103533
110	17.83506	15.81963	2.015433	0.410491	0.471753	0.528247	0.943506	1.05649	0.08884176
120	14.08071	12.68569	1.395029	0.463574	0.371798	0.628202	0.743596	1.2564	0.1652172
130	17.22647	15.24343	1.983039	0.566157	0.153108	0.846892	0.306215	1.69378	0.09176682
140	18.70377	16.01758	2.686194	0.323725	0.460621	0.539379	0.921242	1.07876	0.04542651
150	18.72752	16.41128	2.316241	0.290374	0.376141	0.623859	0.752283	1.24772	0.06576243
160	17.76989	15.47628	2.293615	0.32252	0.22869	0.77131	0.45738	1.54262	0.0672674
170	17.77291	15.3248	2.448106	0.201067	0.264626	0.735374	0.529252	1.47075	0.0576381
180	18.07335	15.82557	2.247773	0.483434	0.232523	0.767477	0.465046	1.53495	0.07042279
190	17.7066	15.06294	2.643659	0.683326	0.449885	0.550115	0.89977	1.10023	0.04740043
200	17.34587	15.02466	2.321212	0.76669	0.341287	0.658713	0.682574	1.31743	0.06543639
210	15.69568	13.94669	1.748984	0.83886	0.272063	0.727937	0.544126	1.45587	0.115967
220	18.78185	16.38887	2.392983	0.320734	0.469848	0.530152	0.939695	1.0603	0.06090452
230	19.20154	16.69174	2.509803	0.456468	0.464469	0.535531	0.928938	1.07106	0.0541895
240	17.70966	15.09061	2.619056	0.681719	0.472271	0.527729	0.944542	1.05546	0.04858109
250	17.32003	15.54913	1.770899	0.787396	0.440731	0.559269	0.881462	1.11854	0.1134533
260	17.34175	15.47149	1.870267	0.440293	0.411522	0.588478	0.823043	1.17696	0.1027217
270	18.80398	16.5819	2.22208	0.404218	0.322885	0.677115	0.64577	1.35423	0.0722556
280	18.7499	16.66709	2.082809	0.591669	0.320577	0.679423	0.641154	1.35885	0.08305319
290	19.19953	16.91469	2.284844	0.515872	0.43485	0.56515	0.8697	1.1303	0.06785997
300	18.22596	16.28831	1.937649	0.657659	0.441759	0.558241	0.883518	1.11648	0.09602808
310	18.32434	15.68855	2.635793	0.476094	0.289686	0.710314	0.579371	1.42063	0.04777474
320	19.11737	16.56499	2.552383	0.388548	0.453966	0.546034	0.907931	1.09207	0.05193056
330	19.11123	16.55885	2.552383	0.346184	0.386285	0.613715	0.77257	1.22743	0.05193056
340	16.43963	13.88725	2.552383	0.436221	0.207278	0.792722	0.414557	1.58544	0.05193056
