Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	21.93122	19.74335	2.187876	0.690047	0.284221	0.715779	0.568441	1.43156	0.07476983
1	1	21.92886	19.88794	2.04092	0.770925	0.239276	0.760724	0.478551	1.52145	0.08660605
2	0	19.41744	16.75241	2.665036	0.235569	0.360954	0.639046	0.721908	1.27809	0.04639789
3	1	21.24831	19.31306	1.935248	0.738551	0.163016	0.836984	0.326032	1.67397	0.09625897
4	0	21.10417	19.01944	2.084731	0.71313	0.340336	0.659664	0.680673	1.31933	0.08289375
5	1	17.69598	15.11896	2.577018	0.026505	0.205808	0.794192	0.411617	1.58838	0.05066689
6	0	19.86887	17.84456	2.024314	0.36971	0.204739	0.795261	0.409477	1.59052	0.08805632
7	1	19.1882	16.61119	2.577018	0.66411	0.138881	0.861119	0.277762	1.72224	0.05066689
8	0	20.56928	18.52984	2.039438	0.836386	0.344772	0.655228	0.689544	1.31046	0.08673453
9	1	21.91965	19.88143	2.038225	0.775434	0.217542	0.782458	0.435083	1.56492	0.08683985
10	0	21.75813	19.26357	2.494559	0.536196	0.303921	0.696079	0.607841	1.39216	0.05502192
11	1	19.84188	18.19687	1.645012	0.843285	0.316434	0.683566	0.632869	1.36713	0.1286735
12	0	15.58093	13.85554	1.725386	-0.129814	0.150096	0.849904	0.300192	1.69981	0.1187362
13	1	20.25201	18.45726	1.794754	0.888908	0.264132	0.735868	0.528264	1.47174	0.1107789
14	0	18.25112	16.59337	1.657747	0.395013	0.135589	0.864411	0.271177	1.72882	0.1270452
15	1	19.38642	16.8311	2.55532	0.174635	0.215881	0.784119	0.431762	1.56824	0.05177825
16	0	21.29452	19.44426	1.850256	0.812194	0.188232	0.811768	0.376463	1.62354	0.104798
17	1	22.27919	19.93574	2.343456	0.636751	0.246586	0.753414	0.493172	1.50683	0.0639969
18	0	20.96131	18.89273	2.068576	0.681513	0.33728	0.66272	0.67456	1.32544	0.08424376
19	1	19.98334	18.41756	1.565776	0.856543	0.269496	0.730504	0.538993	1.46101	0.1392838
20	0	21.16567	18.93561	2.230066	0.810349	0.186833	0.813167	0.373667	1.62633	0.0716809
21	1	19.91634	18.13578	1.780556	0.57766	0.19417	0.80583	0.38834	1.61166	0.112363
22	0	22.05592	19.62784	2.428082	0.602213	0.201401	0.798599	0.402802	1.5972	0.05880389
23	1	21.83183	19.32083	2.511004	0.707868	0.324162	0.675838	0.648325	1.35168	0.05412448
24	0	18.75824	15.8997	2.858542	0.363525	0.175902	0.824098	0.351804	1.6482	0.03823488
25	1	21.85324	19.50707	2.346172	0.567156	0.19401	0.80599	0.38802	1.61198	0.06382328
26	0	21.83297	19.20744	2.625526	0.518256	0.248053	0.751947	0.496105	1.50389	0.04826777
27	1	18.00681	15.55967	2.447146	0.791393	0.1421	0.8579	0.284201	1.7158	0.05769347
28	0	22.00428	19.78421	2.220074	0.638137	0.254572	0.745428	0.509145	1.49086	0.07240073
29	1	22.07215	19.63234	2.439814	0.5622	0.225894	0.774106	0.451787	1.54821	0.05811801
30	0	21.55809	19.5481	2.009987	0.669854	0.218152	0.781848	0.436304	1.5637	0.08932698
31	1	21.59671	19.16706	2.429658	0.643669	0.349258	0.650742	0.698516	1.30148	0.05871131
32	0	21.96387	19.59998	2.363885	0.717078	0.316033	0.683967	0.632067	1.36793	0.06270271
33	1	16.83734	14.40768	2.429658	0.490745	0.585159	0.414841	1.17032	0.829682	0.05871131
34	0	21.6106	19.37269	2.237913	0.68724	0.1653	0.8347	0.330601	1.6694	0.07112063
35	1	18.80013	16.85189	1.948238	0.558998	0.419527	0.580473	0.839053	1.16095	0.09501666
36	0	21.73391	19.3195	2.414411	0.551606	0.304229	0.695771	0.608457	1.39154	0.0596133
37	1	19.25368	17.24362	2.010064	0.529485	0.393842	0.606158	0.787684	1.21232	0.0893201
38	0	20.33386	17.82279	2.511075	0.825543	0.229581	0.770419	0.459162	1.54084	0.05412064
39	1	20.41319	17.99398	2.419213	0.730117	0.409184	0.590816	0.818367	1.18163	0.05932776
40	0	21.51637	19.11915	2.397224	0.460013	0.234355	0.765645	0.46871	1.53129	0.06064677
41	1	21.2949	18.97399	2.320909	0.582193	0.157717	0.842283	0.315434	1.68457	0.06545618
42	0	16.78892	14.76258	2.026344	0.917125	0.203313	0.796687	0.406625	1.59337	0.08787773
43	1	20.0632	17.74229	2.320909	0.842003	0.194206	0.805794	0.388413	1.61159	0.06545618
44	0	20.99141	18.76281	2.228595	0.4722	0.278351	0.721649	0.556703	1.4433	0.07178644
45	1	21.61548	19.49255	2.122931	0.699584	0.301242	0.698758	0.602485	1.39752	0.0797869
46	0	21.76655	19.2786	2.487954	0.621738	0.334054	0.665946	0.668109	1.33189	0.05538654
47	1	21.41887	19.54813	1.870739	0.813803	0.211645	0.788355	0.423291	1.57671	0.1026732
48	0	18.64636	15.88269	2.763668	0.821068	0.269673	0.730327	0.539347	1.46065	0.04204001
49	1	15.71347	14.12136	1.592116	0.32665	0.34077	0.65923	0.681539	1.31846	0.135663
50	0	22.04753	19.83602	2.211507	0.762863	0.203784	0.796216	0.407569	1.59243	0.07302365
51	1	21.91452	19.86408	2.050436	0.779846	0.249219	0.750781	0.498438	1.50156	0.08578589
52	0	21.83939	19.59578	2.24361	0.661581	0.301747	0.698253	0.603493	1.39651	0.07071655
53	1	19.18616	16.76602	2.420134	0.274586	0.408482	0.591518	0.816964	1.18304	0.05927313
54	0	19.65531	17.93262	1.722685	0.615577	0.220711	0.779289	0.441421	1.55858	0.1190573
55	1	18.90646	17.25886	1.647607	0.525997	0.161155	0.838845	0.322309	1.67769	0.12834
56	0	20.81356	18.5498	2.263754	0.825178	0.335202	0.664798	0.670403	1.3296	0.06930632
57	1	20.17028	18.0014	2.168888	0.560485	0.391319	0.608681	0.782638	1.21736	0.07620312
58	0	19.78067	17.51108	2.269596	0.233147	0.240505	0.759495	0.481009	1.51899	0.06890259
59	1	21.93633	19.6518	2.284537	0.604372	0.193318	0.806682	0.386635	1.61336	0.06788077
60	0	19.74446	17.88753	1.856929	0.746912	0.38081	0.61919	0.76162	1.23838	0.104101
61	1	21.22858	19.17044	2.058141	0.758646	0.330105	0.669895	0.660209	1.33979	0.08512744
62	0	21.0869	18.53514	2.551751	0.709238	0.179034	0.820966	0.358068	1.64193	0.05196337
63	1	20.37584	18.36785	2.007989	0.860168	0.327783	0.672217	0.655565	1.34443	0.08950556
64	0	21.08632	18.87493	2.211393	0.457161	0.222691	0.777309	0.445381	1.55462	0.07303195
65	1	21.61799	18.83372	2.784268	0.596032	0.257795	0.742205	0.51559	1.48441	0.04118287
66	0	21.69831	19.42042	2.277888	0.548207	0.194545	0.805455	0.389091	1.61091	0.06833364
67	1	21.46886	19.2637	2.205164	0.572878	0.170605	0.829395	0.34121	1.65879	0.07348831
