Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	21.93122	19.74335	2.187876	0.690047	0.284221	0.715779	0.568441	1.43156	0.07476983
10	19.41744	16.75241	2.665036	0.235569	0.360954	0.639046	0.721908	1.27809	0.04639789
20	21.10417	19.01944	2.084731	0.71313	0.340336	0.659664	0.680673	1.31933	0.08289375
30	19.86887	17.84456	2.024314	0.36971	0.204739	0.795261	0.409477	1.59052	0.08805632
40	20.56928	18.52984	2.039438	0.836386	0.344772	0.655228	0.689544	1.31046	0.08673453
50	21.75813	19.26357	2.494559	0.536196	0.303921	0.696079	0.607841	1.39216	0.05502192
60	15.58093	13.85554	1.725386	-0.129814	0.150096	0.849904	0.300192	1.69981	0.1187362
70	18.25112	16.59337	1.657747	0.395013	0.135589	0.864411	0.271177	1.72882	0.1270452
80	21.29452	19.44426	1.850256	0.812194	0.188232	0.811768	0.376463	1.62354	0.104798
90	20.96131	18.89273	2.068576	0.681513	0.33728	0.66272	0.67456	1.32544	0.08424376
100	21.16567	18.93561	2.230066	0.810349	0.186833	0.813167	0.373667	1.62633	0.0716809
110	22.05592	19.62784	2.428082	0.602213	0.201401	0.798599	0.402802	1.5972	0.05880389
120	18.75824	15.8997	2.858542	0.363525	0.175902	0.824098	0.351804	1.6482	0.03823488
130	21.83297	19.20744	2.625526	0.518256	0.248053	0.751947	0.496105	1.50389	0.04826777
140	22.00428	19.78421	2.220074	0.638137	0.254572	0.745428	0.509145	1.49086	0.07240073
150	21.55809	19.5481	2.009987	0.669854	0.218152	0.781848	0.436304	1.5637	0.08932698
160	21.96387	19.59998	2.363885	0.717078	0.316033	0.683967	0.632067	1.36793	0.06270271
170	21.6106	19.37269	2.237913	0.68724	0.1653	0.8347	0.330601	1.6694	0.07112063
180	21.73391	19.3195	2.414411	0.551606	0.304229	0.695771	0.608457	1.39154	0.0596133
190	20.33386	17.82279	2.511075	0.825543	0.229581	0.770419	0.459162	1.54084	0.05412064
200	21.51637	19.11915	2.397224	0.460013	0.234355	0.765645	0.46871	1.53129	0.06064677
210	16.78892	14.76258	2.026344	0.917125	0.203313	0.796687	0.406625	1.59337	0.08787773
220	20.99141	18.76281	2.228595	0.4722	0.278351	0.721649	0.556703	1.4433	0.07178644
230	21.76655	19.2786	2.487954	0.621738	0.334054	0.665946	0.668109	1.33189	0.05538654
240	18.64636	15.88269	2.763668	0.821068	0.269673	0.730327	0.539347	1.46065	0.04204001
250	22.04753	19.83602	2.211507	0.762863	0.203784	0.796216	0.407569	1.59243	0.07302365
260	21.83939	19.59578	2.24361	0.661581	0.301747	0.698253	0.603493	1.39651	0.07071655
270	19.65531	17.93262	1.722685	0.615577	0.220711	0.779289	0.441421	1.55858	0.1190573
280	20.81356	18.5498	2.263754	0.825178	0.335202	0.664798	0.670403	1.3296	0.06930632
290	19.78067	17.51108	2.269596	0.233147	0.240505	0.759495	0.481009	1.51899	0.06890259
300	19.74446	17.88753	1.856929	0.746912	0.38081	0.61919	0.76162	1.23838	0.104101
310	21.0869	18.53514	2.551751	0.709238	0.179034	0.820966	0.358068	1.64193	0.05196337
320	21.08632	18.87493	2.211393	0.457161	0.222691	0.777309	0.445381	1.55462	0.07303195
330	21.69831	19.42042	2.277888	0.548207	0.194545	0.805455	0.389091	1.61091	0.06833364
340	21.42586	19.17432	2.251535	0.634511	0.157956	0.842044	0.315913	1.68409	0.07015839
350	18.43742	16.83866	1.598758	0.706583	0.335309	0.664691	0.670617	1.32938	0.134765
360	21.69785	19.50574	2.192112	0.677634	0.307521	0.692479	0.615041	1.38496	0.07445372
370	19.37123	17.14912	2.222105	0.30587	0.354522	0.645478	0.709044	1.29096	0.07225384
380	20.73031	18.26536	2.464943	0.351915	0.296404	0.703596	0.592807	1.40719	0.05667579
390	21.41791	19.53316	1.884743	0.782331	0.190881	0.809119	0.381762	1.61824	0.1012454
400	18.67194	16.05024	2.621697	0.331005	0.468281	0.531719	0.936562	1.06344	0.04845295
410	22.21809	20.04126	2.176832	0.747865	0.237097	0.762903	0.474193	1.52581	0.07560015
420	19.29785	17.66853	1.629325	0.688269	0.255871	0.744129	0.511743	1.48826	0.1307079
430	20.81383	18.47748	2.336352	0.688557	0.398168	0.601832	0.796335	1.20366	0.06445313
440	21.94119	19.75371	2.18748	0.657008	0.264286	0.735714	0.528571	1.47143	0.07479944
450	21.73232	19.31317	2.419151	0.583984	0.181306	0.818694	0.362612	1.63739	0.05933145
460	22.03335	19.36987	2.66348	0.635202	0.245523	0.754477	0.491046	1.50895	0.04647014
470	21.09618	19.01269	2.083491	0.670033	0.146026	0.853974	0.292051	1.70795	0.08299652
480	21.60884	19.04118	2.567661	0.537588	0.196272	0.803728	0.392543	1.60746	0.05114317
490	22.34612	20.00393	2.342186	0.736049	0.252948	0.747052	0.505897	1.4941	0.06407817
500	18.69389	17.02791	1.665979	0.792878	0.399557	0.600443	0.799114	1.20089	0.1260037
510	21.60628	19.04667	2.559611	0.735587	0.321005	0.678995	0.642011	1.35799	0.05155653
520	21.67768	19.44076	2.236921	0.563552	0.190944	0.809056	0.381888	1.61811	0.07119121
530	21.53554	19.54944	1.986102	0.830943	0.222127	0.777873	0.444254	1.55575	0.09148618
540	21.9661	19.56462	2.40148	0.759948	0.296838	0.703162	0.593675	1.40632	0.06038922
550	21.06988	19.10832	1.961562	0.83652	0.301332	0.698668	0.602665	1.39734	0.09375907
560	20.96669	18.79282	2.173869	0.598939	0.143104	0.856896	0.286208	1.71379	0.07582449
570	21.53958	19.63176	1.907817	0.802502	0.209071	0.790929	0.418141	1.58186	0.09893598
580	21.06808	19.18653	1.881552	0.76921	0.285448	0.714552	0.570897	1.4291	0.1015689
590	21.21968	19.4053	1.814386	0.816576	0.201595	0.798405	0.403189	1.59681	0.1086253
600	21.46416	18.70915	2.755013	0.568402	0.317726	0.682274	0.635453	1.36455	0.04240545
610	19.82037	17.26035	2.560022	0.508386	0.446982	0.553018	0.893964	1.10604	0.05153538
620	19.99736	18.48202	1.515337	0.849969	0.182342	0.817658	0.364685	1.63532	0.1464894
630	20.24712	17.50807	2.739046	0.626387	0.403151	0.596849	0.806303	1.1937	0.04308799
640	20.84839	19.13655	1.711838	0.832277	0.233305	0.766695	0.46661	1.53339	0.1203558
650	18.46314	17.194	1.269138	0.86629	0.25864	0.74136	0.517281	1.48272	0.1873825
660	20.04643	17.86404	2.182388	0.334606	0.266543	0.733457	0.533086	1.46691	0.07518126
670	21.99836	19.41594	2.582414	0.567774	0.224959	0.775041	0.449919	1.55008	0.05039421
680	21.47505	19.47767	1.997385	0.770267	0.173893	0.826107	0.347787	1.65221	0.09045975
690	20.68406	18.42928	2.254779	0.6709	0.399328	0.600672	0.798655	1.20134	0.06993113
700	22.0114	19.35943	2.651967	0.58588	0.274524	0.725476	0.549049	1.45095	0.04700823
710	20.27489	17.42275	2.852145	0.503912	0.19795	0.80205	0.395901	1.6041	0.03848025
720	21.95705	19.74234	2.214704	0.718186	0.18515	0.81485	0.3703	1.6297	0.07279058
730	19.24994	17.80757	1.44237	0.786165	0.141204	0.858796	0.282409	1.71759	0.1575779
740	20.17358	18.40535	1.768229	0.620477	0.160842	0.839158	0.321683	1.67832	0.1137567
750	19.97795	17.86765	2.110302	0.587615	0.398329	0.601671	0.796657	1.20334	0.0808009
760	22.26056	19.69089	2.569679	0.658603	0.246617	0.753383	0.493234	1.50677	0.05104009
770	22.36449	20.03297	2.331521	0.708934	0.226053	0.773947	0.452106	1.54789	0.06476522
780	22.00926	19.53438	2.474881	0.562789	0.280979	0.719021	0.561957	1.43804	0.05611536
790	19.62353	17.17348	2.450047	0.754266	0.429188	0.570812	0.858376	1.14162	0.05752636
800	22.32809	20.03304	2.295045	0.729555	0.225715	0.774285	0.451429	1.54857	0.06717125
810	20.01665	17.43591	2.58074	0.464687	0.42641	0.57359	0.85282	1.14718	0.05047865
820	20.07955	18.23837	1.841179	0.666928	0.122829	0.877171	0.245659	1.75434	0.1057536
830	21.264	19.09763	2.166373	0.653843	0.332628	0.667372	0.665257	1.33474	0.07639502
840	21.23103	18.5913	2.639733	0.469483	0.328754	0.671246	0.657507	1.34249	0.04758689
850	19.35661	17.1783	2.178308	0.200274	0.208949	0.791051	0.417898	1.5821	0.07548862
860	22.25406	19.94508	2.308977	0.737862	0.273938	0.726062	0.547876	1.45212	0.06624192
870	21.14431	18.61161	2.532703	0.68407	0.172889	0.827111	0.345779	1.65422	0.05296266
880	21.40933	18.96801	2.441323	0.729927	0.353418	0.646582	0.706835	1.29316	0.05803038
890	21.04439	18.52318	2.521213	0.391947	0.208499	0.791501	0.416999	1.583	0.05357472
900	22.17929	19.71431	2.464983	0.620022	0.212269	0.787731	0.424538	1.57546	0.05667351
910	17.8713	15.80061	2.070699	0.739761	0.520281	0.479719	1.04056	0.959437	0.08406509
920	20.03403	18.46368	1.570342	0.7711	0.182858	0.817142	0.365717	1.63428	0.1386493
930	22.1274	19.82015	2.307244	0.70639	0.196266	0.803734	0.392531	1.60747	0.06635679
940	20.36422	18.12713	2.237092	0.483041	0.36168	0.63832	0.723359	1.27664	0.07117904
950	20.18426	17.9192	2.265056	0.338014	0.295791	0.704209	0.591581	1.40842	0.06921617
960	21.26474	19.44315	1.821594	0.738846	0.23387	0.76613	0.467739	1.53226	0.1078451
970	22.06148	19.86038	2.201105	0.684709	0.268116	0.731884	0.536232	1.46377	0.07378718
980	20.39507	17.81063	2.584443	0.309209	0.314135	0.685865	0.628271	1.37173	0.05029204
990	21.03904	18.65214	2.3869	0.786233	0.185523	0.814477	0.371046	1.62895	0.06127612
1000	22.22259	19.95151	2.271073	0.718671	0.206616	0.793384	0.413232	1.58677	0.06880091
1010	19.99906	17.40625	2.592813	0.485311	0.431224	0.568776	0.862448	1.13755	0.04987289
1020	19.45618	17.24273	2.213452	0.634006	0.466103	0.533897	0.932207	1.06779	0.07288177
1030	20.97285	18.20921	2.763642	0.58671	0.35932	0.64068	0.71864	1.28136	0.04204111
1040	22.07174	19.9587	2.113044	0.719566	0.229972	0.770028	0.459944	1.54006	0.08057968
1050	20.35649	18.59352	1.762969	0.73366	0.138563	0.861437	0.277126	1.72287	0.1143565
1060	20.45274	18.78138	1.671361	0.821716	0.165332	0.834668	0.330665	1.66934	0.1253274
1070	20.58151	18.46212	2.119389	0.556257	0.134613	0.865387	0.269226	1.73077	0.08006998
1080	20.71001	18.43265	2.277351	0.403313	0.172003	0.827997	0.344006	1.65599	0.06837037
1090	21.81226	19.63447	2.177796	0.604204	0.214547	0.785453	0.429094	1.57091	0.07552729
1100	21.17591	18.42286	2.753044	0.447041	0.24952	0.75048	0.499039	1.50096	0.04248903
1110	21.27101	19.38602	1.884987	0.789552	0.270488	0.729512	0.540977	1.45902	0.1012207
1120	20.97132	18.91303	2.058288	0.862639	0.258142	0.741858	0.516284	1.48372	0.08511487
1130	14.76216	12.52957	2.232591	-0.043274	0.569287	0.430713	1.13857	0.861426	0.07150013
1140	22.04727	19.48989	2.557381	0.605924	0.29919	0.70081	0.59838	1.40162	0.05167163
1150	22.06308	19.8234	2.239679	0.627939	0.239403	0.760597	0.478805	1.52119	0.07099509
1160	21.76266	19.77502	1.987649	0.74293	0.224751	0.775249	0.449502	1.5505	0.09134479
1170	18.05957	15.47723	2.582339	0.0349033	0.321012	0.678988	0.642025	1.35798	0.05039796
1180	19.06501	16.00343	3.061583	0.465001	0.227636	0.772364	0.455271	1.54473	0.03120902
1190	22.12119	19.77707	2.344116	0.596305	0.248782	0.751218	0.497565	1.50244	0.06395466
1200	21.83907	19.82546	2.013613	0.783205	0.21267	0.78733	0.42534	1.57466	0.08900365
1210	22.05624	19.68339	2.372849	0.589387	0.270688	0.729312	0.541375	1.45862	0.06214322
1220	21.87379	19.80894	2.064852	0.759397	0.195577	0.804423	0.391154	1.60885	0.08455807
1230	21.60335	19.03036	2.572986	0.535186	0.197231	0.802769	0.394462	1.60554	0.05087159
1240	20.17065	17.49891	2.671744	0.27966	0.299906	0.700094	0.599812	1.40019	0.0460877
1250	20.83522	18.24587	2.589352	0.377802	0.316252	0.683748	0.632505	1.3675	0.05004576
1260	20.13849	17.43555	2.702935	0.590666	0.418953	0.581047	0.837906	1.16209	0.04467239
1270	20.78854	18.08561	2.702935	0.754593	0.319012	0.680988	0.638024	1.36198	0.04467239
1280	19.87943	18.21331	1.666123	0.796429	0.3078	0.6922	0.615599	1.3844	0.1259856
1290	21.69411	19.59041	2.103704	0.630177	0.225399	0.774601	0.450797	1.5492	0.0813358
1300	21.88122	19.82218	2.059037	0.720766	0.243456	0.756544	0.486913	1.51309	0.08505117
1310	18.92879	16.82625	2.102542	0.665848	0.10459	0.89541	0.20918	1.79082	0.08143039
1320	22.12108	19.71838	2.402692	0.703582	0.303255	0.696745	0.60651	1.39349	0.06031603
1330	21.63507	19.12346	2.51161	0.575324	0.335411	0.664589	0.670822	1.32918	0.05409165
1340	22.07641	19.57976	2.496654	0.569356	0.221548	0.778452	0.443096	1.5569	0.05490674
1350	20.20865	18.64407	1.56458	0.847039	0.235199	0.764801	0.470398	1.5296	0.1394506
1360	20.8195	18.85808	1.96142	0.577261	0.212711	0.787289	0.425422	1.57458	0.09377235
1370	21.89491	19.36728	2.527623	0.59309	0.199293	0.800707	0.398586	1.60141	0.05323238
1380	20.11264	18.12681	1.985829	0.68013	0.377514	0.622486	0.755028	1.24497	0.0915112
1390	20.69582	18.62696	2.068866	0.527019	0.270973	0.729027	0.541947	1.45805	0.08421932
1400	22.36768	19.96842	2.39926	0.673729	0.264016	0.735984	0.528033	1.47197	0.06052338
