Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	15.35771	13.07653	2.281176	0.799993	0.332434	0.667566	0.664869	1.33513	0.06810931
1	1	13.74256	12.44769	1.294873	0.8883	0.113888	0.886112	0.227775	1.77222	0.1826217
2	0	17.50191	15.23442	2.267496	0.90277	0.147102	0.852898	0.294204	1.7058	0.06904745
3	1	18.23458	15.36048	2.874098	0.888495	0.19378	0.80622	0.387561	1.61244	0.03764469
4	0	16.53859	13.38557	3.153018	0.430032	0.185214	0.814786	0.370427	1.62957	0.028482
5	1	18.27026	15.37114	2.899116	0.829321	0.208965	0.791035	0.417931	1.58207	0.03671459
6	0	15.07652	11.64537	3.431148	0.33062	0.333621	0.666379	0.667241	1.33276	0.02156652
7	1	17.38555	15.12665	2.258905	0.874291	0.152703	0.847297	0.305405	1.69459	0.0696432
8	0	17.40672	14.7645	2.642218	0.77231	0.2263	0.7737	0.4526	1.5474	0.04746877
9	1	16.84941	14.00789	2.841524	0.744057	0.310983	0.689017	0.621967	1.37803	0.03889114
10	0	17.32665	14.10582	3.220839	0.575763	0.185336	0.814664	0.370673	1.62933	0.02661438
11	1	17.31349	14.50546	2.808028	0.714838	0.246969	0.753031	0.493939	1.50606	0.04021588
12	0	17.55692	14.65584	2.901074	0.668012	0.146505	0.853495	0.293009	1.70699	0.03664278
13	1	14.92973	11.90684	3.02289	0.384225	0.399779	0.600221	0.799558	1.20044	0.03244025
14	0	17.69419	14.50021	3.193985	0.713807	0.251827	0.748173	0.503654	1.49635	0.02733875
15	1	16.19304	13.15317	3.039867	0.833041	0.348664	0.651336	0.697327	1.30267	0.03189416
16	0	18.17427	15.49234	2.681927	0.84373	0.179925	0.820075	0.35985	1.64015	0.04562077
17	1	16.83017	14.02447	2.805698	0.557999	0.187714	0.812286	0.375428	1.62457	0.04030968
18	0	17.24105	13.90355	3.337503	0.573878	0.198928	0.801072	0.397857	1.60214	0.02368369
