Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	15.35771	13.07653	2.281176	0.799993	0.332434	0.667566	0.664869	1.33513	0.06810931
10	17.50191	15.23442	2.267496	0.90277	0.147102	0.852898	0.294204	1.7058	0.06904745
20	16.53859	13.38557	3.153018	0.430032	0.185214	0.814786	0.370427	1.62957	0.028482
30	15.07652	11.64537	3.431148	0.33062	0.333621	0.666379	0.667241	1.33276	0.02156652
40	17.40672	14.7645	2.642218	0.77231	0.2263	0.7737	0.4526	1.5474	0.04746877
50	17.32665	14.10582	3.220839	0.575763	0.185336	0.814664	0.370673	1.62933	0.02661438
60	17.55692	14.65584	2.901074	0.668012	0.146505	0.853495	0.293009	1.70699	0.03664278
70	17.69419	14.50021	3.193985	0.713807	0.251827	0.748173	0.503654	1.49635	0.02733875
80	18.17427	15.49234	2.681927	0.84373	0.179925	0.820075	0.35985	1.64015	0.04562077
90	17.24105	13.90355	3.337503	0.573878	0.198928	0.801072	0.397857	1.60214	0.02368369
100	17.25483	15.02928	2.225549	0.869354	0.153547	0.846453	0.307093	1.69291	0.07200543
110	17.00473	14.77918	2.225549	0.836161	0.141656	0.858344	0.283313	1.71669	0.07200543
120	15.77812	12.90884	2.869281	0.396571	0.265656	0.734344	0.531312	1.46869	0.03782646
130	18.11165	15.02905	3.082606	0.787121	0.229002	0.770998	0.458004	1.542	0.03055976
140	16.74249	13.72255	3.01994	0.523804	0.132627	0.867373	0.265254	1.73475	0.03253609
150	15.04262	13.04584	1.996774	0.952002	0.105976	0.894024	0.211951	1.78805	0.09051504
160	15.02595	12.39041	2.635534	0.344195	0.257253	0.742747	0.514506	1.48549	0.0477871
170	17.01703	14.4457	2.571328	0.766447	0.243727	0.756273	0.487453	1.51255	0.05095601
180	17.90251	15.19776	2.70475	0.779277	0.173007	0.826993	0.346014	1.65399	0.04459136
190	13.17775	10.81553	2.362218	0.0265747	0.229761	0.770239	0.459522	1.54048	0.06280733
200	17.95217	15.02936	2.922808	0.727052	0.16205	0.83795	0.324099	1.6759	0.03585496
210	16.42709	13.31564	3.111455	0.611898	0.336627	0.663373	0.673254	1.32675	0.02969073
220	16.03079	13.91957	2.111214	0.769025	0.149208	0.850792	0.298416	1.70158	0.08072723
230	15.64806	12.76887	2.879192	0.517679	0.353176	0.646824	0.706351	1.29365	0.03745342
