Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	12.71843	10.66162	2.056809	0.176354	0.463049	0.536951	0.926097	1.0739	0.08524087
1	1	7.281581	6.455721	0.8258596	0.646537	0.285192	0.714808	0.570383	1.42962	0.2919056
2	0	11.25678	9.433576	1.823202	0.00484196	0.261955	0.738045	0.523911	1.47609	0.1076719
3	1	10.1513	8.781268	1.370035	0.602151	0.555624	0.444376	1.11125	0.888751	0.1693987
4	0	12.47774	10.15246	2.325283	0.355835	0.410258	0.589742	0.820517	1.17948	0.06517052
5	1	12.03499	10.29492	1.740065	0.351231	0.441999	0.558001	0.883998	1.116	0.117006
6	0	12.51601	10.5696	1.946413	0.309687	0.359306	0.640694	0.718612	1.28139	0.09519018
7	1	11.54987	9.821249	1.728625	0.0366761	0.386708	0.613292	0.773415	1.22658	0.1183522
8	0	9.905056	7.17653	2.728526	0.0305448	0.513503	0.486497	1.02701	0.972995	0.04354367
9	1	11.9555	10.03419	1.921318	0.463398	0.311436	0.688564	0.622872	1.37713	0.09760927
10	0	9.029611	7.759587	1.270024	0.273142	0.645059	0.354941	1.29012	0.709881	0.1872165
11	1	12.04367	9.749585	2.294083	0.361925	0.338452	0.661548	0.676904	1.3231	0.0672359
12	0	12.46288	10.4741	1.988788	0.0964198	0.40509	0.59491	0.81018	1.18982	0.09124082
13	1	9.563642	8.150755	1.412886	0.201559	0.171726	0.828274	0.343451	1.65655	0.1622931
14	0	11.77831	10.04022	1.738085	0.301538	0.54791	0.45209	1.09582	0.904179	0.1172379
15	1	12.10913	10.19345	1.915683	0.459919	0.55756	0.44244	1.11512	0.88488	0.0981608
16	0	10.34099	8.876147	1.464839	0.587751	0.261114	0.738886	0.522228	1.47777	0.1540768
17	1	8.694387	7.548055	1.146332	0.237408	0.255557	0.744443	0.511114	1.48889	0.2118669
18	0	12.14177	10.35174	1.790028	0.327904	0.356219	0.643781	0.712438	1.28756	0.1113036
19	1	10.04275	8.481496	1.561251	0.301841	0.724648	0.275352	1.4493	0.550704	0.1399156
20	0	12.12892	10.11608	2.012846	0.134503	0.304395	0.695605	0.60879	1.39121	0.08907196
21	1	11.78679	9.610718	2.17607	0.554588	0.462944	0.537056	0.925889	1.07411	0.07565778
22	0	12.68732	10.67447	2.012846	0.37268	0.400814	0.599186	0.801627	1.19837	0.08907196
23	1	10.03763	8.627359	1.410273	0.0760771	0.302232	0.697768	0.604463	1.39554	0.1627177
24	0	11.64852	9.935171	1.713345	0.485763	0.552221	0.447779	1.10444	0.895559	0.1201746
25	1	11.37206	9.698964	1.673093	0.36788	0.596205	0.403795	1.19241	0.80759	0.1251105
26	0	11.93753	9.843056	2.094472	0.380362	0.295395	0.704605	0.59079	1.40921	0.08209015
27	1	10.79757	9.32576	1.471809	0.391507	0.438694	0.561306	0.877388	1.12261	0.1530066
28	0	9.370905	8.111779	1.259126	0.3512	0.451361	0.548639	0.902722	1.09728	0.189268
29	1	8.937356	7.69541	1.241946	0.0408098	0.204348	0.795652	0.408696	1.5913	0.1925478
30	0	11.44237	9.424817	2.017556	-0.159185	0.536768	0.463232	1.07354	0.926465	0.0886534
31	1	11.56123	9.758887	1.802342	0.306302	0.256135	0.743865	0.51227	1.48773	0.1099415
