Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	7.281581	6.455721	0.8258596	0.646537	0.285192	0.714808	0.570383	1.42962	0.2919056
10	10.1513	8.781268	1.370035	0.602151	0.555624	0.444376	1.11125	0.888751	0.1693987
20	12.03499	10.29492	1.740065	0.351231	0.441999	0.558001	0.883998	1.116	0.117006
30	11.54987	9.821249	1.728625	0.0366761	0.386708	0.613292	0.773415	1.22658	0.1183522
40	11.9555	10.03419	1.921318	0.463398	0.311436	0.688564	0.622872	1.37713	0.09760927
50	12.04367	9.749585	2.294083	0.361925	0.338452	0.661548	0.676904	1.3231	0.0672359
60	9.563642	8.150755	1.412886	0.201559	0.171726	0.828274	0.343451	1.65655	0.1622931
70	12.10913	10.19345	1.915683	0.459919	0.55756	0.44244	1.11512	0.88488	0.0981608
80	8.694387	7.548055	1.146332	0.237408	0.255557	0.744443	0.511114	1.48889	0.2118669
90	10.04275	8.481496	1.561251	0.301841	0.724648	0.275352	1.4493	0.550704	0.1399156
100	11.78679	9.610718	2.17607	0.554588	0.462944	0.537056	0.925889	1.07411	0.07565778
110	10.03763	8.627359	1.410273	0.0760771	0.302232	0.697768	0.604463	1.39554	0.1627177
120	11.37206	9.698964	1.673093	0.36788	0.596205	0.403795	1.19241	0.80759	0.1251105
130	10.79757	9.32576	1.471809	0.391507	0.438694	0.561306	0.877388	1.12261	0.1530066
140	8.937356	7.69541	1.241946	0.0408098	0.204348	0.795652	0.408696	1.5913	0.1925478
150	11.56123	9.758887	1.802342	0.306302	0.256135	0.743865	0.51227	1.48773	0.1099415
160	11.15452	9.28484	1.869684	0.587455	0.304666	0.695334	0.609332	1.39067	0.1027816
170	11.81796	10.11883	1.699133	0.309938	0.356257	0.643743	0.712514	1.28749	0.1218946
180	11.79632	10.11815	1.678172	0.421742	0.459499	0.540501	0.918998	1.081	0.1244766
190	11.13207	9.200173	1.931901	0.452259	0.368377	0.631623	0.736754	1.26325	0.09658173
200	12.65639	10.4828	2.173586	0.367798	0.506317	0.493683	1.01263	0.987366	0.07584596
210	12.38123	10.47967	1.901555	0.210739	0.496984	0.503016	0.993969	1.00603	0.09955746
220	11.8611	9.980483	1.880613	0.0120938	0.52865	0.47135	1.0573	0.942699	0.1016644
230	12.40551	10.04662	2.35889	0.0976623	0.476079	0.523921	0.952159	1.04784	0.0630167
240	10.34659	8.877587	1.469001	0.0653301	0.336321	0.663679	0.672641	1.32736	0.1534368
250	7.826709	6.60104	1.22567	-0.224117	0.707174	0.292826	1.41435	0.585651	0.1957073
260	11.92309	10.1395	1.783598	0.257243	0.543361	0.456639	1.08672	0.913278	0.1120217
270	12.06968	10.11406	1.955629	0.0419914	0.334235	0.665765	0.66847	1.33153	0.094317
280	12.79246	10.74832	2.044141	0.31097	0.420782	0.579218	0.841564	1.15844	0.08632759
290	11.13416	9.452389	1.681767	-0.0586532	0.381009	0.618991	0.762017	1.23798	0.1240299
300	12.65018	10.6108	2.039382	0.379931	0.383768	0.616232	0.767536	1.23246	0.08673941
310	12.58466	10.39456	2.190095	0.0993609	0.497872	0.502128	0.995744	1.00426	0.07460407
320	12.12645	10.1921	1.934351	0.501874	0.532183	0.467817	1.06437	0.935635	0.09634535
330	10.77602	9.02774	1.74828	0.10323	0.68632	0.31368	1.37264	0.627361	0.1160487
340	12.46814	10.39089	2.077247	0.118963	0.53116	0.46884	1.06232	0.937679	0.08351637
350	10.53453	8.922943	1.611591	-0.169673	0.418648	0.581352	0.837297	1.1627	0.1330465
360	11.50056	9.409251	2.09131	-0.184082	0.473886	0.526114	0.947771	1.05223	0.0823501
370	10.77925	9.213037	1.566215	0.318344	0.231251	0.768749	0.462503	1.5375	0.1392227
380	9.7225	8.424384	1.298116	0.346522	0.383706	0.616294	0.767413	1.23259	0.1820304
390	12.41886	10.47888	1.939982	0.45227	0.496751	0.503249	0.993502	1.0065	0.09580439
400	11.76264	10.08224	1.680393	0.318148	0.443862	0.556138	0.887724	1.11228	0.1242005
410	12.37442	10.4953	1.879111	0.285809	0.501997	0.498003	1.00399	0.996005	0.1018172
420	9.8105	8.010326	1.800174	0.599007	0.686654	0.313346	1.37331	0.626693	0.1101801
430	10.94314	9.274241	1.668898	0.680987	0.448831	0.551169	0.897661	1.10234	0.1256364
440	7.079391	6.298648	0.7807424	0.799254	0.440298	0.559702	0.880596	1.1194	0.3053772
450	10.10253	8.623508	1.479024	-0.0417601	0.462615	0.537385	0.925231	1.07477	0.1519067
460	9.426579	8.241626	1.184953	0.653205	0.33525	0.66475	0.6705	1.3295	0.2038404
470	11.78122	9.899651	1.881569	0.137772	0.277895	0.722105	0.555789	1.44421	0.1015672
480	12.20978	10.03056	2.179221	0.171646	0.587763	0.412237	1.17553	0.824474	0.07541975
490	10.22074	8.678512	1.542227	-0.152773	0.456431	0.543569	0.912862	1.08714	0.1426028
500	12.09158	10.18501	1.906574	0.0837689	0.530819	0.469181	1.06164	0.938362	0.09905904
510	8.988837	7.852229	1.136607	0.529269	0.393924	0.606076	0.787848	1.21215	0.2139373
520	8.800961	7.513778	1.287183	0.0137447	0.602591	0.397409	1.20518	0.794817	0.1840315
530	11.13628	8.728587	2.407696	0.232218	0.625171	0.374829	1.25034	0.749658	0.06001499
540	11.35943	8.745293	2.614139	0.211462	0.418029	0.581971	0.836058	1.16394	0.04882055
550	9.321711	6.680649	2.641062	0.273409	0.298559	0.701441	0.597119	1.40288	0.04752368
560	12.21426	9.860004	2.354251	0.0640206	0.393836	0.606164	0.787673	1.21233	0.06330972
570	12.26108	9.991781	2.2693	0.414487	0.377606	0.622394	0.755212	1.24479	0.06892304
580	10.52203	8.997889	1.524142	0.643748	0.573017	0.426983	1.14603	0.853966	0.1452052
590	10.76186	9.321279	1.440581	0.49859	0.404368	0.595632	0.808737	1.19126	0.1578601
600	9.174295	7.120203	2.054092	-0.330159	0.647257	0.352743	1.29451	0.705486	0.08547278
610	10.98109	8.530418	2.450675	-0.121486	0.488853	0.511147	0.977706	1.02229	0.05749024
620	12.81875	10.62349	2.195265	0.32774	0.439025	0.560975	0.878049	1.12195	0.07421936
630	9.759028	7.226738	2.53229	0.515627	0.37044	0.62956	0.740881	1.25912	0.05298454
640	11.83714	9.36502	2.472124	0.36197	0.40546	0.59454	0.81092	1.18908	0.05627026
650	12.78295	10.63464	2.14831	0.336556	0.405203	0.594797	0.810406	1.18959	0.07778742
660	7.579193	5.207294	2.371899	0.6603	0.579718	0.420282	1.15944	0.840563	0.06220227
670	10.07323	8.533135	1.540098	-0.180038	0.287376	0.712624	0.574751	1.42525	0.1429068
680	11.13315	9.427213	1.705939	0.445322	0.642956	0.357044	1.28591	0.714088	0.1210679
690	10.37204	8.614793	1.757245	-0.321235	0.464495	0.535505	0.928989	1.07101	0.115013
700	10.7015	9.093245	1.608256	-0.0432051	0.520079	0.479921	1.04016	0.959843	0.133491
710	11.02784	9.510784	1.517051	0.44512	0.487684	0.512316	0.975368	1.02463	0.1462385
720	11.46454	9.572037	1.892503	0.381569	0.251931	0.748069	0.503862	1.49614	0.1004627
730	11.56265	9.945858	1.616789	0.494933	0.404396	0.595604	0.808793	1.19121	0.1323568
740	10.91822	9.339359	1.578858	0.178663	0.540175	0.459825	1.08035	0.919649	0.1374736
750	9.572373	7.900295	1.672078	0.59025	0.70957	0.29043	1.41914	0.580861	0.1252375
760	12.51677	10.62254	1.894232	0.376233	0.434612	0.565388	0.869225	1.13078	0.1002892
770	11.28543	9.522583	1.762848	-0.0788388	0.332049	0.667951	0.664097	1.3359	0.1143704
780	12.38173	10.42542	1.956312	0.0827041	0.438158	0.561842	0.876317	1.12368	0.09425255
790	12.21557	10.36189	1.853679	0.146519	0.396967	0.603033	0.793934	1.20607	0.1044399
800	10.97024	8.990027	1.980213	0.58083	0.607332	0.392668	1.21466	0.785336	0.09202654
810	12.55165	10.60594	1.945715	0.235444	0.482418	0.517582	0.964837	1.03516	0.09525666
820	11.7636	9.322484	2.441121	0.131996	0.35227	0.64773	0.70454	1.29546	0.05804215
830	11.87656	10.14588	1.730686	0.282912	0.491584	0.508416	0.983168	1.01683	0.1181085
840	12.4836	10.47274	2.010862	0.395498	0.531534	0.468466	1.06307	0.936931	0.08924886
850	12.335	10.23067	2.104335	0.0280922	0.512729	0.487271	1.02546	0.974542	0.08128452
860	12.73233	10.67377	2.058567	0.178558	0.423643	0.576357	0.847286	1.15271	0.08509117
870	12.29205	10.02598	2.266071	0.335144	0.55774	0.44226	1.11548	0.884519	0.06914594
880	9.463829	7.77556	1.688268	0.741458	0.332941	0.667059	0.665882	1.33412	0.1232262
890	8.93048	6.676389	2.254091	-0.397006	0.463453	0.536547	0.926906	1.07309	0.0699793
900	11.79137	9.370981	2.420384	0.361793	0.546609	0.453391	1.09322	0.906783	0.0592583
910	10.77004	9.281939	1.488096	0.530732	0.546841	0.453159	1.09368	0.906319	0.1505348
920	8.992604	7.691967	1.300637	0.139228	0.658522	0.341478	1.31704	0.682955	0.1815722
930	10.51869	9.077725	1.440966	0.355387	0.476512	0.523488	0.953024	1.04698	0.1577994
940	12.31643	10.38239	1.934034	0.0769564	0.420863	0.579137	0.841727	1.15827	0.09637591
950	7.768214	6.471173	1.297041	-0.137023	0.790434	0.209566	1.58087	0.419132	0.1822263
960	11.92981	10.03313	1.896682	0.0536685	0.32007	0.67993	0.640139	1.35986	0.1000438
