Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	21.82147	19.17598	2.645492	0.850676	0.307971	0.692029	0.615942	1.38406	0.04731363
1	1	22.47495	20.60282	1.87213	0.903856	0.288894	0.711106	0.577788	1.42221	0.1025305
2	0	22.5234	20.09323	2.430171	0.836993	0.494909	0.505091	0.989818	1.01018	0.05868117
3	1	21.22306	18.43496	2.7881	0.669797	0.382173	0.617827	0.764347	1.23565	0.04102536
4	0	23.67154	21.53554	2.136007	0.851036	0.350739	0.649261	0.701477	1.29852	0.0787504
5	1	23.88816	21.79796	2.090205	0.919812	0.357551	0.642449	0.715102	1.2849	0.08244116
6	0	23.77101	21.73722	2.033788	0.929018	0.362358	0.637642	0.724715	1.27528	0.08722599
7	1	23.58751	21.64458	1.942923	0.878188	0.374593	0.625407	0.749186	1.25081	0.09552296
8	0	22.33139	20.71494	1.616451	0.894288	0.349308	0.650692	0.698615	1.30138	0.1324016
9	1	19.6616	17.6546	2.007004	0.6004	0.391562	0.608438	0.783124	1.21688	0.0895938
10	0	22.05201	20.38458	1.667438	0.867527	0.37519	0.62481	0.75038	1.24962	0.12582
11	1	23.21378	20.74832	2.465467	0.9087	0.365258	0.634742	0.730516	1.26948	0.05664608
12	0	22.58483	20.99737	1.587459	0.922777	0.424769	0.575231	0.849538	1.15046	0.1362963
13	1	22.80867	20.74233	2.06634	0.809872	0.420289	0.579711	0.840578	1.15942	0.08443228
14	0	23.64374	21.80919	1.83455	0.935756	0.377687	0.622313	0.755374	1.24463	0.1064569
15	1	24.13137	22.03086	2.100506	0.892824	0.392307	0.607693	0.784614	1.21539	0.08159634
16	0	23.04632	20.85542	2.190897	0.791639	0.396986	0.603014	0.793972	1.20603	0.07454425
17	1	19.60672	17.77937	1.827354	0.673774	0.309087	0.690913	0.618175	1.38183	0.1072257
18	0	21.21103	19.50606	1.704966	0.902867	0.258879	0.741121	0.517758	1.48224	0.1211858
19	1	21.8203	20.21857	1.601733	0.88775	0.436108	0.563892	0.872217	1.12778	0.1343647
20	0	21.34998	19.53977	1.81021	0.797607	0.31138	0.68862	0.622759	1.37724	0.1090798
21	1	22.22994	20.62821	1.601733	0.897023	0.409751	0.590249	0.819503	1.1805	0.1343647
22	0	21.04895	19.06718	1.981769	0.865679	0.550682	0.449318	1.10136	0.898637	0.09188344
23	1	21.30685	19.0171	2.289756	0.82555	0.255795	0.744205	0.511591	1.48841	0.06752748
24	0	21.55039	19.56533	1.985061	0.7952	0.493043	0.506957	0.986086	1.01391	0.09158147
25	1	19.63333	17.43978	2.193551	0.612793	0.529862	0.470138	1.05972	0.940275	0.07434668
26	0	22.31502	20.54239	1.772624	0.914519	0.484512	0.515488	0.969025	1.03098	0.1132578
27	1	23.45238	21.00568	2.446693	0.84741	0.334392	0.665608	0.668784	1.33122	0.0577196
