Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	22.47495	20.60282	1.87213	0.903856	0.288894	0.711106	0.577788	1.42221	0.1025305
10	21.22306	18.43496	2.7881	0.669797	0.382173	0.617827	0.764347	1.23565	0.04102536
20	23.88816	21.79796	2.090205	0.919812	0.357551	0.642449	0.715102	1.2849	0.08244116
30	23.58751	21.64458	1.942923	0.878188	0.374593	0.625407	0.749186	1.25081	0.09552296
40	19.6616	17.6546	2.007004	0.6004	0.391562	0.608438	0.783124	1.21688	0.0895938
50	23.21378	20.74832	2.465467	0.9087	0.365258	0.634742	0.730516	1.26948	0.05664608
60	22.80867	20.74233	2.06634	0.809872	0.420289	0.579711	0.840578	1.15942	0.08443228
70	24.13137	22.03086	2.100506	0.892824	0.392307	0.607693	0.784614	1.21539	0.08159634
80	19.60672	17.77937	1.827354	0.673774	0.309087	0.690913	0.618175	1.38183	0.1072257
90	21.8203	20.21857	1.601733	0.88775	0.436108	0.563892	0.872217	1.12778	0.1343647
100	22.22994	20.62821	1.601733	0.897023	0.409751	0.590249	0.819503	1.1805	0.1343647
110	21.30685	19.0171	2.289756	0.82555	0.255795	0.744205	0.511591	1.48841	0.06752748
120	19.63333	17.43978	2.193551	0.612793	0.529862	0.470138	1.05972	0.940275	0.07434668
130	23.45238	21.00568	2.446693	0.84741	0.334392	0.665608	0.668784	1.33122	0.0577196
140	23.10908	20.95275	2.156325	0.802343	0.39532	0.60468	0.790639	1.20936	0.07716647
150	21.26514	19.57723	1.687916	0.911278	0.262851	0.737149	0.525701	1.4743	0.1232697
160	19.68014	18.41484	1.265294	0.920503	0.25654	0.74346	0.51308	1.48692	0.1881042
170	23.05119	21.1449	1.906281	0.901143	0.462948	0.537052	0.925895	1.0741	0.09908808
180	23.70647	21.75806	1.948412	0.917795	0.34416	0.65584	0.688319	1.31168	0.09500008
190	21.0233	18.99538	2.027925	0.872187	0.246015	0.753985	0.49203	1.50797	0.08773887
200	23.78395	21.58657	2.197384	0.868413	0.43576	0.56424	0.871521	1.12848	0.07406229
210	22.17019	19.82545	2.344744	0.742261	0.307849	0.692151	0.615698	1.3843	0.06391451
