Iteration	Posterior	Likelihood	Prior	is_irreverisible	rates[1]	rates[2]
0	-13.06128	-12.2584	-0.8028809	0	0.630305	0.124073
1	-14.21765	-12.4111	-1.806548	0	0.93499	0.118712
2	-13.97543	-11.94145	-2.033977	0	0.93499	0.186539
3	-12.73886	-11.34802	-1.390837	0	0.483396	0.446328
4	-12.47166	-12.29569	-0.1759681	0	0.244666	0.322747
5	-12.79524	-11.4097	-1.385537	0	0.605397	0.322747
6	-13.8448	-11.74257	-2.102226	0	0.321565	0.820318
7	-13.81775	-11.44493	-2.372819	0	0.402265	0.820318
8	-12.64885	-12.10313	-0.545721	0	0.255201	0.422483
9	-12.37659	-12.27187	-0.1047187	0	0.266295	0.279869
10	-12.70469	-11.53694	-1.167748	0	0.583324	0.279869
11	-12.76759	-11.95727	-0.810318	0	0.583324	0.173272
12	-12.4237	-12.58395	0.1602531	0	0.326251	0.14089
13	-13.55243	-13.47732	-0.07511501	0	0.497708	0.0396271
14	-13.39017	-13.58885	0.1986822	0	0.416053	0.0396271
15	-13.05205	-13.184	0.1319469	0	0.416053	0.0595296
16	-14.75449	-14.7907	0.03620905	0	0.493372	0.0107633
17	-14.55004	-13.74386	-0.8061814	0	0.726499	0.0288626
18	-13.07447	-13.71535	0.6408847	0	0.270034	0.053768
19	-13.22758	-14.09807	0.8704896	0	0.201558	0.053768
20	-12.53992	-12.98259	0.4426641	0	0.201558	0.181359
21	-12.53408	-11.65427	-0.879813	0	0.369425	0.407896
22	-12.75175	-11.32183	-1.429918	0	0.533484	0.407896
23	-12.58317	-11.49502	-1.088146	0	0.431557	0.407896
24	-14.39689	-10.898	-3.498893	0	0.720241	0.838172
25	-15.00723	-13.56441	-1.442812	0	0.107053	0.838172
26	-12.73519	-12.85575	0.1205576	0	0.170602	0.308378
27	-12.95044	-12.71374	-0.2366995	0	0.170602	0.414923
28	-13.50477	-11.16672	-2.33805	0	0.79729	0.414923
29	-12.5488	-11.65036	-0.8984362	0	0.367952	0.414923
30	-12.6393	-11.61054	-1.02876	0	0.367952	0.453789
31	-13.06796	-11.16589	-1.902067	0	0.6284	0.453789
32	-12.9389	-11.26883	-1.670066	0	0.6284	0.384599
33	-12.32574	-12.24921	-0.07653271	0	0.290448	0.24731
34	-13.35239	-11.84183	-1.510558	0	0.290448	0.674981
35	-13.17056	-11.11702	-2.053538	0	0.592652	0.534711
36	-12.48903	-11.66743	-0.8215962	0	0.375311	0.384648
37	-12.54174	-11.63404	-0.9077029	0	0.375311	0.410328
38	-12.77128	-11.32254	-1.448734	0	0.494578	0.452413
39	-12.78703	-11.31526	-1.471764	0	0.494578	0.459281
40	-13.71923	-11.732	-1.987236	0	0.320848	0.786741
41	-12.89611	-11.54373	-1.35238	0	0.653473	0.264783
42	-13.619	-11.3321	-2.286901	0	0.856838	0.340121
43	-13.35901	-12.48451	-0.8745041	0	0.677378	0.0983596
44	-13.40624	-12.48508	-0.9211591	0	0.691292	0.0983596
45	-12.90971	-11.99459	-0.9151152	0	0.263215	0.524635
46	-14.22925	-10.88039	-3.34886	0	0.790691	0.722977
47	-15.13386	-11.09674	-4.037122	0	0.608482	1.11045
48	-13.1366	-11.12566	-2.010935	0	0.608482	0.506175
49	-12.98572	-11.29046	-1.695258	0	0.469005	0.551507
50	-12.34761	-12.4613	0.1136881	0	0.270867	0.210161
