Iteration	Replicate_ID	Posterior	Likelihood	Prior	is_irreverisible	rates[1]	rates[2]
0	0	-12.80841	-11.68315	-1.125263	0	0.500642	0.259331
1	0	-13.17645	-10.97666	-2.199796	0	0.646792	0.914329
2	0	-13.33844	-10.804	-2.534433	0	0.89629	0.914329
3	0	-14.86666	-12.10163	-2.765034	0	1.63554	0.347012
4	0	-14.87636	-10.96125	-3.915115	0	1.63554	1.20449
5	0	-15.44341	-11.17392	-4.269487	0	1.89975	1.20449
6	0	-13.74675	-10.82752	-2.919237	0	0.893033	1.20449
7	0	-13.62103	-10.81194	-2.809086	0	0.893033	1.12236
8	0	-15.27347	-11.1814	-4.092065	0	1.84959	1.12236
9	0	-15.27347	-11.1814	-4.092065	0	1.84959	1.12236
10	0	-13.55087	-10.87847	-2.672398	0	0.791122	1.12236
11	0	-12.91164	-10.95935	-1.952292	0	0.791122	0.585466
12	0	-12.80165	-11.01529	-1.786361	0	0.667407	0.585466
13	0	-12.73054	-11.19061	-1.539922	0	0.532451	0.536682
14	0	-12.8797	-11.00517	-1.874531	0	0.781928	0.536682
15	0	-13.60581	-11.16259	-2.443218	0	1.20593	0.536682
16	0	-13.81904	-11.24605	-2.572985	0	1.30268	0.536682
17	0	-14.08437	-10.82971	-3.254661	0	1.30268	1.04492
18	0	-14.40705	-10.77788	-3.629178	0	1.30268	1.32416
19	0	-12.92985	-11.24825	-1.681598	0	0.802514	0.37225
20	0	-12.79688	-11.25963	-1.537246	0	0.694889	0.37225
21	0	-14.49216	-12.45826	-2.033899	0	1.27526	0.16217
22	0	-14.69009	-11.07313	-3.616955	0	1.62828	0.989447
23	0	-13.51853	-10.78228	-2.736251	0	0.971642	0.989447
24	0	-13.51582	-10.7826	-2.733221	0	0.969384	0.989447
25	0	-14.29938	-10.93114	-3.368244	0	1.44284	0.989447
26	0	-13.37193	-10.83162	-2.54031	0	0.825553	0.989447
27	0	-13.6132	-11.13758	-2.475616	0	1.21037	0.556394
28	0	-12.80367	-11.37596	-1.427716	0	0.429082	0.556394
29	0	-13.30359	-11.71627	-1.587322	0	0.32397	0.780504
30	0	-15.98932	-11.72111	-4.268208	0	2.17533	0.927952
31	0	-16.4831	-11.12422	-5.358882	0	2.17533	1.74113
32	0	-14.78406	-10.82966	-3.954393	0	1.49276	1.37655
33	0	-18.84125	-11.54256	-7.298691	0	1.18442	4.17832
34	0	-14.82523	-10.80048	-4.02475	0	1.44748	1.47429
35	0	-14.82523	-10.80048	-4.02475	0	1.44748	1.47429
36	0	-15.36816	-10.81431	-4.553845	0	1.35912	1.95712
37	0	-15.36816	-10.81431	-4.553845	0	1.35912	1.95712
38	0	-15.14431	-10.8082	-4.336108	0	1.52435	1.62956
39	0	-13.10479	-10.8522	-2.252586	0	0.846764	0.753716
40	0	-16.84073	-12.0016	-4.839138	0	2.49467	1.03429
41	0	-17.94247	-10.99161	-6.950861	0	2.49467	2.60875
42	0	-17.42535	-10.87191	-6.553435	0	2.19835	2.60875
